Region,Aluminium oxide,Bauxite
CA-QC,1,-2.881
CN,1,-2.881
IAI Area 1,1,-2.881
"IAI Area 2, without Quebec",1,-2.881
IAI Area 3,1,-2.881
IAI Area 4&5 without China,1,-2.881
IAI Area 8,1,-2.881
RoW,1,-2.881
UN-EUROPE,1,-2.881
UN-OCEANIA,1,-2.881
