Aluminium Production (tonnes),"1,804,741","4,968,972","2,185,396","6,016,200","8,346,055","2,306,087",ND,"19,585,725","576,000","45,789,176"
Reporting Production (tonnes),"1,479,341","4,514,365","2,117,216","3,195,459","7,759,393","2,308,087",ND,"18,061,725",ND,"39,435,586"
POWER MIX,GWh,GWh,GWh,GWh,GWh,GWh,GWh,GWh,GWh,GWh
Hydro,"9,851","53,030","29,102","4,731","91,537","8,166",ND,"25,129",ND,"221,546"
Coal,"11,430","15,285",0,"14,535","10,209","26,453",ND,"226,163",ND,"304,075"
Oil,0,5,0,7,426,8,ND,0,ND,446
Natural Gas,0,449,"4,924","28,263","8,549",0,ND,0,ND,"42,185"
Nuclear,0,831,0,0,"5,380",0,ND,0,ND,"6,211"
Total,"21,281","69,600","34,026","47,536","116,101","34,627",ND,"251,293","99,000","574,464"
POWER SOURCE,GWh,GWh,GWh,GWh,GWh,GWh,GWh,GWh,GWh,GWh
Self-Generated,"1,061","24,924","11,543","47,466","9,141","1,143",ND,"125,646",ND,"220,924"
Purchased from Supplier(s),"20,220","44,676","22,483",70,"106,960","33,484",ND,"125,646",ND,"353,539"
Total,"21,281","69,600","34,026","47,536","116,101","34,627",ND,"251,293","99,000","574,464"

2010,Africa,North America,South America,Asia (ex China),Europe,Oceania,GCC,China,Estimated Unreported,World Reported
Aluminium Production (tonnes),"1,742,098","4,688,831","2,305,165","5,223,929","8,053,375","2,277,358",ND,"17,231,484","831,000","42,353,240"
Reporting Production (tonnes),"1,440,998","4,439,931","2,210,065","1,854,599","7,981,275","1,542,358",0,"16,194,484",ND,"35,663,710"
POWER MIX,GWh,GWh,GWh,GWh,GWh,GWh,GWh,GWh,GWh,GWh
Hydro,"9,181","50,355","29,145","4,817","97,271","5,211",ND,"22,638",ND,"218,618"
Coal,"11,844","16,095",0,"8,171","13,856","17,932",ND,"203,745",ND,"271,643"
Oil,0,7,0,138,238,6,ND,0,ND,389
Natural Gas,0,316,"5,591","15,510","5,015",0,ND,0,ND,"26,432"
Nuclear,0,320,0,0,"10,677",0,ND,0,ND,"10,997"
Total,"21,025","67,093","34,736","28,636","127,057","23,149",ND,"226,383","98,000","528,079"
POWER SOURCE,GWh,GWh,GWh,GWh,GWh,GWh,GWh,GWh,GWh,GWh
Self-Generated,0,"23,938","12,569","28,623","8,056","1,206",ND,"113,191.5",ND,"187,583.5"
Purchased from Supplier(s),"21,025","43,155","22,167",13,"119,001","21,943",ND,"113,191.5",ND,"340,495.5"
Total,"21,025","67,093","34,736","28,636","127,057","23,149",ND,"226,383","324,000","528,079"

2009,Africa,North America,South America,Asia (ex China),Europe,Oceania,GCC,China,Estimated Unreported,World Reported
Aluminium Production (tonnes),"1,693,694","4,759,108","2,508,104","4,400,273","7,839,566","2,222,420",ND,"13,659,000","624,000","37,706,165"
Reporting Production (tonnes),"1,684,064","4,010,718","1,889,544","3,753,021","7,758,316","2,222,420",0,"12,964,000",ND,"34,282,083"
POWER MIX,GWh,GWh,GWh,GWh,GWh,GWh,GWh,GWh,GWh,GWh
Hydro,"4,989","44,086","23,808",602,"92,203","11,409",ND,"18,371",ND,"195,468"
Coal,"19,788","16,485",0,"23,021","12,866","20,639",ND,"165,342",ND,"258,141"
Oil,0,7,0,11,373,8,ND,0,ND,399
Natural Gas,0,301,"5,451","31,744","5,388",0,ND,0,ND,"42,884"
Nuclear,0,369,0,0,"10,849",0,ND,0,ND,"11,218"
Total,"24,777","61,248","29,259","55,378","121,679","32,056",ND,"183,713","50,000","508,110"
POWER SOURCE,GWh,GWh,GWh,GWh,GWh,GWh,GWh,GWh,GWh,GWh
Self-Generated,0,"24,923","7,015","50,616","7,635","1,120",ND,"82,671",ND,"173,979"
Purchased from Supplier(s),"24,777","36,325","22,244","4,762","114,044","30,937",ND,"101,042",ND,"334,130"
Total,"24,777","61,248","29,259","55,378","121,679","32,056",ND,"183,713","234,000","508,110"

2008,Africa,North America,South America,Asia (ex China),Europe,Oceania,GCC,China,Estimated Unreported,World Reported
