Coal,"26,274",95,"19,596","32,822",18,"321,636",ND,"400,441"
Oil,"17,844","1,324","73,842","27,340","26,336","20,238",ND,"166,924"
Gas,0,"17,369","15,032","97,664","49,091","55,921",ND,"235,077"
Electricity,"1,251","2,322","5,474","17,068","13,758","41,586",ND,"81,459"
Other,"1,965","11,002",0,"10,768","30,673","4,438",ND,"58,846"
Total,"47,334","32,112","113,944","185,662","119,876","443,820","139,000","942,748"

2008,Africa & Asia (ex China),North America,South America,Oceania,Europe,China,Estimated Unreported,World Reported
Alumina Production (tonnes),"5,816,000","5,427,439","15,589,000","19,416,000","9,860,000","22,590,561",-,"78,699,000"
Reporting Production (tonnes),"3,309,551","5,427,439","15,541,235","19,324,142","7,902,378","21,781,000","5,413,255","73,285,745"
FUEL MIX,TJ,TJ,TJ,TJ,TJ,TJ,TJ,TJ
Coal,"32,820",65,"14,708","51,414",46,"368,667",ND,"467,720"
Oil,"17,598","3,935","116,719","26,379","32,106","23,197",ND,"219,934"
Gas,52,"38,978","24,526","118,054","49,634","64,098",ND,"295,342"
Electricity,924,"4,185","7,287","19,012","27,776","47,667",ND,"106,851"
Other,"3,080","11,842",0,"3,416","12,837","5,087",ND,"36,262"
Total,"54,474","59,005","163,240","218,275","122,399","508,717","90,000","1,126,110"

2007,Africa & Asia (ex China),North America,South America,Oceania,Europe,China,Estimated Unreported,World Reported
Alumina Production (tonnes),"5,263,000","5,290,000","14,949,581","18,987,000","10,031,000","20,010,419",-,"74,531,000"
Reporting Production (tonnes),"1,688,160","5,169,404","14,949,581","18,831,417","8,559,454","18,547,000","6,785,984","67,745,016"
FUEL MIX,TJ,TJ,TJ,TJ,TJ,TJ,TJ,TJ
Coal,"7,810",0,"5,416","51,811",182,"343,041",ND,"408,260"
Oil,"11,771","4,299","118,037","21,050","42,854","21,585",ND,"219,596"
Gas,840,"37,298","26,496","123,431","51,294","59,643",ND,"299,002"
Electricity,599,"3,432","10,619","9,826","31,051","44,354",ND,"99,881"
Other,"2,905","11,632",2,"5,359",0,"4,734",ND,"24,632"
Total,"23,925","56,661","160,570","211,477","125,381","473,357","122,000","1,051,371"

2006,Africa & Asia (ex China),North America,South America,Oceania,Europe,China,Estimated Unreported,World Reported
Alumina Production (tonnes),"5,019,000","5,929,000","14,857,206","18,341,000","9,851,000","12,727,794",-,"66,725,000"
Reporting Production (tonnes),"3,437,938","5,517,803","14,857,206","18,298,942","8,327,174","12,918,000","3,367,937","63,357,063"
FUEL MIX,TJ,TJ,TJ,TJ,TJ,TJ,TJ,TJ
Coal,"27,188",0,"4,611","48,128",273,"220,917",ND,"301,117"
Oil,"17,817","3,942","124,974","20,496","34,769","13,901",ND,"215,899"
Gas,21,"58,125","26,370","118,034","63,497","38,410",ND,"304,457"
Electricity,"2,298","3,625","10,935","18,474","23,685","28,563",ND,"87,580"
Other,"2,516",0,0,"4,513","11,384","3,048",ND,"21,461"
Total,"49,840","65,692","166,890","209,645","133,608","304,839","84,000","930,514"

2005,Africa & Asia (ex China),North America,South America,Oceania,Europe,China,Estimated Unreported,World Reported
Alumina Production (tonnes),"5,269,000","5,945,000","12,965,000","17,684,000","9,764,000","7,519,000",-,"59,146,000"
Reporting Production (tonnes),"3,483,371","5,466,923","12,965,000","17,684,000","5,253,554","7,519,000","6,774,152","52,371,848"
FUEL MIX,TJ,TJ,TJ,TJ,TJ,TJ,TJ,TJ
Coal,"26,767",0,"4,568","45,481",0,"159,918",ND,"236,734"
Oil,"14,868","5,827","106,411","18,164","48,260","10,062",ND,"203,592"
Gas,0,"52,919","25,817","113,220","3,749","27,804",ND,"223,509"
Electricity,"2,208","3,494","8,680","19,818","13,184","20,677",ND,"68,061"
Other,703,0,0,"5,851",476,"2,207",ND,"9,237"
Total,"44,546","62,240","145,476","202,534","65,669","220,668","95,000","741,133"

2004,Africa & Asia (ex China),North America,South America,Oceania,Europe,China,Estimated Unreported,World Reported
Alumina Production (tonnes),"5,239,000","5,895,000","12,824,000","16,746,000","9,753,000","6,362,000",-,"56,819,000"
Reporting Production (tonnes),"3,384,409","4,637,553","11,503,914","16,689,464","7,275,221","6,362,000","6,966,439","49,852,561"
FUEL MIX,TJ,TJ,TJ,TJ,TJ,TJ,TJ,TJ
Coal,"28,802",0,"4,587","47,462","9,701","138,722",ND,"229,274"
Oil,"13,014","4,989","80,023","22,603","48,640","8,729",ND,"177,998"
Gas,0,"39,838","22,889","107,955","17,921","24,119",ND,"212,722"
Electricity,762,"3,182","8,035","14,424","13,516","17,936",ND,"57,855"
Other,0,0,0,"5,559",458,"1,914",ND,"7,931"
Total,"42,578","48,009","115,534","198,003","90,236","191,420","96,000","685,780"

2003,Africa & Asia (ex China),North America,South America,Oceania,Europe,China,Estimated Unreported,World Reported
Alumina Production (tonnes),"5,064,000","5,204,000","12,262,000","16,550,000","9,431,000","5,549,000",-,"54,060,000"
Reporting Production (tonnes),"1,626,397","4,366,599","12,262,000","16,550,000","5,086,587","5,549,000","8,619,417","45,440,583"
FUEL MIX,TJ,TJ,TJ,TJ,TJ,TJ,TJ,TJ
Coal,"10,366",0,"3,824","45,374",0,"131,145",ND,"190,709"
Oil,"12,521","4,630","108,150","22,416","46,642","8,252",ND,"202,611"
Gas,0,"39,963","19,208","107,979","3,278","22,801",ND,"193,229"
Electricity,754,"3,120","7,279","12,959","12,233","16,956",ND,"53,301"
Other,0,0,0,"5,740",475,"1,810",ND,"8,025"
Total,"23,641","47,713","138,461","194,468","62,628","180,964","120,000","647,875"

2001,Africa & Asia (ex China),North America,South America,Oceania,Europe,China,Estimated Unreported,World Reported
Alumina Production (tonnes),ND,ND,ND,ND,ND,ND,-,"47,991,000"
Reporting Production (tonnes),"2,435,355","3,574,285","10,814,070","16,098,291","3,417,048","4,650,000","7,001,951","40,989,049"
FUEL MIX,TJ,TJ,TJ,TJ,TJ,TJ,TJ,TJ
Coal,"21,541",0,"4,662","43,730",0,"116,904",ND,"186,837"
Oil,"15,294","3,742","97,733","20,569","36,688","7,356",ND,"181,382"
