"Size","Technology","Material","Source","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015"
"Car","ICEV-G","HSS/AHSS","TEDB&DUCK",125.792460796948,123.977348482794,123.142997527066,126.106202555836,125.885686724189,125.574490689969,123.262875072942,122.639585293905,123.259837616738,125.310350052517,128.269862703052,127.479121997608,130.754264146947,129.928285010725,130.834890624287,130.740917248704,134.027724403614,137.236491007972,148.521106006764,156.064945911306,161.378350462937,167.658356113124,174.550728268036,181.052711988451,187.982326498078,194.392414794483,200.266686702397,205.111929079522,208.641548549727,212.71847438913,221.886461182557,245.114022227669,246.681242912129,260.982534226065,261.863644880709,290.388716084162
"Car","ICEV-G","Cast Iron","TEDB&DUCK",180.923723310963,178.313098826603,177.113075546178,181.374969171139,181.057807514091,180.610223097395,177.285492015367,176.389032030321,177.281123328387,180.230317121291,184.486900103517,183.349600207355,188.060144132458,186.872161802232,188.176106904674,188.040947667825,178.703633534975,173.727120190838,172.095883825802,174.472605859167,170.871194698602,151.841529568165,139.876994554978,132.247198756252,129.900104190976,129.85888455194,132.57654737447,127.502010360939,120.078596381002,83.6259645340397,94.0735077983393,110.865717217575,113.978131159132,113.802861898313,109.345220248924,116.494633566792
"Car","ICEV-G","Mild steel and other steels","TEDB&DUCK",670.504873418046,660.829876643747,656.382580053695,672.177194453791,671.001790627136,669.343038932395,657.021556970226,653.699268561623,657.005366578733,667.935104120107,683.710037232584,679.495194043645,696.952510311692,692.549837586559,697.382269342089,696.881368048792,697.507649506346,692.52865407587,694.670144637225,701.091757206215,689.417808756768,689.218194172157,686.776338529052,686.032345108651,688.352820806263,688.885544993201,692.922738257953,694.133613362149,693.344185659304,649.928009844422,654.148277262453,630.120422437477,587.801508602316,589.925078832158,598.776037085184,587.604123009502
"Car","ICEV-G","Wrought Aluminum","TEDB&DUCK",14.923732180651,15.3201960447925,15.7019486199902,16.2842989781017,16.7224121973557,17.1172904751021,17.6445351497199,18.3204345732198,18.7014022907445,19.2646308106269,19.9274814149917,21.0962714894455,22.1632814766721,23.1650102007066,23.9193177342109,25.0094338636579,25.8749981778827,25.8405206675365,27.627676051846,29.5158828443089,30.4229834869524,31.6625178431254,32.6811760331074,33.7753835110237,35.0286817972565,35.9059815619124,37.1298441736186,35.5702891610939,36.065466590857,37.7485984219964,39.188562647301,41.0747406502079,42.5252410560472,43.7409137733176,46.0888082667044,41.6757514169184
"Car","ICEV-G","Cast Aluminum","TEDB&DUCK",37.0753346508857,38.0602779788748,39.0086737493136,40.4554187156325,41.5438323927342,42.5248366158462,43.8346813998267,45.5138322324241,46.4602781648112,47.8595183553206,49.5062517382894,52.4099009476466,55.0606957939622,57.549311056111,59.4232527682659,62.1314506787044,64.2817898983637,64.1961367106395,68.6360035713109,73.3269145226211,75.580443296854,78.6598439796113,81.1905174620404,83.9088795935885,87.0224742907452,89.2019681311623,92.2424351769688,88.3680005988151,89.5981800671813,93.7796190762489,97.3569518032252,102.042822590935,105.646330567811,108.666451290507,114.499373847248,117.160371354436
"Car","ICEV-G","Other","TEDB&DUCK",369.500894577746,364.043751388142,361.494359058282,370.151103849793,369.40815769137,368.405508708669,361.451046515902,359.466437841626,361.225324538701,367.182856620292,375.812157905054,373.230533210304,382.711759893365,380.060027412191,382.590451766839,382.088585468742,394.838431432011,396.63725869557,400.771233509901,403.36785965737,415.707469200707,429.031405712357,434.997748950121,443.579143747466,457.986169793306,452.130629297545,464.618714445367,463.28369911547,475.926130691129,511.498622544754,496.962163636358,512.40118757053,499.061391504582,486.577605613381,480.957570754794,457.577331467782
"Car","ICEV-G","Total","EPA",1398.72101893524,1380.54454936495,1372.84363455453,1406.54918772429,1405.61968714688,1403.57538851938,1380.50018712398,1376.02859053312,1383.93333251811,1407.78277708015,1441.71269109749,1437.060621896,1475.7026557551,1470.12463306852,1482.32628914037,1484.89270297642,1495.23422844843,1490.16618283859,1512.32204911517,1537.83997061451,1543.37824681607,1548.07184738854,1550.07350379734,1560.59566426603,1586.2725789629,1590.37542173987,1619.75696775053,1613.96954006402,1623.65410956285,1589.29928881059,1603.61592272662,1641.61891433601,1595.69384580202,1603.69544563374,1611.53065508356,1610.90092689959
"Car","BEV100","HSS/AHSS","TEDB&DUCK",322.740123193145,322.740123193145,322.740123193145,322.740123193145,322.740123193145,322.740123193145,322.740123193145,322.740123193145,322.740123193145,322.740123193145,322.740123193145,322.740123193145,322.740123193145,322.740123193145,322.740123193145,322.740123193145,322.740123193145,322.740123193145,322.740123193145,322.740123193145,322.740123193145,322.740123193145,322.740123193145,322.740123193145,322.740123193145,322.740123193145,322.740123193145,322.740123193145,322.740123193145,322.740123193145,322.740123193145,322.740123193145,322.740123193145,322.740123193145,322.740123193145,322.740123193145
"Car","BEV100","Cast Iron","TEDB&DUCK",16.1964768003699,16.1964768003699,16.1964768003699,16.1964768003699,16.1964768003699,16.1964768003699,16.1964768003699,16.1964768003699,16.1964768003699,16.1964768003699,16.1964768003699,16.1964768003699,16.1964768003699,16.1964768003699,16.1964768003699,16.1964768003699,16.1964768003699,16.1964768003699,16.1964768003699,16.1964768003699,16.1964768003699,16.1964768003699,16.1964768003699,16.1964768003699,16.1964768003699,16.1964768003699,16.1964768003699,16.1964768003699,16.1964768003699,16.1964768003699,16.1964768003699,16.1964768003699,16.1964768003699,16.1964768003699,16.1964768003699,16.1964768003699
"Car","BEV100","Mild steel and other steels","TEDB&DUCK",592.691485494299,592.691485494299,592.691485494299,592.691485494299,592.691485494299,592.691485494299,592.691485494299,592.691485494299,592.691485494299,592.691485494299,592.691485494299,592.691485494299,592.691485494299,592.691485494299,592.691485494299,592.691485494299,592.691485494299,592.691485494299,592.691485494299,592.691485494299,592.691485494299,592.691485494299,592.691485494299,592.691485494299,592.691485494299,592.691485494299,592.691485494299,592.691485494299,592.691485494299,592.691485494299,592.691485494299,592.691485494299,592.691485494299,592.691485494299,592.691485494299,592.691485494299
