Unit,LCI,Virgin Hot Rolled Stamped Steel,Virgin Cold Rolled Stamped Steel,Virgin Galvanized Stamped Steel,Recycled Steel Rod and Bar,Stainless Steel Rod and Bar,Cast Iron,Forged Iron,Virgin Wrought Hot Rolled Stamped Aluminum,Virgin Wrought Cold Rolled Stamped Aluminum,Virgin Wrought Extruded Aluminum,Recycled Wrought Cold Rolled Stamped Aluminum,Recycled Wrought Hot Rolled Stamped Aluminum,Recycled Wrought Extruded Aluminum,Virgin Cast Aluminum,Recycled Cast Aluminum,Copper Wire,Glass Production,GFRP Fabrication,CFRP Fabrication,Plastic Blow Molding (HPDE),Plastic Calendaring (PVC),Plastic Compression Molding,Plastic Extrusion (HDPE),Plastic Extrusion (PVC),Plastic Extrusion (PP),Plastic Injection Molding (HDPE),Plastic Injection Molding (PVC),Plastic Injection Molding (PP),Rubber Compression Molding,Rubber Injection Molding (PVC)
,Energy Use: mmBtu per ton of material product transformed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
g per lb,OC,0.0006575,0.0006575,0.0006575,0.00301959,0.00301959,0.0047534,0.028288886,0.0006575,0.0006575,0.004904489,0.0006575,0.0006575,0.004904489,0.007341296,0.007341296,0.001796423,0.001470545,0.002623715,0.006645088,0.004092584,0.001588428,0.005061319,0.001225915,0.00125162,0.001660679,0.004755655,0.002997119,0.002155178,0.005061319,0.002997119
g per lb,CH4,0.123708294,0.123708294,0.123708294,0.472086086,0.472086086,1.72718032,3.869935832,0.123708294,0.123708294,0.685190853,0.123708294,0.123708294,0.685190853,1.008117237,1.008117237,0.30412462,0.145663401,0.493650503,0.932665235,0.763661874,0.298861717,0.763406528,0.230655155,0.235491632,0.312455765,0.89477369,0.56390616,0.405495491,0.763406528,0.56390616
g per lb,N2O,0.00101256,0.00101256,0.00101256,0.004247223,0.004247223,0.001834921,0.037470604,0.00101256,0.00101256,0.006546678,0.00101256,0.00101256,0.006546678,0.009740103,0.009740103,0.00272491,0.00058986,0.004040561,0.00937774,0.006293024,0.002446202,0.00700203,0.001887927,0.001927514,0.00255747,0.007323779,0.004615608,0.003319006,0.00700203,0.004615608
g per lb,CO2,64.44688417,64.44688417,64.44688417,192.4020718,192.4020718,193.2679838,1206.425737,64.44688417,64.44688417,224.747226,64.44688417,64.44688417,224.747226,317.204785,317.204785,163.0671061,102.7261009,257.1714125,419.9965306,397.4903059,155.694544,292.4265273,120.1617574,122.6813612,162.7764784,466.1399357,293.7716921,211.2463122,292.4265273,293.7716921
g per lb,"CO2 (VOC, CO, CO2)",64.50164209,64.50164209,64.50164209,192.640426,192.640426,197.2452494,1208.583219,64.50164209,64.50164209,225.5182599,64.50164209,64.50164209,225.5182599,317.7651993,317.7651993,163.2120133,102.8861747,257.3899207,420.5056421,397.831155,155.8268314,292.8222372,120.263854,122.7855986,162.914783,466.5359961,294.0212981,211.4257996,292.8222372,294.0212981
g per lb,GHGs,68.48121937,68.48121937,68.48121937,207.9285228,207.9285228,249.5469131,1334.611004,68.48121937,68.48121937,247.8088552,68.48121937,68.48121937,247.8088552,350.5898436,350.5898436,173.0578531,107.4123896,273.2701843,450.9707003,422.4086624,165.4409265,317.579971,127.6838093,130.3611388,172.9661856,495.3200082,312.1616189,224.470201,317.579971,312.1616189
,Urban Emissions: grams,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
g per lb,VOC,0.000514998,0.000514998,0.000514998,0.001615323,0.001615323,0.001302915,0.010817665,0.000514998,0.000514998,0.00198424,0.000514998,0.000514998,0.00198424,0.002837161,0.002837161,0.001656651,0.000503112,0.00205507,0.005171406,0.003195644,0.001244163,0.002489845,0.000960219,0.000980353,0.001300755,0.003724948,0.002347545,0.00168808,0.002489845,0.002347545
g per lb,CO,0.004413691,0.004413691,0.004413691,0.011416146,0.011416146,0.005604536,0.0559954,0.004413691,0.004413691,0.01098359,0.004413691,0.004413691,0.01098359,0.014883933,0.014883933,0.009021156,0.002250999,0.01761257,0.015979356,0.027185191,0.010662853,0.016564737,0.008229365,0.008401922,0.011147865,0.03192393,0.020119167,0.014467356,0.016564737,0.020119167
g per lb,NOx,0.010232111,0.010232111,0.010232111,0.022968619,0.022968619,0.01776587,0.076923979,0.010232111,0.010232111,0.016818933,0.010232111,0.010232111,0.016818933,0.020919014,0.020919014,0.020719432,0.005355275,0.040830624,0.030431768,0.0629919,0.024719331,0.031524553,0.019077857,0.01947789,0.025843717,0.074008165,0.046641582,0.033539181,0.031524553,0.046641582
g per lb,PM10,0.001474634,0.001474634,0.001474634,0.002791134,0.002791134,0.001714567,0.003235993,0.001474634,0.001474634,0.001139932,0.001474634,0.001474634,0.001139932,0.000998268,0.000998268,0.002993703,0.000734869,0.005884437,0.003580335,0.009074907,0.003562506,0.003522529,0.002749467,0.002807119,0.00372455,0.010665925,0.006721902,0.004833607,0.003522529,0.006721902
g per lb,PM2.5,0.000983044,0.000983044,0.000983044,0.0018638,0.0018638,0.001219018,0.002204545,0.000983044,0.000983044,0.00076779,0.000983044,0.000983044,0.00076779,0.000677636,0.000677636,0.002022858,0.000499778,0.003922779,0.002519664,0.006050268,0.002374896,0.002354398,0.001832894,0.001871327,0.002482921,0.007110293,0.004481064,0.003222258,0.002354398,0.004481064
g per lb,SOx,0.041633402,0.041633402,0.041633402,0.078598109,0.078598109,0.040278489,0.088275227,0.041633402,0.041633402,0.031661587,0.041633402,0.041633402,0.031661587,0.027391241,0.027391241,0.080433467,0.019277181,0.166135583,0.081498829,0.256111595,0.100580401,0.09905036,0.077625827,0.079253519,0.105155409,0.301131566,0.18977977,0.136467459,0.09905036,0.18977977
g per lb,BC,6.42E-05,6.42E-05,6.42E-05,0.000123778,0.000123778,8.83E-05,0.000175152,6.42E-05,6.42E-05,5.53E-05,6.42E-05,6.42E-05,5.53E-05,5.23E-05,5.23E-05,0.000140113,3.54E-05,0.00025618,0.000205639,0.000395279,0.000155094,0.00015781,0.000119698,0.000122208,0.000162149,0.000464342,0.000292639,0.000210432,0.00015781,0.000292639
g per lb,OC,0.000163238,0.000163238,0.000163238,0.000311572,0.000311572,0.000352311,0.000397535,0.000163238,0.000163238,0.000132739,0.000163238,0.000163238,0.000132739,0.000120606,0.000120606,0.000337833,9.03E-05,0.000651393,0.000430477,0.001004675,0.000394361,0.000395048,0.000304359,0.000310741,0.000412299,0.001180692,0.000744098,0.000535069,0.000395048,0.000744098
