Own,AEO
Car,Two Seater Cars;Compact Cars;Large Cars;Midsize Cars;Mini-compact Cars;Subcompact Cars
Light truck,Large Pickup;Large Utility;Large Van;Small Pickup;Small Utility;Small Van
