"Technology","Size","Year","Data_type","Aeo_case","Aeo_year","Unit","Value"
"HEV","Light truck",2020,"sales","HOP",2018,"vehicle",108388
"ICEV-D","Light truck",2020,"sales","HOP",2018,"vehicle",136469
"ICEV-G","Light truck",2020,"sales","HOP",2018,"vehicle",6028438
"PHEV20","Light truck",2020,"sales","HOP",2018,"vehicle",31557
"PHEV40","Light truck",2020,"sales","HOP",2018,"vehicle",7632
"BEV100","Car",2021,"sales","HOP",2018,"vehicle",30348
"BEV300","Car",2021,"sales","HOP",2018,"vehicle",25186
"CNG","Car",2021,"sales","HOP",2018,"vehicle",37138
"FCV","Car",2021,"sales","HOP",2018,"vehicle",1774
"FFV","Car",2021,"sales","HOP",2018,"vehicle",367176
"HEV","Car",2021,"sales","HOP",2018,"vehicle",414602
"ICEV-D","Car",2021,"sales","HOP",2018,"vehicle",10732
"ICEV-G","Car",2021,"sales","HOP",2018,"vehicle",7574949
"PHEV20","Car",2021,"sales","HOP",2018,"vehicle",19633
"PHEV40","Car",2021,"sales","HOP",2018,"vehicle",45657
"BEV100","Light truck",2021,"sales","HOP",2018,"vehicle",5735
"BEV300","Light truck",2021,"sales","HOP",2018,"vehicle",5115
"CNG","Light truck",2021,"sales","HOP",2018,"vehicle",63527
"FCV","Light truck",2021,"sales","HOP",2018,"vehicle",1774
"FFV","Light truck",2021,"sales","HOP",2018,"vehicle",920465
"HEV","Light truck",2021,"sales","HOP",2018,"vehicle",106737
"ICEV-D","Light truck",2021,"sales","HOP",2018,"vehicle",134391
"ICEV-G","Light truck",2021,"sales","HOP",2018,"vehicle",5936634
"PHEV20","Light truck",2021,"sales","HOP",2018,"vehicle",31077
"PHEV40","Light truck",2021,"sales","HOP",2018,"vehicle",7515
"BEV100","Car",2022,"sales","HOP",2018,"vehicle",29050
"BEV300","Car",2022,"sales","HOP",2018,"vehicle",24109
"CNG","Car",2022,"sales","HOP",2018,"vehicle",35550
"FCV","Car",2022,"sales","HOP",2018,"vehicle",1698
"FFV","Car",2022,"sales","HOP",2018,"vehicle",351476
"HEV","Car",2022,"sales","HOP",2018,"vehicle",396874
"ICEV-D","Car",2022,"sales","HOP",2018,"vehicle",10273
"ICEV-G","Car",2022,"sales","HOP",2018,"vehicle",7251047
"PHEV20","Car",2022,"sales","HOP",2018,"vehicle",18793
"PHEV40","Car",2022,"sales","HOP",2018,"vehicle",43705
"BEV100","Light truck",2022,"sales","HOP",2018,"vehicle",5490
"BEV300","Light truck",2022,"sales","HOP",2018,"vehicle",4896
"CNG","Light truck",2022,"sales","HOP",2018,"vehicle",60810
"FCV","Light truck",2022,"sales","HOP",2018,"vehicle",1698
"FFV","Light truck",2022,"sales","HOP",2018,"vehicle",881106
"HEV","Light truck",2022,"sales","HOP",2018,"vehicle",102173
"ICEV-D","Light truck",2022,"sales","HOP",2018,"vehicle",128645
