Size,Model,Vehicle component,ICEV: Conventional Material,ICEV: Lightweight Material,HEV: Conventional Material,HEV: Lightweight Material,FCV: Conventional Material,FCV: Lightweight Material,PHEV: Conventional Material,PHEV: Lightweight Material,PHEV: Conventional Material,PHEV: Lightweight Material,PHEV: Conventional Material,PHEV: Lightweight Material,PHEV: Conventional Material,PHEV: Lightweight Material,EV: Conventional Material,EV: Lightweight Material,EV: Conventional Material,EV: Lightweight Material
PUT,1,Powertrain System,0.217481816,0.245907817,0.19038737,0.210481891,NA,NA,0.192825904,0.212476453,0.195093175,0.213642759,0.203605967,0.220955123,0.204653565,0.221810917,0.018422497,0.030324347,0.015646878,0.029031985
PUT,1,Transmission System,0.037262771,0.043125153,0.035466516,0.042129992,0.02869062,0.031990017,0.035399556,0.042106339,0.035150692,0.042011994,0.033804026,0.040956649,0.033487066,0.040822892,0.040416655,0.048568697,0.038967706,0.047917062
PUT,1,Chassis,0.285,0.339,0.295,0.352,0.306033277,0.366230538,0.303,0.367,0.303,0.367,0.303,0.367,0.303,0.367,0.363,0.45,0.363,0.45
PUT,1,Traction Motor,0,0,0.0234079,0.01741373,0.043567237,0.054052097,0.022891713,0.017123245,0.024371146,0.017364957,0.034254746,0.022935724,0.03705902,0.023677277,0.073827756,0.054396941,0.107031299,0.067083886
PUT,1,Generator,0,0,0.0234079,0.01741373,0,0,0.022891713,0.017123245,0.024371146,0.017364957,0.034254746,0.022935724,0.03705902,0.023677277,,,,
PUT,1,Electronic Controller,0,0,0.018,0.018,0.03825416,0.047433473,0.018,0.017,0.018,0.017,0.018,0.017,0.018,0.017,0.059,0.066,0.059,0.066
PUT,1,Fuel Cell Onboard Storage,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0
PUT,1,Body,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PUT,2,Powertrain System,0.146565302,0.163597822,0.19038737,0.210481891,NA,NA,0.192825904,0.212476453,0.195093175,0.213642759,0.203605967,0.220955123,0.204653565,0.221810917,0.018422497,0.030324347,0.015646878,0.029031985
PUT,2,Transmission System,0.062949202,0.060039845,0.035466516,0.042129992,0.02869062,0.031990017,0.035399556,0.042106339,0.035150692,0.042011994,0.033804026,0.040956649,0.033487066,0.040822892,0.040416655,0.048568697,0.038967706,0.047917062
PUT,2,Chassis,0.370852462,0.369562642,0.295,0.352,0.306033277,0.366230538,0.303,0.367,0.303,0.367,0.303,0.367,0.303,0.367,0.363,0.45,0.363,0.45
PUT,2,Traction Motor,0,0,0.0234079,0.01741373,0.043567237,0.054052097,0.022891713,0.017123245,0.024371146,0.017364957,0.034254746,0.022935724,0.03705902,0.023677277,0.073827756,0.054396941,0.107031299,0.067083886
PUT,2,Generator,0,0,0.0234079,0.01741373,0,0,0.022891713,0.017123245,0.024371146,0.017364957,0.034254746,0.022935724,0.03705902,0.023677277,,,,
PUT,2,Electronic Controller,0,0,0.018,0.018,0.03825416,0.047433473,0.018,0.017,0.018,0.017,0.018,0.017,0.018,0.017,0.059,0.066,0.059,0.066
PUT,2,Fuel Cell Onboard Storage,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0
PUT,2,Body,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
