Size,Technology,Fuel type,Range,Drive Cycle,Data,Unit,Source,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Car,ICEV-G,Gasoline,NA,City,75%,L/100km,EPA - FE,14.70090841,14.70090841,14.70090841,14.70090841,14.70090841,14.70090841,14.70090841,14.70090841,14.70090841,14.70090841,14.70090841,14.70090841,14.70090841,14.70090841,14.70090841,14.70090841,14.70090841,14.70090841,14.70090841,14.70090841,14.70090841,14.70090841,14.94592355,14.70090841,14.70090841,14.70090841,14.70090841,13.83614909,13.83614909,13.83614909
Car,ICEV-G,Gasoline,NA,City,100%,L/100km,EPA - FE,39.20242242,39.20242242,39.20242242,39.20242242,39.20242242,29.40181682,33.60207636,33.60207636,26.13494828,33.60207636,33.60207636,29.40181682,29.40181682,29.40181682,29.40181682,29.40181682,29.40181682,33.60207636,29.40181682,29.40181682,29.40181682,29.40181682,29.40181682,29.40181682,29.40181682,29.40181682,29.40181682,29.40181682,29.40181682,29.40181682
Car,ICEV-G,Gasoline,NA,Highway,0%,L/100km,EPA - FE,4.438010085,4.612049697,4.612049697,4.523356433,4.523356433,4.523356433,4.523356433,4.523356433,4.523356433,4.704290691,5.345784876,5.345784876,5.345784876,5.60034606,5.736939867,6.031141911,5.880363363,6.031141911,6.031141911,6.031141911,6.357149582,6.357149582,5.736939867,5.736939867,5.736939867,5.880363363,5.880363363,5.736939867,5.60034606,5.60034606
Car,ICEV-G,Gasoline,NA,Highway,25%,L/100km,EPA - FE,8.110846018,8.110846018,8.110846018,8.40051909,8.40051909,8.40051909,8.711649427,8.40051909,8.40051909,8.40051909,8.110846018,8.110846018,8.110846018,8.40051909,8.40051909,8.40051909,8.40051909,8.711649427,8.40051909,8.40051909,8.40051909,8.40051909,8.40051909,8.110846018,7.840484484,7.840484484,7.58756563,7.350454204,7.127713168,7.127713168
Car,ICEV-G,Gasoline,NA,Highway,50%,L/100km,EPA - FE,9.800605605,9.408581381,9.046712866,9.046712866,9.408581381,9.800605605,9.800605605,9.408581381,9.408581381,9.046712866,9.046712866,9.046712866,9.046712866,9.046712866,9.046712866,9.046712866,9.408581381,9.408581381,9.408581381,9.408581381,9.408581381,9.046712866,9.408581381,9.046712866,9.046712866,9.046712866,8.711649427,8.40051909,8.110846018,8.110846018
Car,ICEV-G,Gasoline,NA,Highway,75%,L/100km,EPA - FE,10.69156975,10.69156975,10.69156975,10.69156975,10.69156975,10.69156975,10.69156975,10.22671889,10.22671889,10.22671889,9.800605605,9.800605605,9.800605605,9.800605605,10.12019057,9.800605605,9.800605605,10.22671889,10.22671889,10.22671889,10.22671889,10.22671889,10.22671889,9.800605605,9.800605605,9.800605605,9.800605605,9.408581381,9.800605605,9.408581381
Car,ICEV-G,Gasoline,NA,Highway,100%,L/100km,EPA - FE,26.13494828,26.13494828,23.52145345,23.52145345,23.52145345,19.60121121,23.52145345,23.52145345,18.09342573,23.52145345,19.60121121,19.60121121,18.09342573,18.09342573,19.60121121,19.60121121,19.60121121,19.60121121,19.60121121,19.60121121,18.09342573,18.09342573,18.09342573,18.09342573,18.09342573,15.68096897,15.68096897,15.68096897,15.68096897,15.68096897
Light truck,ICEV-G,Gasoline,NA,Combined,0%,L/100km,EPA - FE,9.046712866,9.408581381,8.40051909,9.408581381,9.408581381,9.408581381,9.408581381,9.408581381,9.408581381,9.408581381,9.800605605,10.22671889,10.22671889,9.800605605,9.800605605,9.800605605,9.800605605,9.800605605,10.22671889,9.800605605,9.800605605,9.800605605,9.408581381,9.408581381,9.046712866,8.711649427,8.711649427,8.110846018,8.110846018,8.110846018
Light truck,ICEV-G,Gasoline,NA,Combined,25%,L/100km,EPA - FE,12.37971234,12.37971234,13.06747414,13.06747414,13.06747414,13.45181162,13.06747414,13.06747414,13.06747414,13.83614909,13.06747414,13.06747414,13.06747414,13.06747414,13.06747414,13.06747414,13.06747414,13.06747414,13.06747414,12.37971234,12.37971234,12.37971234,12.37971234,11.76072673,11.20069212,11.20069212,10.69156975,10.22671889,10.22671889,10.22671889
Light truck,ICEV-G,Gasoline,NA,Combined,50%,L/100km,EPA - FE,14.70090841,14.70090841,14.70090841,15.68096897,15.19093869,14.70090841,14.70090841,14.70090841,14.70090841,15.68096897,14.70090841,14.70090841,14.70090841,14.70090841,14.70090841,14.70090841,14.70090841,14.70090841,14.70090841,13.83614909,13.83614909,13.83614909,13.83614909,13.06747414,13.06747414,12.37971234,12.37971234,11.76072673,11.76072673,11.76072673
Light truck,ICEV-G,Gasoline,NA,Combined,75%,L/100km,EPA - FE,16.80103818,18.09342573,16.80103818,18.09342573,18.09342573,17.44723196,16.80103818,16.80103818,16.80103818,16.80103818,16.80103818,15.68096897,16.80103818,16.80103818,15.68096897,15.68096897,15.68096897,16.80103818,15.68096897,15.68096897,15.68096897,15.68096897,15.68096897,14.70090841,14.26852875,13.83614909,13.83614909,13.83614909,13.06747414,13.06747414
Light truck,ICEV-G,Gasoline,NA,Combined,100%,L/100km,EPA - FE,23.52145345,26.13494828,26.13494828,23.52145345,26.13494828,23.52145345,23.52145345,23.52145345,19.60121121,21.3831395,21.3831395,21.3831395,21.3831395,19.60121121,19.60121121,21.3831395,21.3831395,19.60121121,23.52145345,26.13494828,26.13494828,19.60121121,19.60121121,19.60121121,19.60121121,21.3831395,21.3831395,21.3831395,21.3831395,19.60121121
Light truck,ICEV-G,Gasoline,NA,City,0%,L/100km,EPA - FE,10.22671889,10.22671889,9.046712866,9.800605605,9.800605605,9.800605605,9.800605605,9.800605605,9.800605605,9.800605605,11.20069212,11.20069212,11.20069212,10.69156975,10.69156975,10.69156975,10.69156975,10.69156975,11.20069212,11.20069212,11.20069212,10.22671889,10.22671889,10.22671889,10.22671889,9.800605605,9.408581381,9.046712866,9.046712866,8.711649427
Light truck,ICEV-G,Gasoline,NA,City,25%,L/100km,EPA - FE,13.06747414,13.83614909,14.70090841,14.70090841,14.70090841,14.70090841,14.70090841,14.70090841,14.70090841,15.68096897,14.70090841,14.70090841,14.70090841,14.70090841,14.70090841,14.70090841,14.70090841,14.70090841,14.70090841,13.83614909,13.83614909,13.83614909,13.83614909,13.83614909,13.06747414,12.37971234,12.37971234,11.76072673,11.76072673,11.76072673
Light truck,ICEV-G,Gasoline,NA,City,50%,L/100km,EPA - FE,15.68096897,15.68096897,15.68096897,16.80103818,16.80103818,16.80103818,16.80103818,16.80103818,15.68096897,16.80103818,15.68096897,15.68096897,16.80103818,16.80103818,16.80103818,16.80103818,16.80103818,16.80103818,16.80103818,15.68096897,15.68096897,15.68096897,15.68096897,15.68096897,14.70090841,13.83614909,13.83614909,13.06747414,13.06747414,13.06747414
Light truck,ICEV-G,Gasoline,NA,City,75%,L/100km,EPA - FE,19.60121121,19.60121121,19.60121121,19.60121121,19.60121121,19.60121121,19.60121121,19.60121121,19.60121121,19.60121121,18.09342573,18.09342573,18.09342573,18.09342573,18.09342573,18.09342573,18.09342573,18.09342573,18.09342573,18.09342573,18.09342573,18.09342573,18.09342573,16.80103818,15.68096897,15.68096897,15.68096897,14.70090841,14.70090841,14.70090841
Light truck,ICEV-G,Gasoline,NA,City,100%,L/100km,EPA - FE,26.13494828,29.40181682,29.40181682,26.13494828,26.13494828,29.40181682,29.40181682,26.13494828,23.52145345,23.52145345,23.52145345,23.52145345,23.52145345,23.52145345,21.3831395,23.52145345,23.52145345,21.3831395,26.13494828,29.40181682,29.40181682,21.3831395,21.3831395,21.3831395,21.3831395,23.52145345,23.52145345,23.52145345,23.52145345,23.52145345
Light truck,ICEV-G,Gasoline,NA,Highway,0%,L/100km,EPA - FE,8.110846018,8.110846018,7.350454204,8.711649427,9.046712866,9.046712866,9.046712866,8.40051909,9.046712866,9.046712866,8.711649427,8.711649427,8.711649427,8.711649427,8.711649427,8.40051909,8.40051909,8.40051909,8.711649427,8.711649427,8.40051909,8.110846018,7.840484484,8.110846018,7.350454204,7.58756563,7.58756563,6.918074545,6.918074545,6.918074545
Light truck,ICEV-G,Gasoline,NA,Highway,25%,L/100km,EPA - FE,10.69156975,10.69156975,11.20069212,11.20069212,11.20069212,11.76072673,11.76072673,11.20069212,11.20069212,11.76072673,11.20069212,11.20069212,10.69156975,11.20069212,11.20069212,11.20069212,11.20069212,11.20069212,10.69156975,10.22671889,10.22671889,10.22671889,10.22671889,9.800605605,9.408581381,9.408581381,9.046712866,9.046712866,8.711649427,8.711649427
Light truck,ICEV-G,Gasoline,NA,Highway,50%,L/100km,EPA - FE,13.06747414,13.06747414,13.06747414,13.06747414,13.06747414,13.06747414,13.06747414,13.06747414,13.06747414,13.06747414,12.37971234,12.37971234,12.37971234,12.37971234,12.37971234,12.37971234,13.06747414,12.37971234,12.37971234,11.76072673,11.76072673,11.76072673,11.76072673,11.20069212,10.69156975,10.45914432,10.22671889,9.800605605,9.800605605,9.800605605
Light truck,ICEV-G,Gasoline,NA,Highway,75%,L/100km,EPA - FE,14.70090841,15.68096897,14.70090841,14.70090841,14.70090841,14.70090841,14.70090841,14.70090841,13.83614909,14.70090841,13.83614909,13.83614909,13.83614909,13.83614909,13.83614909,13.83614909,13.83614909,13.83614909,13.06747414,13.06747414,13.06747414,13.06747414,12.37971234,12.37971234,11.76072673,11.76072673,11.76072673,11.20069212,11.20069212,10.81885034
Light truck,ICEV-G,Gasoline,NA,Highway,100%,L/100km,EPA - FE,21.3831395,23.52145345,23.52145345,23.52145345,23.52145345,23.52145345,23.52145345,23.52145345,18.09342573,18.09342573,18.09342573,16.80103818,18.09342573,16.80103818,16.80103818,18.09342573,18.09342573,18.09342573,18.09342573,21.3831395,21.3831395,18.09342573,18.09342573,16.80103818,15.68096897,18.09342573,18.09342573,16.80103818,18.09342573,16.80103818
Car,ICEV-D,Diesel,NA,Combined,0%,L/100km,EPA - FE,5.880363363,6.720415272,8.40051909,6.918074545,6.918074545,6.918074545,7.127713168,12.37971234,11.20069212,9.408581381,6.189856172,6.357149582,6.189856172,6.189856172,6.189856172,6.189856172,6.031141911,6.031141911,6.53373707,6.720415272,6.918074545,9.046712866,9.046712866,7.350454204,7.350454204,7.350454204,6.918074545,6.918074545,6.53373707,6.53373707
Car,ICEV-D,Diesel,NA,Combined,25%,L/100km,EPA - FE,6.918074545,7.764116129,8.40051909,6.918074545,7.982393706,7.127713168,8.268147274,12.37971234,11.20069212,9.856609066,6.189856172,6.357149582,6.357149582,6.189856172,6.189856172,6.189856172,6.189856172,6.189856172,6.580406621,6.918074545,7.022893856,9.046712866,9.046712866,7.350454204,7.350454204,7.350454204,7.350454204,7.350454204,7.350454204,6.720415272
Car,ICEV-D,Diesel,NA,Combined,50%,L/100km,EPA - FE,6.918074545,9.046712866,8.40051909,6.918074545,9.046712866,9.046712866,9.408581381,12.37971234,11.20069212,10.30463675,6.720415272,6.53373707,6.742431375,6.742431375,6.65878467,6.65878467,6.65878467,6.65878467,7.239083686,7.127713168,7.127713168,9.046712866,9.046712866,7.350454204,7.350454204,7.350454204,7.350454204,7.350454204,7.350454204,6.918074545
Car,ICEV-D,Diesel,NA,Combined,75%,L/100km,EPA - FE,10.01366225,10.22671889,8.40051909,7.814861986,10.12370249,11.20069212,10.89414686,12.37971234,11.20069212,10.75266444,6.720415272,6.53373707,7.58756563,7.127713168,7.127713168,7.127713168,7.127713168,7.127713168,7.350454204,7.350454204,7.239083686,9.046712866,9.046712866,8.371350621,7.350454204,7.350454204,7.350454204,7.777254771,7.58756563,7.294768945
Car,ICEV-D,Diesel,NA,Combined,100%,L/100km,EPA - FE,10.69156975,11.76072673,8.40051909,8.711649427,11.20069212,11.20069212,12.37971234,12.37971234,11.20069212,11.20069212,8.711649427,9.046712866,9.046712866,9.046712866,7.127713168,7.127713168,7.127713168,7.127713168,8.711649427,8.711649427,8.711649427,9.046712866,9.046712866,9.046712866,8.711649427,9.046712866,9.800605605,9.800605605,8.110846018,9.046712866
Car,ICEV-D,Diesel,NA,City,0%,L/100km,EPA - FE,6.357149582,7.58756563,9.046712866,7.58756563,7.58756563,7.58756563,7.58756563,13.06747414,12.37971234,10.22671889,6.918074545,7.127713168,6.918074545,6.720415272,6.720415272,6.720415272,6.720415272,6.720415272,7.350454204,7.350454204,7.58756563,10.22671889,10.22671889,8.110846018,8.110846018,8.110846018,7.840484484,7.840484484,7.58756563,7.58756563
Car,ICEV-D,Diesel,NA,City,25%,L/100km,EPA - FE,7.58756563,8.317139248,9.046712866,7.58756563,8.907142261,7.58756563,8.907142261,13.06747414,12.37971234,10.76496726,6.918074545,7.127713168,7.294768945,6.720415272,6.720415272,6.720415272,6.720415272,6.720415272,7.40973206,7.58756563,7.714025057,10.22671889,10.22671889,8.110846018,8.110846018,8.110846018,8.110846018,8.110846018,8.110846018,7.58756563
Car,ICEV-D,Diesel,NA,City,50%,L/100km,EPA - FE,7.58756563,9.800605605,9.046712866,7.58756563,10.22671889,10.22671889,10.22671889,13.06747414,12.37971234,11.30321562,7.58756563,7.350454204,7.730650111,7.619279593,7.415630645,7.415630645,7.415630645,7.415630645,8.120501787,7.840484484,7.840484484,10.22671889,10.22671889,8.110846018,8.110846018,8.110846018,8.110846018,8.110846018,8.110846018,7.840484484
Car,ICEV-D,Diesel,NA,City,75%,L/100km,EPA - FE,10.94613094,11.20069212,9.046712866,8.694085618,11.30321562,12.37971234,11.64709652,13.06747414,12.37971234,11.84146398,7.58756563,7.350454204,8.711649427,8.110846018,8.110846018,8.110846018,8.110846018,8.110846018,8.40051909,8.40051909,8.120501787,10.22671889,10.22671889,9.697750674,8.110846018,8.110846018,8.110846018,8.711649427,8.711649427,8.328100822
Car,ICEV-D,Diesel,NA,City,100%,L/100km,EPA - FE,11.20069212,12.37971234,9.046712866,9.800605605,12.37971234,12.37971234,13.06747414,13.06747414,12.37971234,12.37971234,9.800605605,10.22671889,10.22671889,10.22671889,8.110846018,8.110846018,8.110846018,8.110846018,10.22671889,10.22671889,10.22671889,10.22671889,10.22671889,10.22671889,10.22671889,10.69156975,11.20069212,11.20069212,9.046712866,10.22671889
Car,ICEV-D,Diesel,NA,Highway,0%,L/100km,EPA - FE,5.226989656,5.880363363,7.58756563,6.031141911,6.031141911,6.031141911,6.53373707,10.69156975,9.046712866,8.110846018,5.345784876,5.345784876,5.226989656,5.345784876,5.345784876,5.345784876,5.226989656,5.226989656,5.60034606,5.736939867,5.880363363,7.350454204,7.350454204,6.031141911,6.031141911,6.031141911,5.880363363,5.880363363,5.345784876,5.345784876
Car,ICEV-D,Diesel,NA,Highway,25%,L/100km,EPA - FE,6.031141911,6.742431375,7.58756563,6.031141911,6.935813198,6.53373707,7.322291544,10.69156975,9.046712866,8.34481273,5.345784876,5.345784876,5.316086071,5.345784876,5.345784876,5.345784876,5.345784876,5.345784876,5.60034606,6.031141911,5.880363363,7.350454204,7.350454204,6.112643829,6.031141911,6.031141911,6.031141911,6.031141911,5.880363363,5.60034606
Car,ICEV-D,Diesel,NA,Highway,50%,L/100km,EPA - FE,6.031141911,8.110846018,7.58756563,6.031141911,7.840484484,7.840484484,8.110846018,10.69156975,9.046712866,8.578779442,5.736939867,5.60034606,5.750623683,5.613074119,5.613074119,5.613074119,5.613074119,5.613074119,6.031141911,6.031141911,6.189856172,7.350454204,7.350454204,6.357149582,6.357149582,6.357149582,6.357149582,6.194145746,6.031141911,5.808651615
Car,ICEV-D,Diesel,NA,Highway,75%,L/100km,EPA - FE,8.879181147,9.408581381,7.58756563,6.935813198,9.033601688,10.22671889,9.401207885,10.69156975,9.046712866,8.812746154,5.736939867,5.60034606,6.031141911,5.880363363,5.880363363,5.880363363,5.880363363,5.880363363,6.150177607,6.189856172,6.273502877,7.350454204,7.350454204,6.489590198,6.357149582,6.357149582,6.357149582,6.357149582,6.357149582,6.031141911
Car,ICEV-D,Diesel,NA,Highway,100%,L/100km,EPA - FE,9.800605605,11.20069212,7.58756563,7.840484484,10.22671889,10.22671889,10.69156975,10.69156975,9.046712866,9.046712866,7.350454204,7.840484484,7.58756563,7.350454204,5.880363363,5.880363363,6.031141911,6.031141911,6.918074545,7.127713168,7.127713168,7.350454204,7.350454204,7.350454204,6.53373707,7.127713168,7.58756563,7.58756563,6.53373707,7.58756563
Light truck,ICEV-D,Diesel,NA,Combined,0%,L/100km,EPA - FE,7.350454204,7.350454204,12.37971234,12.37971234,13.06747414,11.76072673,11.76072673,13.83614909,12.37971234,12.37971234,14.70090841,15.68096897,15.68096897,15.68096897,NA,NA,NA,10.69156975,13.06747414,11.20069212,11.20069212,11.20069212,11.20069212,10.69156975,10.69156975,10.69156975,10.69156975,8.711649427,8.711649427,7.840484484
Light truck,ICEV-D,Diesel,NA,Combined,25%,L/100km,EPA - FE,9.800605605,12.37971234,12.37971234,12.55165279,13.83614909,13.06747414,13.06747414,13.83614909,13.83614909,13.83614909,14.70090841,15.68096897,15.68096897,15.68096897,NA,NA,NA,10.69156975,13.06747414,11.20069212,11.85955636,11.34070077,11.34070077,11.49343748,11.07341153,11.20069212,11.07341153,9.847951526,8.962947007,8.711649427
Light truck,ICEV-D,Diesel,NA,Combined,50%,L/100km,EPA - FE,13.06747414,13.06747414,13.83614909,13.83614909,13.83614909,13.83614909,13.06747414,13.83614909,14.70090841,14.70090841,15.19093869,15.68096897,15.68096897,15.68096897,NA,NA,NA,10.69156975,13.06747414,11.20069212,12.51842061,11.76072673,11.76072673,11.76072673,11.48070942,11.76072673,11.48070942,10.45914432,9.636715879,8.711649427
Light truck,ICEV-D,Diesel,NA,Combined,75%,L/100km,EPA - FE,13.83614909,13.83614909,13.83614909,14.70090841,14.70090841,13.83614909,13.83614909,13.83614909,14.70090841,15.68096897,15.68096897,15.68096897,15.68096897,15.68096897,NA,NA,NA,10.69156975,13.06747414,11.20069212,13.17728485,12.22496594,12.22496594,11.91547313,11.91547313,11.76072673,11.91547313,10.69156975,10.34293161,9.408581381
Light truck,ICEV-D,Diesel,NA,Combined,100%,L/100km,EPA - FE,14.70090841,14.70090841,14.70090841,14.70090841,14.70090841,14.70090841,14.70090841,13.83614909,15.68096897,16.80103818,15.68096897,16.80103818,15.68096897,15.68096897,NA,NA,NA,10.69156975,13.06747414,11.20069212,13.83614909,13.83614909,13.83614909,12.37971234,12.37971234,12.37971234,12.37971234,10.69156975,10.69156975,10.69156975
Light truck,ICEV-D,Diesel,NA,City,0%,L/100km,EPA - FE,7.840484484,7.840484484,13.06747414,13.06747414,13.83614909,13.06747414,13.06747414,14.70090841,13.83614909,13.83614909,15.68096897,16.80103818,18.09342573,18.09342573,NA,NA,NA,11.20069212,15.68096897,12.37971234,12.37971234,12.37971234,13.06747414,12.37971234,12.37971234,12.37971234,11.76072673,9.800605605,9.800605605,8.711649427
