"Technology","Size","Year","Data_type","Aeo_case","Aeo_year","Unit","Value"
"PHEV20","Light truck",2020,"sales","REF",2018,"vehicle",39927
"PHEV40","Light truck",2020,"sales","REF",2018,"vehicle",23800
"BEV100","Car",2021,"sales","REF",2018,"vehicle",73877
"BEV300","Car",2021,"sales","REF",2018,"vehicle",418118
"CNG","Car",2021,"sales","REF",2018,"vehicle",28040
"FCV","Car",2021,"sales","REF",2018,"vehicle",15421
"FFV","Car",2021,"sales","REF",2018,"vehicle",373934
"HEV","Car",2021,"sales","REF",2018,"vehicle",539138
"ICEV-D","Car",2021,"sales","REF",2018,"vehicle",89795
"ICEV-G","Car",2021,"sales","REF",2018,"vehicle",7118062
"PHEV20","Car",2021,"sales","REF",2018,"vehicle",49643
"PHEV40","Car",2021,"sales","REF",2018,"vehicle",32299
"BEV100","Light truck",2021,"sales","REF",2018,"vehicle",34948
"BEV300","Light truck",2021,"sales","REF",2018,"vehicle",34521
"CNG","Light truck",2021,"sales","REF",2018,"vehicle",52238
"FCV","Light truck",2021,"sales","REF",2018,"vehicle",15642
"FFV","Light truck",2021,"sales","REF",2018,"vehicle",862475
"HEV","Light truck",2021,"sales","REF",2018,"vehicle",53162
"ICEV-D","Light truck",2021,"sales","REF",2018,"vehicle",210691
"ICEV-G","Light truck",2021,"sales","REF",2018,"vehicle",5516004
"PHEV20","Light truck",2021,"sales","REF",2018,"vehicle",48974
"PHEV40","Light truck",2021,"sales","REF",2018,"vehicle",29246
"BEV100","Car",2022,"sales","REF",2018,"vehicle",98571
"BEV300","Car",2022,"sales","REF",2018,"vehicle",598649
"CNG","Car",2022,"sales","REF",2018,"vehicle",28344
"FCV","Car",2022,"sales","REF",2018,"vehicle",18316
"FFV","Car",2022,"sales","REF",2018,"vehicle",365989
"HEV","Car",2022,"sales","REF",2018,"vehicle",548430
"ICEV-D","Car",2022,"sales","REF",2018,"vehicle",103930
"ICEV-G","Car",2022,"sales","REF",2018,"vehicle",6974682
"PHEV20","Car",2022,"sales","REF",2018,"vehicle",47698
"PHEV40","Car",2022,"sales","REF",2018,"vehicle",31742
"BEV100","Light truck",2022,"sales","REF",2018,"vehicle",41861
"BEV300","Light truck",2022,"sales","REF",2018,"vehicle",41638
"CNG","Light truck",2022,"sales","REF",2018,"vehicle",52057
"FCV","Light truck",2022,"sales","REF",2018,"vehicle",18842
"FFV","Light truck",2022,"sales","REF",2018,"vehicle",854141
"HEV","Light truck",2022,"sales","REF",2018,"vehicle",54638
"ICEV-D","Light truck",2022,"sales","REF",2018,"vehicle",216711
"ICEV-G","Light truck",2022,"sales","REF",2018,"vehicle",5442738
"PHEV20","Light truck",2022,"sales","REF",2018,"vehicle",47225
"PHEV40","Light truck",2022,"sales","REF",2018,"vehicle",28197
"BEV100","Car",2023,"sales","REF",2018,"vehicle",128855
"BEV300","Car",2023,"sales","REF",2018,"vehicle",862902
"CNG","Car",2023,"sales","REF",2018,"vehicle",28174
"FCV","Car",2023,"sales","REF",2018,"vehicle",20271
"FFV","Car",2023,"sales","REF",2018,"vehicle",363084
"HEV","Car",2023,"sales","REF",2018,"vehicle",553726
"ICEV-D","Car",2023,"sales","REF",2018,"vehicle",117767
"ICEV-G","Car",2023,"sales","REF",2018,"vehicle",6784076
"PHEV20","Car",2023,"sales","REF",2018,"vehicle",55138
"PHEV40","Car",2023,"sales","REF",2018,"vehicle",36677
"BEV100","Light truck",2023,"sales","REF",2018,"vehicle",55084
"BEV300","Light truck",2023,"sales","REF",2018,"vehicle",55110
"CNG","Light truck",2023,"sales","REF",2018,"vehicle",52152
"FCV","Light truck",2023,"sales","REF",2018,"vehicle",21350
"FFV","Light truck",2023,"sales","REF",2018,"vehicle",850898
"HEV","Light truck",2023,"sales","REF",2018,"vehicle",57156
"ICEV-D","Light truck",2023,"sales","REF",2018,"vehicle",220703
"ICEV-G","Light truck",2023,"sales","REF",2018,"vehicle",5390086
"PHEV20","Light truck",2023,"sales","REF",2018,"vehicle",55700
"PHEV40","Light truck",2023,"sales","REF",2018,"vehicle",33272
"BEV100","Car",2024,"sales","REF",2018,"vehicle",142623
"BEV300","Car",2024,"sales","REF",2018,"vehicle",930848
"CNG","Car",2024,"sales","REF",2018,"vehicle",28500
"FCV","Car",2024,"sales","REF",2018,"vehicle",24105
"FFV","Car",2024,"sales","REF",2018,"vehicle",368315
"HEV","Car",2024,"sales","REF",2018,"vehicle",574072
"ICEV-D","Car",2024,"sales","REF",2018,"vehicle",133447
"ICEV-G","Car",2024,"sales","REF",2018,"vehicle",6729938
"PHEV20","Car",2024,"sales","REF",2018,"vehicle",62356
"PHEV40","Car",2024,"sales","REF",2018,"vehicle",41985
"BEV100","Light truck",2024,"sales","REF",2018,"vehicle",94461
"BEV300","Light truck",2024,"sales","REF",2018,"vehicle",94974
"CNG","Light truck",2024,"sales","REF",2018,"vehicle",51509
"FCV","Light truck",2024,"sales","REF",2018,"vehicle",25209
"FFV","Light truck",2024,"sales","REF",2018,"vehicle",844073
"HEV","Light truck",2024,"sales","REF",2018,"vehicle",59365
"ICEV-D","Light truck",2024,"sales","REF",2018,"vehicle",215585
"ICEV-G","Light truck",2024,"sales","REF",2018,"vehicle",5265956
"PHEV20","Light truck",2024,"sales","REF",2018,"vehicle",61990
"PHEV40","Light truck",2024,"sales","REF",2018,"vehicle",37034
