"Technology","Size","Year","Data_type","Value","Unit"
"FCV","Car",1996,"sales",0,"vehicle"
"FFV","Car",1996,"sales",4896,"vehicle"
"HEV","Car",1996,"sales",0,"vehicle"
"ICEV-D","Car",1996,"sales",8525,"vehicle"
"ICEV-G","Car",1996,"sales",8512489,"vehicle"
"PHEV20","Car",1996,"sales",0,"vehicle"
"PHEV40","Car",1996,"sales",0,"vehicle"
"BEV100","Light truck",1996,"sales",50,"vehicle"
"BEV300","Light truck",1996,"sales",0,"vehicle"
"CNG","Light truck",1996,"sales",1694,"vehicle"
"FCV","Light truck",1996,"sales",0,"vehicle"
"FFV","Light truck",1996,"sales",70409,"vehicle"
"HEV","Light truck",1996,"sales",0,"vehicle"
"ICEV-D","Light truck",1996,"sales",241197,"vehicle"
"ICEV-G","Light truck",1996,"sales",6205489,"vehicle"
"PHEV20","Light truck",1996,"sales",0,"vehicle"
"PHEV40","Light truck",1996,"sales",0,"vehicle"
"BEV100","Car",1997,"sales",0,"vehicle"
"BEV300","Car",1997,"sales",0,"vehicle"
"CNG","Car",1997,"sales",0,"vehicle"
"FCV","Car",1997,"sales",0,"vehicle"
"FFV","Car",1997,"sales",15770,"vehicle"
"HEV","Car",1997,"sales",0,"vehicle"
"ICEV-D","Car",1997,"sales",7444,"vehicle"
"ICEV-G","Car",1997,"sales",8248990,"vehicle"
"PHEV20","Car",1997,"sales",0,"vehicle"
"PHEV40","Car",1997,"sales",0,"vehicle"
"BEV100","Light truck",1997,"sales",67,"vehicle"
"BEV300","Light truck",1997,"sales",0,"vehicle"
"CNG","Light truck",1997,"sales",1835,"vehicle"
"FCV","Light truck",1997,"sales",0,"vehicle"
"FFV","Light truck",1997,"sales",103559,"vehicle"
"HEV","Light truck",1997,"sales",0,"vehicle"
"ICEV-D","Light truck",1997,"sales",326249,"vehicle"
"ICEV-G","Light truck",1997,"sales",6365155,"vehicle"
"PHEV20","Light truck",1997,"sales",0,"vehicle"
"PHEV40","Light truck",1997,"sales",0,"vehicle"
"BEV100","Car",1998,"sales",803,"vehicle"
"BEV300","Car",1998,"sales",0,"vehicle"
"CNG","Car",1998,"sales",4317,"vehicle"
"FCV","Car",1998,"sales",0,"vehicle"
"FFV","Car",1998,"sales",44180,"vehicle"
"HEV","Car",1998,"sales",0,"vehicle"
"ICEV-D","Car",1998,"sales",10493,"vehicle"
"ICEV-G","Car",1998,"sales",8011790,"vehicle"
"PHEV20","Car",1998,"sales",0,"vehicle"
"PHEV40","Car",1998,"sales",0,"vehicle"
"BEV100","Light truck",1998,"sales",331,"vehicle"
"BEV300","Light truck",1998,"sales",0,"vehicle"
"CNG","Light truck",1998,"sales",1952,"vehicle"
"FCV","Light truck",1998,"sales",0,"vehicle"
"FFV","Light truck",1998,"sales",169407,"vehicle"
"HEV","Light truck",1998,"sales",0,"vehicle"
"ICEV-D","Light truck",1998,"sales",125275,"vehicle"
"ICEV-G","Light truck",1998,"sales",7072168,"vehicle"
"PHEV20","Light truck",1998,"sales",0,"vehicle"
"PHEV40","Light truck",1998,"sales",0,"vehicle"
"BEV100","Car",1999,"sales",636,"vehicle"
"BEV300","Car",1999,"sales",0,"vehicle"
"CNG","Car",1999,"sales",16608,"vehicle"
"FCV","Car",1999,"sales",0,"vehicle"
"FFV","Car",1999,"sales",77164,"vehicle"
"HEV","Car",1999,"sales",18,"vehicle"
"ICEV-D","Car",1999,"sales",15333,"vehicle"
"ICEV-G","Car",1999,"sales",9473864,"vehicle"
"PHEV20","Car",1999,"sales",0,"vehicle"
"PHEV40","Car",1999,"sales",0,"vehicle"
"BEV100","Light truck",1999,"sales",307,"vehicle"
"BEV300","Light truck",1999,"sales",0,"vehicle"
"CNG","Light truck",1999,"sales",2046,"vehicle"
"FCV","Light truck",1999,"sales",0,"vehicle"
"FFV","Light truck",1999,"sales",289628,"vehicle"
"HEV","Light truck",1999,"sales",0,"vehicle"
"ICEV-D","Light truck",1999,"sales",431284,"vehicle"
"ICEV-G","Light truck",1999,"sales",6586644,"vehicle"
"PHEV20","Light truck",1999,"sales",0,"vehicle"
"PHEV40","Light truck",1999,"sales",0,"vehicle"
"BEV100","Car",2000,"sales",504,"vehicle"
"BEV300","Car",2000,"sales",0,"vehicle"
"CNG","Car",2000,"sales",35099,"vehicle"
"FCV","Car",2000,"sales",0,"vehicle"
"FFV","Car",2000,"sales",76187,"vehicle"
"HEV","Car",2000,"sales",9367,"vehicle"
"ICEV-D","Car",2000,"sales",23304,"vehicle"
"ICEV-G","Car",2000,"sales",8818755,"vehicle"
"PHEV20","Car",2000,"sales",0,"vehicle"
"PHEV40","Car",2000,"sales",0,"vehicle"
"BEV100","Light truck",2000,"sales",335,"vehicle"
"BEV300","Light truck",2000,"sales",0,"vehicle"
"CNG","Light truck",2000,"sales",2264,"vehicle"
"FCV","Light truck",2000,"sales",0,"vehicle"
"FFV","Light truck",2000,"sales",397455,"vehicle"
"HEV","Light truck",2000,"sales",0,"vehicle"
"ICEV-D","Light truck",2000,"sales",402553,"vehicle"
"ICEV-G","Light truck",2000,"sales",7583927,"vehicle"
"PHEV20","Light truck",2000,"sales",0,"vehicle"
"PHEV40","Light truck",2000,"sales",0,"vehicle"
"BEV100","Car",2001,"sales",263,"vehicle"
"BEV300","Car",2001,"sales",0,"vehicle"
"CNG","Car",2001,"sales",53587,"vehicle"
"FCV","Car",2001,"sales",0,"vehicle"
"FFV","Car",2001,"sales",78341,"vehicle"
"HEV","Car",2001,"sales",20088,"vehicle"
"ICEV-D","Car",2001,"sales",15327,"vehicle"
"ICEV-G","Car",2001,"sales",8347793,"vehicle"
"PHEV20","Car",2001,"sales",0,"vehicle"
"PHEV40","Car",2001,"sales",0,"vehicle"
"BEV100","Light truck",2001,"sales",284,"vehicle"
"BEV300","Light truck",2001,"sales",0,"vehicle"
"CNG","Light truck",2001,"sales",2323,"vehicle"
"FCV","Light truck",2001,"sales",0,"vehicle"
"FFV","Light truck",2001,"sales",381423,"vehicle"
"HEV","Light truck",2001,"sales",0,"vehicle"
"ICEV-D","Light truck",2001,"sales",456169,"vehicle"
"ICEV-G","Light truck",2001,"sales",7766765,"vehicle"
"PHEV20","Light truck",2001,"sales",0,"vehicle"
"PHEV40","Light truck",2001,"sales",0,"vehicle"
"BEV100","Car",2002,"sales",81,"vehicle"
"BEV300","Car",2002,"sales",0,"vehicle"
"CNG","Car",2002,"sales",42053,"vehicle"
"FCV","Car",2002,"sales",0,"vehicle"
"FFV","Car",2002,"sales",81014,"vehicle"
"HEV","Car",2002,"sales",35751,"vehicle"
"ICEV-D","Car",2002,"sales",31914,"vehicle"
"ICEV-G","Car",2002,"sales",7992455,"vehicle"
"PHEV20","Car",2002,"sales",0,"vehicle"
"PHEV40","Car",2002,"sales",0,"vehicle"
"BEV100","Light truck",2002,"sales",379,"vehicle"
"BEV300","Light truck",2002,"sales",0,"vehicle"
"CNG","Light truck",2002,"sales",2071,"vehicle"
"FCV","Light truck",2002,"sales",0,"vehicle"
"FFV","Light truck",2002,"sales",369801,"vehicle"
"HEV","Light truck",2002,"sales",0,"vehicle"
"ICEV-D","Light truck",2002,"sales",423021,"vehicle"
"ICEV-G","Light truck",2002,"sales",7837821,"vehicle"
"PHEV20","Light truck",2002,"sales",0,"vehicle"
"PHEV40","Light truck",2002,"sales",0,"vehicle"
"BEV100","Car",2003,"sales",69,"vehicle"
"BEV300","Car",2003,"sales",0,"vehicle"
"CNG","Car",2003,"sales",21563,"vehicle"
"FCV","Car",2003,"sales",0,"vehicle"
"FFV","Car",2003,"sales",78553,"vehicle"
"HEV","Car",2003,"sales",47293,"vehicle"
"ICEV-D","Car",2003,"sales",30805,"vehicle"
"ICEV-G","Car",2003,"sales",7523043,"vehicle"
"PHEV20","Car",2003,"sales",0,"vehicle"
"PHEV40","Car",2003,"sales",0,"vehicle"
"BEV100","Light truck",2003,"sales",89,"vehicle"
"BEV300","Light truck",2003,"sales",0,"vehicle"
"CNG","Light truck",2003,"sales",6256,"vehicle"
"FCV","Light truck",2003,"sales",0,"vehicle"
"FFV","Light truck",2003,"sales",469230,"vehicle"
"HEV","Light truck",2003,"sales",0,"vehicle"
"ICEV-D","Light truck",2003,"sales",527325,"vehicle"
"ICEV-G","Light truck",2003,"sales",7934821,"vehicle"
"PHEV20","Light truck",2003,"sales",0,"vehicle"
"PHEV40","Light truck",2003,"sales",0,"vehicle"
"BEV100","Car",2004,"sales",30,"vehicle"
"BEV300","Car",2004,"sales",0,"vehicle"
"CNG","Car",2004,"sales",8417,"vehicle"
"FCV","Car",2004,"sales",0,"vehicle"
"FFV","Car",2004,"sales",95655,"vehicle"
"HEV","Car",2004,"sales",81118,"vehicle"
"ICEV-D","Car",2004,"sales",22957,"vehicle"
"ICEV-G","Car",2004,"sales",7444248,"vehicle"
"PHEV20","Car",2004,"sales",0,"vehicle"
"PHEV40","Car",2004,"sales",0,"vehicle"
"BEV100","Light truck",2004,"sales",82,"vehicle"
"BEV300","Light truck",2004,"sales",0,"vehicle"
"CNG","Light truck",2004,"sales",7371,"vehicle"
"FCV","Light truck",2004,"sales",0,"vehicle"
"FFV","Light truck",2004,"sales",586963,"vehicle"
"HEV","Light truck",2004,"sales",2995,"vehicle"
"ICEV-D","Light truck",2004,"sales",516011,"vehicle"
"ICEV-G","Light truck",2004,"sales",8101067,"vehicle"
"PHEV20","Light truck",2004,"sales",0,"vehicle"
"PHEV40","Light truck",2004,"sales",0,"vehicle"
"BEV100","Car",2005,"sales",15,"vehicle"
"BEV300","Car",2005,"sales",0,"vehicle"
"CNG","Car",2005,"sales",3943,"vehicle"
"FCV","Car",2005,"sales",0,"vehicle"
"FFV","Car",2005,"sales",119084,"vehicle"
"HEV","Car",2005,"sales",151221,"vehicle"
"ICEV-D","Car",2005,"sales",31545,"vehicle"
"ICEV-G","Car",2005,"sales",7580598,"vehicle"
"PHEV20","Car",2005,"sales",0,"vehicle"
"PHEV40","Car",2005,"sales",0,"vehicle"
"BEV100","Light truck",2005,"sales",81,"vehicle"
"BEV300","Light truck",2005,"sales",0,"vehicle"
"CNG","Light truck",2005,"sales",8155,"vehicle"
"FCV","Light truck",2005,"sales",0,"vehicle"
"FFV","Light truck",2005,"sales",473908,"vehicle"
"HEV","Light truck",2005,"sales",54639,"vehicle"
"ICEV-D","Light truck",2005,"sales",498373,"vehicle"
"ICEV-G","Light truck",2005,"sales",8026186,"vehicle"
"PHEV20","Light truck",2005,"sales",0,"vehicle"
"PHEV40","Light truck",2005,"sales",0,"vehicle"
"BEV100","Car",2006,"sales",30,"vehicle"
"BEV300","Car",2006,"sales",0,"vehicle"
"CNG","Car",2006,"sales",3760,"vehicle"
"FCV","Car",2006,"sales",0,"vehicle"
"FFV","Car",2006,"sales",145901,"vehicle"
"HEV","Car",2006,"sales",170840,"vehicle"
"ICEV-D","Car",2006,"sales",45124,"vehicle"
"ICEV-G","Car",2006,"sales",7155040,"vehicle"
"PHEV20","Car",2006,"sales",0,"vehicle"
"PHEV40","Car",2006,"sales",0,"vehicle"
"BEV100","Light truck",2006,"sales",102,"vehicle"
"BEV300","Light truck",2006,"sales",0,"vehicle"
"CNG","Light truck",2006,"sales",8533,"vehicle"
"FCV","Light truck",2006,"sales",0,"vehicle"
"FFV","Light truck",2006,"sales",588825,"vehicle"
"HEV","Light truck",2006,"sales",74896,"vehicle"
"ICEV-D","Light truck",2006,"sales",341348,"vehicle"
"ICEV-G","Light truck",2006,"sales",7519995,"vehicle"
"PHEV20","Light truck",2006,"sales",0,"vehicle"
"PHEV40","Light truck",2006,"sales",0,"vehicle"
"BEV100","Car",1970,"stock",0,"vehicle"
"BEV300","Car",1970,"stock",0,"vehicle"
"CNG","Car",1970,"stock",0,"vehicle"
"FCV","Car",1970,"stock",0,"vehicle"
"FFV","Car",1970,"stock",0,"vehicle"
"HEV","Car",1970,"stock",0,"vehicle"
"ICEV-D","Car",1970,"stock",0,"vehicle"
"ICEV-G","Car",1970,"stock",90858748,"vehicle"
"PHEV20","Car",1970,"stock",0,"vehicle"
"PHEV40","Car",1970,"stock",0,"vehicle"
"BEV100","Light truck",1970,"stock",0,"vehicle"
"BEV300","Light truck",1970,"stock",0,"vehicle"
"CNG","Light truck",1970,"stock",0,"vehicle"
"FCV","Light truck",1970,"stock",0,"vehicle"
"FFV","Light truck",1970,"stock",0,"vehicle"
"HEV","Light truck",1970,"stock",0,"vehicle"
"ICEV-D","Light truck",1970,"stock",0,"vehicle"
"ICEV-G","Light truck",1970,"stock",17334029,"vehicle"
"PHEV20","Light truck",1970,"stock",0,"vehicle"
"PHEV40","Light truck",1970,"stock",0,"vehicle"
"BEV100","Car",1971,"stock",0,"vehicle"
"BEV300","Car",1971,"stock",0,"vehicle"
"CNG","Car",1971,"stock",0,"vehicle"
"FCV","Car",1971,"stock",0,"vehicle"
"FFV","Car",1971,"stock",0,"vehicle"
"HEV","Car",1971,"stock",0,"vehicle"
"ICEV-D","Car",1971,"stock",0,"vehicle"
"ICEV-G","Car",1971,"stock",94770600,"vehicle"
"PHEV20","Car",1971,"stock",0,"vehicle"
"PHEV40","Car",1971,"stock",0,"vehicle"
"BEV100","Light truck",1971,"stock",0,"vehicle"
"BEV300","Light truck",1971,"stock",0,"vehicle"
"CNG","Light truck",1971,"stock",0,"vehicle"
"FCV","Light truck",1971,"stock",0,"vehicle"
"FFV","Light truck",1971,"stock",0,"vehicle"
"HEV","Light truck",1971,"stock",0,"vehicle"
"ICEV-D","Light truck",1971,"stock",0,"vehicle"
"ICEV-G","Light truck",1971,"stock",18518153,"vehicle"
"PHEV20","Light truck",1971,"stock",0,"vehicle"
"PHEV40","Light truck",1971,"stock",0,"vehicle"
"BEV100","Car",1972,"stock",0,"vehicle"
"BEV300","Car",1972,"stock",0,"vehicle"
"CNG","Car",1972,"stock",0,"vehicle"
"FCV","Car",1972,"stock",0,"vehicle"
"FFV","Car",1972,"stock",0,"vehicle"
"HEV","Car",1972,"stock",0,"vehicle"
"ICEV-D","Car",1972,"stock",0,"vehicle"
"ICEV-G","Car",1972,"stock",99444372,"vehicle"
"PHEV20","Car",1972,"stock",0,"vehicle"
"PHEV40","Car",1972,"stock",0,"vehicle"
"BEV100","Light truck",1972,"stock",0,"vehicle"
"BEV300","Light truck",1972,"stock",0,"vehicle"
"CNG","Light truck",1972,"stock",0,"vehicle"
"FCV","Light truck",1972,"stock",0,"vehicle"
"FFV","Light truck",1972,"stock",0,"vehicle"
"HEV","Light truck",1972,"stock",0,"vehicle"
"ICEV-D","Light truck",1972,"stock",0,"vehicle"
"ICEV-G","Light truck",1972,"stock",20039148,"vehicle"
"PHEV20","Light truck",1972,"stock",0,"vehicle"
"PHEV40","Light truck",1972,"stock",0,"vehicle"
"BEV100","Car",1973,"stock",0,"vehicle"
"BEV300","Car",1973,"stock",0,"vehicle"
"CNG","Car",1973,"stock",0,"vehicle"
"FCV","Car",1973,"stock",0,"vehicle"
"FFV","Car",1973,"stock",0,"vehicle"
"HEV","Car",1973,"stock",0,"vehicle"
"ICEV-D","Car",1973,"stock",0,"vehicle"
"ICEV-G","Car",1973,"stock",104818075,"vehicle"
"PHEV20","Car",1973,"stock",0,"vehicle"
"PHEV40","Car",1973,"stock",0,"vehicle"
"BEV100","Light truck",1973,"stock",0,"vehicle"
"BEV300","Light truck",1973,"stock",0,"vehicle"
"CNG","Light truck",1973,"stock",0,"vehicle"
"FCV","Light truck",1973,"stock",0,"vehicle"
"FFV","Light truck",1973,"stock",0,"vehicle"
"HEV","Light truck",1973,"stock",0,"vehicle"
"ICEV-D","Light truck",1973,"stock",0,"vehicle"
"ICEV-G","Light truck",1973,"stock",22058189,"vehicle"
"PHEV20","Light truck",1973,"stock",0,"vehicle"
"PHEV40","Light truck",1973,"stock",0,"vehicle"
"BEV100","Car",1974,"stock",0,"vehicle"
"BEV300","Car",1974,"stock",0,"vehicle"
"CNG","Car",1974,"stock",0,"vehicle"
"FCV","Car",1974,"stock",0,"vehicle"
"FFV","Car",1974,"stock",0,"vehicle"
"HEV","Car",1974,"stock",0,"vehicle"
"ICEV-D","Car",1974,"stock",0,"vehicle"
"ICEV-G","Car",1974,"stock",108177923,"vehicle"
"PHEV20","Car",1974,"stock",0,"vehicle"
"PHEV40","Car",1974,"stock",0,"vehicle"
"BEV100","Light truck",1974,"stock",0,"vehicle"
"BEV300","Light truck",1974,"stock",0,"vehicle"
"CNG","Light truck",1974,"stock",0,"vehicle"
"FCV","Light truck",1974,"stock",0,"vehicle"
"FFV","Light truck",1974,"stock",0,"vehicle"
"HEV","Light truck",1974,"stock",0,"vehicle"
"ICEV-D","Light truck",1974,"stock",0,"vehicle"
"ICEV-G","Light truck",1974,"stock",23584376,"vehicle"
"PHEV20","Light truck",1974,"stock",0,"vehicle"
"PHEV40","Light truck",1974,"stock",0,"vehicle"
"BEV100","Car",1975,"stock",0,"vehicle"
"BEV300","Car",1975,"stock",0,"vehicle"
"CNG","Car",1975,"stock",0,"vehicle"
"FCV","Car",1975,"stock",0,"vehicle"
"FFV","Car",1975,"stock",0,"vehicle"
"HEV","Car",1975,"stock",0,"vehicle"
"ICEV-D","Car",1975,"stock",0,"vehicle"
"ICEV-G","Car",1975,"stock",109933007,"vehicle"
"PHEV20","Car",1975,"stock",0,"vehicle"
"PHEV40","Car",1975,"stock",0,"vehicle"
"BEV100","Light truck",1975,"stock",0,"vehicle"
"BEV300","Light truck",1975,"stock",0,"vehicle"
"CNG","Light truck",1975,"stock",0,"vehicle"
"FCV","Light truck",1975,"stock",0,"vehicle"
"FFV","Light truck",1975,"stock",0,"vehicle"
"HEV","Light truck",1975,"stock",0,"vehicle"
"ICEV-D","Light truck",1975,"stock",0,"vehicle"
"ICEV-G","Light truck",1975,"stock",24906110,"vehicle"
"PHEV20","Light truck",1975,"stock",0,"vehicle"
"PHEV40","Light truck",1975,"stock",0,"vehicle"
"BEV100","Car",1976,"stock",0,"vehicle"
"BEV300","Car",1976,"stock",0,"vehicle"
"CNG","Car",1976,"stock",0,"vehicle"
"FCV","Car",1976,"stock",0,"vehicle"
"FFV","Car",1976,"stock",0,"vehicle"
"HEV","Car",1976,"stock",0,"vehicle"
"ICEV-D","Car",1976,"stock",0,"vehicle"
"ICEV-G","Car",1976,"stock",113224830,"vehicle"
"PHEV20","Car",1976,"stock",0,"vehicle"
"PHEV40","Car",1976,"stock",0,"vehicle"
"BEV100","Light truck",1976,"stock",0,"vehicle"
"BEV300","Light truck",1976,"stock",0,"vehicle"
"CNG","Light truck",1976,"stock",0,"vehicle"
"FCV","Light truck",1976,"stock",0,"vehicle"
"FFV","Light truck",1976,"stock",0,"vehicle"
"HEV","Light truck",1976,"stock",0,"vehicle"
"ICEV-D","Light truck",1976,"stock",0,"vehicle"
"ICEV-G","Light truck",1976,"stock",27202365,"vehicle"
"PHEV20","Light truck",1976,"stock",0,"vehicle"
"PHEV40","Light truck",1976,"stock",0,"vehicle"
"BEV100","Car",1977,"stock",0,"vehicle"
"BEV300","Car",1977,"stock",0,"vehicle"
"CNG","Car",1977,"stock",0,"vehicle"
"FCV","Car",1977,"stock",0,"vehicle"
"FFV","Car",1977,"stock",0,"vehicle"
"HEV","Car",1977,"stock",0,"vehicle"
"ICEV-D","Car",1977,"stock",0,"vehicle"
"ICEV-G","Car",1977,"stock",115211032,"vehicle"
"PHEV20","Car",1977,"stock",0,"vehicle"
"PHEV40","Car",1977,"stock",0,"vehicle"
"BEV100","Light truck",1977,"stock",0,"vehicle"
"BEV300","Light truck",1977,"stock",0,"vehicle"
"CNG","Light truck",1977,"stock",0,"vehicle"
"FCV","Light truck",1977,"stock",0,"vehicle"
"FFV","Light truck",1977,"stock",0,"vehicle"
"HEV","Light truck",1977,"stock",0,"vehicle"
"ICEV-D","Light truck",1977,"stock",0,"vehicle"
"ICEV-G","Light truck",1977,"stock",28816939,"vehicle"
"PHEV20","Light truck",1977,"stock",0,"vehicle"
"PHEV40","Light truck",1977,"stock",0,"vehicle"
"BEV100","Car",1978,"stock",0,"vehicle"
"BEV300","Car",1978,"stock",0,"vehicle"
"CNG","Car",1978,"stock",0,"vehicle"
"FCV","Car",1978,"stock",0,"vehicle"
"FFV","Car",1978,"stock",0,"vehicle"
"HEV","Car",1978,"stock",0,"vehicle"
"ICEV-D","Car",1978,"stock",0,"vehicle"
"ICEV-G","Car",1978,"stock",119273980,"vehicle"
"PHEV20","Car",1978,"stock",0,"vehicle"
"PHEV40","Car",1978,"stock",0,"vehicle"
"BEV100","Light truck",1978,"stock",0,"vehicle"
"BEV300","Light truck",1978,"stock",0,"vehicle"
"CNG","Light truck",1978,"stock",0,"vehicle"
"FCV","Light truck",1978,"stock",0,"vehicle"
"FFV","Light truck",1978,"stock",0,"vehicle"
"HEV","Light truck",1978,"stock",0,"vehicle"
"ICEV-D","Light truck",1978,"stock",0,"vehicle"
"ICEV-G","Light truck",1978,"stock",31075606,"vehicle"
"PHEV20","Light truck",1978,"stock",0,"vehicle"
"PHEV40","Light truck",1978,"stock",0,"vehicle"
"BEV100","Car",1979,"stock",0,"vehicle"
"BEV300","Car",1979,"stock",0,"vehicle"
"CNG","Car",1979,"stock",0,"vehicle"
"FCV","Car",1979,"stock",0,"vehicle"
"FFV","Car",1979,"stock",0,"vehicle"
"HEV","Car",1979,"stock",0,"vehicle"
"ICEV-D","Car",1979,"stock",0,"vehicle"
"ICEV-G","Car",1979,"stock",121552058,"vehicle"
"PHEV20","Car",1979,"stock",0,"vehicle"
"PHEV40","Car",1979,"stock",0,"vehicle"
"BEV100","Light truck",1979,"stock",0,"vehicle"
"BEV300","Light truck",1979,"stock",0,"vehicle"
"CNG","Light truck",1979,"stock",0,"vehicle"
"FCV","Light truck",1979,"stock",0,"vehicle"
"FFV","Light truck",1979,"stock",0,"vehicle"
"HEV","Light truck",1979,"stock",0,"vehicle"
"ICEV-D","Light truck",1979,"stock",0,"vehicle"
"ICEV-G","Light truck",1979,"stock",32961626,"vehicle"
"PHEV20","Light truck",1979,"stock",0,"vehicle"
"PHEV40","Light truck",1979,"stock",0,"vehicle"
"BEV100","Car",1980,"stock",0,"vehicle"
"BEV300","Car",1980,"stock",0,"vehicle"
"CNG","Car",1980,"stock",0,"vehicle"
"FCV","Car",1980,"stock",0,"vehicle"
"FFV","Car",1980,"stock",0,"vehicle"
"HEV","Car",1980,"stock",0,"vehicle"
"ICEV-D","Car",1980,"stock",0,"vehicle"
"ICEV-G","Car",1980,"stock",124923354,"vehicle"
"PHEV20","Car",1980,"stock",0,"vehicle"
"PHEV40","Car",1980,"stock",0,"vehicle"
"BEV100","Light truck",1980,"stock",0,"vehicle"
"BEV300","Light truck",1980,"stock",0,"vehicle"
"CNG","Light truck",1980,"stock",0,"vehicle"
"FCV","Light truck",1980,"stock",0,"vehicle"
"FFV","Light truck",1980,"stock",0,"vehicle"
"HEV","Light truck",1980,"stock",0,"vehicle"
"ICEV-D","Light truck",1980,"stock",0,"vehicle"
"ICEV-G","Light truck",1980,"stock",34002967,"vehicle"
"PHEV20","Light truck",1980,"stock",0,"vehicle"
"PHEV40","Light truck",1980,"stock",0,"vehicle"
"BEV100","Car",1981,"stock",0,"vehicle"
"BEV300","Car",1981,"stock",0,"vehicle"
"CNG","Car",1981,"stock",0,"vehicle"
"FCV","Car",1981,"stock",0,"vehicle"
"FFV","Car",1981,"stock",0,"vehicle"
"HEV","Car",1981,"stock",0,"vehicle"
"ICEV-D","Car",1981,"stock",0,"vehicle"
"ICEV-G","Car",1981,"stock",126468629,"vehicle"
"PHEV20","Car",1981,"stock",0,"vehicle"
"PHEV40","Car",1981,"stock",0,"vehicle"
"BEV100","Light truck",1981,"stock",0,"vehicle"
"BEV300","Light truck",1981,"stock",0,"vehicle"
"CNG","Light truck",1981,"stock",0,"vehicle"
"FCV","Light truck",1981,"stock",0,"vehicle"
"FFV","Light truck",1981,"stock",0,"vehicle"
"HEV","Light truck",1981,"stock",0,"vehicle"
"ICEV-D","Light truck",1981,"stock",0,"vehicle"
"ICEV-G","Light truck",1981,"stock",35286069,"vehicle"
"PHEV20","Light truck",1981,"stock",0,"vehicle"
"PHEV40","Light truck",1981,"stock",0,"vehicle"
"BEV100","Car",1982,"stock",0,"vehicle"
"BEV300","Car",1982,"stock",0,"vehicle"
"CNG","Car",1982,"stock",0,"vehicle"
"FCV","Car",1982,"stock",0,"vehicle"
"FFV","Car",1982,"stock",0,"vehicle"
"HEV","Car",1982,"stock",0,"vehicle"
"ICEV-D","Car",1982,"stock",0,"vehicle"
"ICEV-G","Car",1982,"stock",126921096,"vehicle"
"PHEV20","Car",1982,"stock",0,"vehicle"
"PHEV40","Car",1982,"stock",0,"vehicle"
"BEV100","Light truck",1982,"stock",0,"vehicle"
"BEV300","Light truck",1982,"stock",0,"vehicle"
"CNG","Light truck",1982,"stock",0,"vehicle"
"FCV","Light truck",1982,"stock",0,"vehicle"
"FFV","Light truck",1982,"stock",0,"vehicle"
"HEV","Light truck",1982,"stock",0,"vehicle"
"ICEV-D","Light truck",1982,"stock",0,"vehicle"
"ICEV-G","Light truck",1982,"stock",36340129,"vehicle"
"PHEV20","Light truck",1982,"stock",0,"vehicle"
"PHEV40","Light truck",1982,"stock",0,"vehicle"
"BEV100","Car",1983,"stock",0,"vehicle"
"BEV300","Car",1983,"stock",0,"vehicle"
"CNG","Car",1983,"stock",0,"vehicle"
"FCV","Car",1983,"stock",0,"vehicle"
"FFV","Car",1983,"stock",0,"vehicle"
"HEV","Car",1983,"stock",0,"vehicle"
"ICEV-D","Car",1983,"stock",0,"vehicle"
"ICEV-G","Car",1983,"stock",129373474,"vehicle"
"PHEV20","Car",1983,"stock",0,"vehicle"
"PHEV40","Car",1983,"stock",0,"vehicle"
"BEV100","Light truck",1983,"stock",0,"vehicle"
"BEV300","Light truck",1983,"stock",0,"vehicle"
"CNG","Light truck",1983,"stock",0,"vehicle"
"FCV","Light truck",1983,"stock",0,"vehicle"
"FFV","Light truck",1983,"stock",0,"vehicle"
"HEV","Light truck",1983,"stock",0,"vehicle"
"ICEV-D","Light truck",1983,"stock",0,"vehicle"
"ICEV-G","Light truck",1983,"stock",38075001,"vehicle"
"PHEV20","Light truck",1983,"stock",0,"vehicle"
"PHEV40","Light truck",1983,"stock",0,"vehicle"
"BEV100","Car",1984,"stock",0,"vehicle"
"BEV300","Car",1984,"stock",0,"vehicle"
"CNG","Car",1984,"stock",0,"vehicle"
"FCV","Car",1984,"stock",0,"vehicle"
"FFV","Car",1984,"stock",0,"vehicle"
"HEV","Car",1984,"stock",0,"vehicle"
"ICEV-D","Car",1984,"stock",0,"vehicle"
"ICEV-G","Car",1984,"stock",130906187,"vehicle"
"PHEV20","Car",1984,"stock",0,"vehicle"
"PHEV40","Car",1984,"stock",0,"vehicle"
"BEV100","Light truck",1984,"stock",0,"vehicle"
"BEV300","Light truck",1984,"stock",0,"vehicle"
"CNG","Light truck",1984,"stock",0,"vehicle"
"FCV","Light truck",1984,"stock",0,"vehicle"
"FFV","Light truck",1984,"stock",0,"vehicle"
"HEV","Light truck",1984,"stock",0,"vehicle"
"ICEV-D","Light truck",1984,"stock",0,"vehicle"
"ICEV-G","Light truck",1984,"stock",39163260,"vehicle"
"PHEV20","Light truck",1984,"stock",0,"vehicle"
"PHEV40","Light truck",1984,"stock",0,"vehicle"
"BEV100","Car",1985,"stock",0,"vehicle"
"BEV300","Car",1985,"stock",0,"vehicle"
"CNG","Car",1985,"stock",0,"vehicle"
"FCV","Car",1985,"stock",0,"vehicle"
"FFV","Car",1985,"stock",0,"vehicle"
"HEV","Car",1985,"stock",0,"vehicle"
"ICEV-D","Car",1985,"stock",0,"vehicle"
"ICEV-G","Car",1985,"stock",130163783,"vehicle"
"PHEV20","Car",1985,"stock",0,"vehicle"
