"Technology","Size","Year","Data_type","Value","Unit"
"HEV","Car",1975,"sales",0,"vehicle"
"ICEV-D","Car",1975,"sales",26734,"vehicle"
"ICEV-G","Car",1975,"sales",8597265,"vehicle"
"PHEV20","Car",1975,"sales",0,"vehicle"
"PHEV40","Car",1975,"sales",0,"vehicle"
"BEV100","Light truck",1975,"sales",0,"vehicle"
"BEV300","Light truck",1975,"sales",0,"vehicle"
"CNG","Light truck",1975,"sales",0,"vehicle"
"FCV","Light truck",1975,"sales",0,"vehicle"
"FFV","Light truck",1975,"sales",0,"vehicle"
"HEV","Light truck",1975,"sales",0,"vehicle"
"ICEV-D","Light truck",1975,"sales",9123,"vehicle"
"ICEV-G","Light truck",1975,"sales",2271875,"vehicle"
"PHEV20","Light truck",1975,"sales",0,"vehicle"
"PHEV40","Light truck",1975,"sales",0,"vehicle"
"BEV100","Car",1976,"sales",0,"vehicle"
"BEV300","Car",1976,"sales",0,"vehicle"
"CNG","Car",1976,"sales",0,"vehicle"
"FCV","Car",1976,"sales",0,"vehicle"
"FFV","Car",1976,"sales",0,"vehicle"
"HEV","Car",1976,"sales",0,"vehicle"
"ICEV-D","Car",1976,"sales",22242,"vehicle"
"ICEV-G","Car",1976,"sales",10087758,"vehicle"
"PHEV20","Car",1976,"sales",0,"vehicle"
"PHEV40","Car",1976,"sales",0,"vehicle"
"BEV100","Light truck",1976,"sales",0,"vehicle"
"BEV300","Light truck",1976,"sales",0,"vehicle"
"CNG","Light truck",1976,"sales",0,"vehicle"
"FCV","Light truck",1976,"sales",0,"vehicle"
"FFV","Light truck",1976,"sales",0,"vehicle"
"HEV","Light truck",1976,"sales",0,"vehicle"
"ICEV-D","Light truck",1976,"sales",11823,"vehicle"
"ICEV-G","Light truck",1976,"sales",2944175,"vehicle"
"PHEV20","Light truck",1976,"sales",0,"vehicle"
"PHEV40","Light truck",1976,"sales",0,"vehicle"
"BEV100","Car",1977,"sales",0,"vehicle"
"BEV300","Car",1977,"sales",0,"vehicle"
"CNG","Car",1977,"sales",0,"vehicle"
"FCV","Car",1977,"sales",0,"vehicle"
"FFV","Car",1977,"sales",0,"vehicle"
"HEV","Car",1977,"sales",0,"vehicle"
"ICEV-D","Car",1977,"sales",38022,"vehicle"
"ICEV-G","Car",1977,"sales",11144977,"vehicle"
"PHEV20","Car",1977,"sales",0,"vehicle"
"PHEV40","Car",1977,"sales",0,"vehicle"
"BEV100","Light truck",1977,"sales",0,"vehicle"
"BEV300","Light truck",1977,"sales",0,"vehicle"
"CNG","Light truck",1977,"sales",0,"vehicle"
"FCV","Light truck",1977,"sales",0,"vehicle"
"FFV","Light truck",1977,"sales",0,"vehicle"
"HEV","Light truck",1977,"sales",0,"vehicle"
"ICEV-D","Light truck",1977,"sales",13719,"vehicle"
"ICEV-G","Light truck",1977,"sales",3416279,"vehicle"
"PHEV20","Light truck",1977,"sales",0,"vehicle"
"PHEV40","Light truck",1977,"sales",0,"vehicle"
"BEV100","Car",1978,"sales",0,"vehicle"
"BEV300","Car",1978,"sales",0,"vehicle"
"CNG","Car",1978,"sales",0,"vehicle"
"FCV","Car",1978,"sales",0,"vehicle"
"FFV","Car",1978,"sales",0,"vehicle"
"HEV","Car",1978,"sales",0,"vehicle"
"ICEV-D","Car",1978,"sales",115402,"vehicle"
"ICEV-G","Car",1978,"sales",11198597,"vehicle"
"PHEV20","Car",1978,"sales",0,"vehicle"
"PHEV40","Car",1978,"sales",0,"vehicle"
"BEV100","Light truck",1978,"sales",0,"vehicle"
"BEV300","Light truck",1978,"sales",0,"vehicle"
"CNG","Light truck",1978,"sales",0,"vehicle"
"FCV","Light truck",1978,"sales",0,"vehicle"
"FFV","Light truck",1978,"sales",0,"vehicle"
"HEV","Light truck",1978,"sales",0,"vehicle"
"ICEV-D","Light truck",1978,"sales",30464,"vehicle"
"ICEV-G","Light truck",1978,"sales",3777536,"vehicle"
"PHEV20","Light truck",1978,"sales",0,"vehicle"
"PHEV40","Light truck",1978,"sales",0,"vehicle"
"BEV100","Car",1979,"sales",0,"vehicle"
"BEV300","Car",1979,"sales",0,"vehicle"
"CNG","Car",1979,"sales",0,"vehicle"
"FCV","Car",1979,"sales",0,"vehicle"
"FFV","Car",1979,"sales",0,"vehicle"
"HEV","Car",1979,"sales",0,"vehicle"
"ICEV-D","Car",1979,"sales",271094,"vehicle"
"ICEV-G","Car",1979,"sales",10401905,"vehicle"
"PHEV20","Car",1979,"sales",0,"vehicle"
"PHEV40","Car",1979,"sales",0,"vehicle"
"BEV100","Light truck",1979,"sales",0,"vehicle"
"BEV300","Light truck",1979,"sales",0,"vehicle"
"CNG","Light truck",1979,"sales",0,"vehicle"
"FCV","Light truck",1979,"sales",0,"vehicle"
"FFV","Light truck",1979,"sales",0,"vehicle"
"HEV","Light truck",1979,"sales",0,"vehicle"
"ICEV-D","Light truck",1979,"sales",59598,"vehicle"
"ICEV-G","Light truck",1979,"sales",3251402,"vehicle"
"PHEV20","Light truck",1979,"sales",0,"vehicle"
"PHEV40","Light truck",1979,"sales",0,"vehicle"
"BEV100","Car",1980,"sales",0,"vehicle"
"BEV300","Car",1980,"sales",0,"vehicle"
"CNG","Car",1980,"sales",0,"vehicle"
"FCV","Car",1980,"sales",0,"vehicle"
"FFV","Car",1980,"sales",0,"vehicle"
"HEV","Car",1980,"sales",0,"vehicle"
"ICEV-D","Car",1980,"sales",386994,"vehicle"
"ICEV-G","Car",1980,"sales",8592005,"vehicle"
"PHEV20","Car",1980,"sales",0,"vehicle"
"PHEV40","Car",1980,"sales",0,"vehicle"
"BEV100","Light truck",1980,"sales",0,"vehicle"
"BEV300","Light truck",1980,"sales",0,"vehicle"
"CNG","Light truck",1980,"sales",0,"vehicle"
"FCV","Light truck",1980,"sales",0,"vehicle"
"FFV","Light truck",1980,"sales",0,"vehicle"
"HEV","Light truck",1980,"sales",0,"vehicle"
"ICEV-D","Light truck",1980,"sales",87839,"vehicle"
"ICEV-G","Light truck",1980,"sales",2352159,"vehicle"
"PHEV20","Light truck",1980,"sales",0,"vehicle"
"PHEV40","Light truck",1980,"sales",0,"vehicle"
"BEV100","Car",1981,"sales",0,"vehicle"
"BEV300","Car",1981,"sales",0,"vehicle"
"CNG","Car",1981,"sales",0,"vehicle"
"FCV","Car",1981,"sales",0,"vehicle"
"FFV","Car",1981,"sales",0,"vehicle"
"HEV","Car",1981,"sales",0,"vehicle"
"ICEV-D","Car",1981,"sales",520696,"vehicle"
"ICEV-G","Car",1981,"sales",8015304,"vehicle"
