"Year","Age","Value","Technology","Size","Adj_stock","Survival_rate_mdl"
"1970","0",8401478,"ICEV-G","Car","y",1
"1971","0",10242850,"ICEV-G","Car","y",1
"1972","0",10944525,"ICEV-G","Car","y",1
"1973","0",11432136,"ICEV-G","Car","y",1
"1974","0",8835294,"ICEV-G","Car","y",1
"1975","0",8597265,"ICEV-G","Car","y",1
"1976","0",10087758,"ICEV-G","Car","y",1
"1977","0",11144977,"ICEV-G","Car","y",1
"1978","0",11198597,"ICEV-G","Car","y",1
"1979","0",10401905,"ICEV-G","Car","y",1
"1980","0",8592005,"ICEV-G","Car","y",1
"1981","0",8015304,"ICEV-G","Car","y",1
"1982","0",7627599,"ICEV-G","Car","y",1
"1983","0",8990096,"ICEV-G","Car","y",1
"1984","0",10240330,"ICEV-G","Car","y",1
"1985","0",10952447,"ICEV-G","Car","y",1
"1986","0",11410468,"ICEV-G","Car","y",1
"1987","0",10261523,"ICEV-G","Car","y",1
"1988","0",10623589,"ICEV-G","Car","y",1
"1989","0",9885132,"ICEV-G","Car","y",1
"1990","0",9293656,"ICEV-G","Car","y",1
"1991","0",8167292,"ICEV-G","Car","y",1
"1992","0",8208459,"ICEV-G","Car","y",1
"1993","0",8515322,"ICEV-G","Car","y",1
"1994","0",8986602,"ICEV-G","Car","y",1
"1995","0",8595204,"ICEV-G","Car","y",1
"1996","0",8512489,"ICEV-G","Car","y",1
"1997","0",8248990,"ICEV-G","Car","y",1
"1998","0",8011790,"ICEV-G","Car","y",1
"1999","0",9473864,"ICEV-G","Car","y",1
"2000","0",8818755,"ICEV-G","Car","y",1
"2001","0",8347793,"ICEV-G","Car","y",1
"2002","0",7992455,"ICEV-G","Car","y",1
"2003","0",7523043,"ICEV-G","Car","y",1
"2004","0",7444248,"ICEV-G","Car","y",1
"2005","0",7580598,"ICEV-G","Car","y",1
"2006","0",7155040,"ICEV-G","Car","y",1
"2007","0",7142541,"ICEV-G","Car","y",1
"2008","0",5945575,"ICEV-G","Car","y",1
"2009","0",4388493,"ICEV-G","Car","y",1
"2010","0",5127681,"ICEV-G","Car","y",1
"2011","0",5867118,"ICEV-G","Car","y",1
"2012","0",6523116,"ICEV-G","Car","y",1
"2013","0",6736720,"ICEV-G","Car","y",1
"2014","0",7466999,"ICEV-G","Car","y",1
"2015","0",6572323,"ICEV-G","Car","y",1
"2016","0",8115033,"ICEV-G","Car","y",1
"2017","0",7472274,"ICEV-G","Car","y",1
"2018","0",7713286,"ICEV-G","Car","y",1
"2019","0",7603861,"ICEV-G","Car","y",1
"2020","0",8205268,"ICEV-G","Car","y",1
"2021","0",8076530,"ICEV-G","Car","y",1
"2022","0",7672110,"ICEV-G","Car","y",1
"2023","0",7585784,"ICEV-G","Car","y",1
"2024","0",7417703,"ICEV-G","Car","y",1
"2025","0",7255351,"ICEV-G","Car","y",1
"2026","0",7149632,"ICEV-G","Car","y",1
"2027","0",6952355,"ICEV-G","Car","y",1
"2028","0",7017146,"ICEV-G","Car","y",1
"2029","0",7028373,"ICEV-G","Car","y",1
"2030","0",6920111,"ICEV-G","Car","y",1
"2031","0",6869981,"ICEV-G","Car","y",1
"2032","0",6711922,"ICEV-G","Car","y",1
"2033","0",6530704,"ICEV-G","Car","y",1
"2034","0",6344701,"ICEV-G","Car","y",1
"2035","0",6162478,"ICEV-G","Car","y",1
"2036","0",6020772,"ICEV-G","Car","y",1
"2037","0",5935296,"ICEV-G","Car","y",1
"2038","0",5870673,"ICEV-G","Car","y",1
"2039","0",5809540,"ICEV-G","Car","y",1
"2040","0",5857079,"ICEV-G","Car","y",1
"2041","0",5890111,"ICEV-G","Car","y",1
"2042","0",5936597,"ICEV-G","Car","y",1
"2043","0",5975687,"ICEV-G","Car","y",1
"2044","0",6051438,"ICEV-G","Car","y",1
"2045","0",6080947,"ICEV-G","Car","y",1
"2046","0",6066098,"ICEV-G","Car","y",1
"2047","0",6057628,"ICEV-G","Car","y",1
"2048","0",5968187,"ICEV-G","Car","y",1
"2049","0",5913708,"ICEV-G","Car","y",1
"2050","0",5811126,"ICEV-G","Car","y",1
"1970","1",5681474,"ICEV-G","Car","y",1
"1971","1",8337412,"ICEV-G","Car","y",1
"1972","1",10170153,"ICEV-G","Car","y",1
"1973","1",10890844,"ICEV-G","Car","y",1
