Size,Technology,Aeo_case,Fc_impro,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
Car,HEV,REF,High,0,0,0.309490698,-1.897712275,-4.175789794,-3.724627011,-4.594715996,-5.146102088,-5.6675959,-2.120401172,-8.54941015,-0.002814794,0.25796267,0.265222517,0.250228652,0.269630224,0.230170227,0.24423404,0.227605651,0.211766975,0.21314017,0.208559625,0.165284614,0.192695506,0.179513184,0.191767417,0.181315704,0.184783998,0.19457458,0.193857966,0.188063351,0.202716863,0.17324165,0.164696503,0.26558553,0.408938631
Car,PHEV20,REF,Med,0,0,0.483315796,-0.525727519,-1.537905828,-2.205151226,-1.948415728,-1.891465495,-2.091853301,-1.741127971,-1.876476216,-1.257624247,-0.077985802,0.005639863,-0.011536667,0.061714576,0.051275378,0.086774059,0.068794937,0.061604437,0.071480284,0.066029678,0.035186619,0.059607774,0.049860381,0.045677477,0.044323011,0.050343485,0.050779834,0.046671196,0.054406882,0.062022368,0.040466507,0.045927586,0.052533031,0.052703444
Car,PHEV20,REF,High,0,0,-2.303391208,-0.694354187,-3.461165063,-3.904831642,-3.80885353,-3.496386017,-4.215993477,-3.433332379,-3.614745557,-4.818091698,0.04743508,0.206404237,0.168470104,0.199793048,0.134192885,0.206087865,0.156770097,0.146568546,0.172604605,0.161604582,0.089330071,0.175325135,0.133527456,0.153476439,0.129000974,0.148737491,0.159956018,0.151512804,0.14862148,0.171911492,0.110186276,0.121837405,0.21113282,0.320536716
Car,PHEV40,REF,Med,0,0,-0.423719982,-0.852778459,-2.304551728,-2.850628862,-1.870902788,-1.465107538,-1.566541948,-1.477456806,-2.013361725,-1.523359367,0.041656639,0.104745645,0.06746511,0.070968641,0.032179686,0.098093867,0.068595684,0.062094611,0.078860518,0.07129409,0.026757255,0.085448759,0.058195854,0.067236533,0.104379733,0.135293843,0.190405214,0.235847289,0.136430339,0.145883766,0.119815793,0.127736836,0.135995167,0.135072135
Car,PHEV40,REF,High,0,0,-1.949550121,-1.028502252,-2.718049688,-3.487915432,-2.82125946,-2.801711673,-3.59880298,-2.395175072,-3.256010058,-2.887857173,0.02715872,0.12375659,0.086101819,0.113872007,0.061981009,0.126678903,0.083784755,0.078386353,0.103708224,0.093517258,0.035792463,0.112560672,0.075068113,0.090967083,0.066772618,0.089324781,0.09745186,0.089442071,0.088553286,0.10693355,0.054772619,0.069155124,0.127230962,0.191343322
Car,FCV,REF,Med,0,0,-0.183849167,-0.616865759,-0.615243188,-0.523669236,-0.683545087,-1.010614001,-1.494371257,-0.411987609,-1.560020622,-0.004373034,0.001916587,0.001067864,0.000367392,0.000177057,0.000439326,0.00081448,0.000911878,0.000794584,0.000531203,0.000413899,0.00035414,0.000304341,7.64E-05,0.000253435,0.000163792,8.52E-05,0.000142765,0.000139446,4.21E-05,5.09E-05,4.43E-06,1.33E-05,-1.33E-05,4.65E-05
Car,FCV,REF,High,0,0,-0.611333953,-0.653646792,-1.287614227,-1.129445142,-1.420571243,-2.312638739,-2.984136824,-1.757139681,-2.818281885,-0.017340849,0.002007928,0.001548094,0.000361574,-9.48E-05,0.000925006,0.001270803,0.001286616,0.00127259,0.000942603,0.000723194,0.000435323,0.000456389,0.000114097,0.000273834,0.000180801,0.000140428,0.000214154,0.000201867,5.97E-05,0.000180803,6.67E-05,9.48E-05,7.37E-05,8.60E-05
Light truck,ICEV-G,REF,Med,0,0,-1.225035553,-1.62719182,-1.450101512,-2.655370487,-4.090581071,-3.163207229,-2.03199728,-4.328180074,-3.091548532,0.058042549,0.021840745,0.058303201,0.061907828,0.060361594,0.174702667,0.208993282,0.216504819,0.21037255,0.21036492,0.210049314,0.200783223,0.212419371,0.21256495,0.220382402,0.218760218,0.221611418,0.226414128,0.226324577,0.225326016,0.07982981,0.047098481,0.073631999,0.074699151,-0.228756059
Light truck,ICEV-G,REF,High,0,0,-2.946925729,-2.678856583,-3.063931636,-5.529082421,-9.255785433,-7.35296837,-5.828899514,-7.72089936,-2.515990356,-0.556513486,-0.431404524,-0.136740901,0.035634086,0.080178124,0.067461673,0.062997359,0.058477939,0.060596606,0.059159493,0.056135708,0.043129138,0.048574581,0.045369963,0.049191004,0.044602308,0.044622211,0.045307763,0.062688317,0.132260412,-0.126081349,0.023812791,0.044771041,0.045837402,-0.377448911
Light truck,BEV100,REF,Med,0,0,-0.208510177,-0.397516075,-0.7420346,-0.5640277,-0.58031116,-0.791655443,-1.372467469,-0.621911636,-1.579257991,-0.003349672,-0.016773279,-0.010865248,-0.005167588,0.000633827,0.000703349,0.000603912,0.000482748,0.000368339,0.000253928,0.00018055,0.00011393,7.39E-05,0,0,7.24E-06,-2.56E-05,-2.94E-05,-0.000198895,-9.22E-05,-5.89E-05,-3.67E-05,-2.61E-05,0,0
