"Technology","Size","Year","Data_type","Aeo_case","Aeo_year","Unit","Value"
"PHEV20","Light truck",2020,"sales","REF",2018,"vehicle",39927
"PHEV40","Light truck",2020,"sales","REF",2018,"vehicle",23800
"BEV100","Car",2021,"sales","REF",2018,"vehicle",56085
"BEV300","Car",2021,"sales","REF",2018,"vehicle",317420
"CNG","Car",2021,"sales","REF",2018,"vehicle",28443
"FCV","Car",2021,"sales","REF",2018,"vehicle",15643
"FFV","Car",2021,"sales","REF",2018,"vehicle",379308
"HEV","Car",2021,"sales","REF",2018,"vehicle",546885
"ICEV-D","Car",2021,"sales","REF",2018,"vehicle",91086
"ICEV-G","Car",2021,"sales","REF",2018,"vehicle",7220341
"PHEV20","Car",2021,"sales","REF",2018,"vehicle",50357
"PHEV40","Car",2021,"sales","REF",2018,"vehicle",32764
"BEV100","Light truck",2021,"sales","REF",2018,"vehicle",34948
"BEV300","Light truck",2021,"sales","REF",2018,"vehicle",34521
"CNG","Light truck",2021,"sales","REF",2018,"vehicle",52238
"FCV","Light truck",2021,"sales","REF",2018,"vehicle",15642
"FFV","Light truck",2021,"sales","REF",2018,"vehicle",862475
"HEV","Light truck",2021,"sales","REF",2018,"vehicle",53162
"ICEV-D","Light truck",2021,"sales","REF",2018,"vehicle",210691
"ICEV-G","Light truck",2021,"sales","REF",2018,"vehicle",5516004
"PHEV20","Light truck",2021,"sales","REF",2018,"vehicle",48974
"PHEV40","Light truck",2021,"sales","REF",2018,"vehicle",29246
"BEV100","Car",2022,"sales","REF",2018,"vehicle",65592
"BEV300","Car",2022,"sales","REF",2018,"vehicle",398356
"CNG","Car",2022,"sales","REF",2018,"vehicle",29159
"FCV","Car",2022,"sales","REF",2018,"vehicle",18843
"FFV","Car",2022,"sales","REF",2018,"vehicle",376505
"HEV","Car",2022,"sales","REF",2018,"vehicle",564188
"ICEV-D","Car",2022,"sales","REF",2018,"vehicle",106917
"ICEV-G","Car",2022,"sales","REF",2018,"vehicle",7175074
"PHEV20","Car",2022,"sales","REF",2018,"vehicle",49069
"PHEV40","Car",2022,"sales","REF",2018,"vehicle",32654
"BEV100","Light truck",2022,"sales","REF",2018,"vehicle",41861
"BEV300","Light truck",2022,"sales","REF",2018,"vehicle",41638
"CNG","Light truck",2022,"sales","REF",2018,"vehicle",52057
"FCV","Light truck",2022,"sales","REF",2018,"vehicle",18842
"FFV","Light truck",2022,"sales","REF",2018,"vehicle",854141
"HEV","Light truck",2022,"sales","REF",2018,"vehicle",54638
"ICEV-D","Light truck",2022,"sales","REF",2018,"vehicle",216711
"ICEV-G","Light truck",2022,"sales","REF",2018,"vehicle",5442738
"PHEV20","Light truck",2022,"sales","REF",2018,"vehicle",47225
"PHEV40","Light truck",2022,"sales","REF",2018,"vehicle",28197
"BEV100","Car",2023,"sales","REF",2018,"vehicle",71076
"BEV300","Car",2023,"sales","REF",2018,"vehicle",475971
"CNG","Car",2023,"sales","REF",2018,"vehicle",29749
"FCV","Car",2023,"sales","REF",2018,"vehicle",21404
"FFV","Car",2023,"sales","REF",2018,"vehicle",383372
"HEV","Car",2023,"sales","REF",2018,"vehicle",584666
"ICEV-D","Car",2023,"sales","REF",2018,"vehicle",124348
"ICEV-G","Car",2023,"sales","REF",2018,"vehicle",7163142
"PHEV20","Car",2023,"sales","REF",2018,"vehicle",58219
"PHEV40","Car",2023,"sales","REF",2018,"vehicle",38727
"BEV100","Light truck",2023,"sales","REF",2018,"vehicle",47301
"BEV300","Light truck",2023,"sales","REF",2018,"vehicle",47323
"CNG","Light truck",2023,"sales","REF",2018,"vehicle",52274
"FCV","Light truck",2023,"sales","REF",2018,"vehicle",21400
"FFV","Light truck",2023,"sales","REF",2018,"vehicle",852882
"HEV","Light truck",2023,"sales","REF",2018,"vehicle",57290
"ICEV-D","Light truck",2023,"sales","REF",2018,"vehicle",221218
"ICEV-G","Light truck",2023,"sales","REF",2018,"vehicle",5402649
"PHEV20","Light truck",2023,"sales","REF",2018,"vehicle",55830
"PHEV40","Light truck",2023,"sales","REF",2018,"vehicle",33350
"BEV100","Car",2024,"sales","REF",2018,"vehicle",80966
"BEV300","Car",2024,"sales","REF",2018,"vehicle",528435
"CNG","Car",2024,"sales","REF",2018,"vehicle",30162
"FCV","Car",2024,"sales","REF",2018,"vehicle",25510
"FFV","Car",2024,"sales","REF",2018,"vehicle",389781
"HEV","Car",2024,"sales","REF",2018,"vehicle",607530
"ICEV-D","Car",2024,"sales","REF",2018,"vehicle",141225
"ICEV-G","Car",2024,"sales","REF",2018,"vehicle",7122162
"PHEV20","Car",2024,"sales","REF",2018,"vehicle",65991
"PHEV40","Car",2024,"sales","REF",2018,"vehicle",44432
"BEV100","Light truck",2024,"sales","REF",2018,"vehicle",56124
"BEV300","Light truck",2024,"sales","REF",2018,"vehicle",56429
"CNG","Light truck",2024,"sales","REF",2018,"vehicle",52113
"FCV","Light truck",2024,"sales","REF",2018,"vehicle",25505
"FFV","Light truck",2024,"sales","REF",2018,"vehicle",853965
"HEV","Light truck",2024,"sales","REF",2018,"vehicle",60061
"ICEV-D","Light truck",2024,"sales","REF",2018,"vehicle",218112
"ICEV-G","Light truck",2024,"sales","REF",2018,"vehicle",5327667
"PHEV20","Light truck",2024,"sales","REF",2018,"vehicle",62717
"PHEV40","Light truck",2024,"sales","REF",2018,"vehicle",37469
