"Technology","Size","Year","Data_type","Aeo_case","Aeo_year","Unit","Value"
"HEV","Light truck",2020,"sales","HOP",2018,"vehicle",51225
"ICEV-D","Light truck",2020,"sales","HOP",2018,"vehicle",193816
"ICEV-G","Light truck",2020,"sales","HOP",2018,"vehicle",4914726
"PHEV20","Light truck",2020,"sales","HOP",2018,"vehicle",39936
"PHEV40","Light truck",2020,"sales","HOP",2018,"vehicle",23810
"BEV100","Car",2021,"sales","HOP",2018,"vehicle",68675
"BEV300","Car",2021,"sales","HOP",2018,"vehicle",458968
"CNG","Car",2021,"sales","HOP",2018,"vehicle",34071
"FCV","Car",2021,"sales","HOP",2018,"vehicle",15643
"FFV","Car",2021,"sales","HOP",2018,"vehicle",429288
"HEV","Car",2021,"sales","HOP",2018,"vehicle",687535
"ICEV-D","Car",2021,"sales","HOP",2018,"vehicle",116617
"ICEV-G","Car",2021,"sales","HOP",2018,"vehicle",8076530
"PHEV20","Car",2021,"sales","HOP",2018,"vehicle",50970
"PHEV40","Car",2021,"sales","HOP",2018,"vehicle",34863
"BEV100","Light truck",2021,"sales","HOP",2018,"vehicle",35361
"BEV300","Light truck",2021,"sales","HOP",2018,"vehicle",34615
"CNG","Light truck",2021,"sales","HOP",2018,"vehicle",44595
"FCV","Light truck",2021,"sales","HOP",2018,"vehicle",15642
"FFV","Light truck",2021,"sales","HOP",2018,"vehicle",727760
"HEV","Light truck",2021,"sales","HOP",2018,"vehicle",51277
"ICEV-D","Light truck",2021,"sales","HOP",2018,"vehicle",188807
"ICEV-G","Light truck",2021,"sales","HOP",2018,"vehicle",4590691
"PHEV20","Light truck",2021,"sales","HOP",2018,"vehicle",48989
"PHEV40","Light truck",2021,"sales","HOP",2018,"vehicle",29277
"BEV100","Car",2022,"sales","HOP",2018,"vehicle",78736
"BEV300","Car",2022,"sales","HOP",2018,"vehicle",561912
"CNG","Car",2022,"sales","HOP",2018,"vehicle",33872
"FCV","Car",2022,"sales","HOP",2018,"vehicle",18844
"FFV","Car",2022,"sales","HOP",2018,"vehicle",409279
"HEV","Car",2022,"sales","HOP",2018,"vehicle",682996
"ICEV-D","Car",2022,"sales","HOP",2018,"vehicle",129611
"ICEV-G","Car",2022,"sales","HOP",2018,"vehicle",7672110
"PHEV20","Car",2022,"sales","HOP",2018,"vehicle",49768
"PHEV40","Car",2022,"sales","HOP",2018,"vehicle",35204
"BEV100","Light truck",2022,"sales","HOP",2018,"vehicle",42167
"BEV300","Light truck",2022,"sales","HOP",2018,"vehicle",41751
"CNG","Light truck",2022,"sales","HOP",2018,"vehicle",42076
