"Technology","Size","Year","Data_type","Aeo_case","Aeo_year","Unit","Value"
"PHEV20","Light truck",2020,"sales","REF",2018,"vehicle",13237
"PHEV40","Light truck",2020,"sales","REF",2018,"vehicle",7576
"BEV100","Car",2021,"sales","REF",2018,"vehicle",30317
"BEV300","Car",2021,"sales","REF",2018,"vehicle",25169
"CNG","Car",2021,"sales","REF",2018,"vehicle",36577
"FCV","Car",2021,"sales","REF",2018,"vehicle",1746
"FFV","Car",2021,"sales","REF",2018,"vehicle",363862
"HEV","Car",2021,"sales","REF",2018,"vehicle",413578
"ICEV-D","Car",2021,"sales","REF",2018,"vehicle",10582
"ICEV-G","Car",2021,"sales","REF",2018,"vehicle",7540441
"PHEV20","Car",2021,"sales","REF",2018,"vehicle",19426
"PHEV40","Car",2021,"sales","REF",2018,"vehicle",45544
"BEV100","Light truck",2021,"sales","REF",2018,"vehicle",5645
"BEV300","Light truck",2021,"sales","REF",2018,"vehicle",5035
"CNG","Light truck",2021,"sales","REF",2018,"vehicle",62532
"FCV","Light truck",2021,"sales","REF",2018,"vehicle",1746
"FFV","Light truck",2021,"sales","REF",2018,"vehicle",906726
"HEV","Light truck",2021,"sales","REF",2018,"vehicle",55135
"ICEV-D","Light truck",2021,"sales","REF",2018,"vehicle",55464
"ICEV-G","Light truck",2021,"sales","REF",2018,"vehicle",5996373
"PHEV20","Light truck",2021,"sales","REF",2018,"vehicle",12926
"PHEV40","Light truck",2021,"sales","REF",2018,"vehicle",7398
"BEV100","Car",2022,"sales","REF",2018,"vehicle",30352
"BEV300","Car",2022,"sales","REF",2018,"vehicle",25198
"CNG","Car",2022,"sales","REF",2018,"vehicle",36619
"FCV","Car",2022,"sales","REF",2018,"vehicle",1748
"FFV","Car",2022,"sales","REF",2018,"vehicle",364286
"HEV","Car",2022,"sales","REF",2018,"vehicle",414060
"ICEV-D","Car",2022,"sales","REF",2018,"vehicle",10594
"ICEV-G","Car",2022,"sales","REF",2018,"vehicle",7549227
"PHEV20","Car",2022,"sales","REF",2018,"vehicle",19449
"PHEV40","Car",2022,"sales","REF",2018,"vehicle",45597
"BEV100","Light truck",2022,"sales","REF",2018,"vehicle",5652
"BEV300","Light truck",2022,"sales","REF",2018,"vehicle",5041
"CNG","Light truck",2022,"sales","REF",2018,"vehicle",62605
"FCV","Light truck",2022,"sales","REF",2018,"vehicle",1748
"FFV","Light truck",2022,"sales","REF",2018,"vehicle",907782
"HEV","Light truck",2022,"sales","REF",2018,"vehicle",55199
"ICEV-D","Light truck",2022,"sales","REF",2018,"vehicle",55529
"ICEV-G","Light truck",2022,"sales","REF",2018,"vehicle",6003360
"PHEV20","Light truck",2022,"sales","REF",2018,"vehicle",12941
"PHEV40","Light truck",2022,"sales","REF",2018,"vehicle",7406
"BEV100","Car",2023,"sales","REF",2018,"vehicle",30601
"BEV300","Car",2023,"sales","REF",2018,"vehicle",25404
"CNG","Car",2023,"sales","REF",2018,"vehicle",36919
"FCV","Car",2023,"sales","REF",2018,"vehicle",1762
"FFV","Car",2023,"sales","REF",2018,"vehicle",367267
"HEV","Car",2023,"sales","REF",2018,"vehicle",417449
"ICEV-D","Car",2023,"sales","REF",2018,"vehicle",10681
"ICEV-G","Car",2023,"sales","REF",2018,"vehicle",7611009
"PHEV20","Car",2023,"sales","REF",2018,"vehicle",19608
"PHEV40","Car",2023,"sales","REF",2018,"vehicle",45970
"BEV100","Light truck",2023,"sales","REF",2018,"vehicle",5698
"BEV300","Light truck",2023,"sales","REF",2018,"vehicle",5082
"CNG","Light truck",2023,"sales","REF",2018,"vehicle",63118
"FCV","Light truck",2023,"sales","REF",2018,"vehicle",1762
"FFV","Light truck",2023,"sales","REF",2018,"vehicle",915212
"HEV","Light truck",2023,"sales","REF",2018,"vehicle",55651
"ICEV-D","Light truck",2023,"sales","REF",2018,"vehicle",55984
"ICEV-G","Light truck",2023,"sales","REF",2018,"vehicle",6052490
"PHEV20","Light truck",2023,"sales","REF",2018,"vehicle",13047
"PHEV40","Light truck",2023,"sales","REF",2018,"vehicle",7467
"BEV100","Car",2024,"sales","REF",2018,"vehicle",30687
"BEV300","Car",2024,"sales","REF",2018,"vehicle",25476
"CNG","Car",2024,"sales","REF",2018,"vehicle",37023
"FCV","Car",2024,"sales","REF",2018,"vehicle",1767
"FFV","Car",2024,"sales","REF",2018,"vehicle",368298
"HEV","Car",2024,"sales","REF",2018,"vehicle",418620
"ICEV-D","Car",2024,"sales","REF",2018,"vehicle",10711
"ICEV-G","Car",2024,"sales","REF",2018,"vehicle",7632362
"PHEV20","Car",2024,"sales","REF",2018,"vehicle",19663
"PHEV40","Car",2024,"sales","REF",2018,"vehicle",46099
"BEV100","Light truck",2024,"sales","REF",2018,"vehicle",5714
"BEV300","Light truck",2024,"sales","REF",2018,"vehicle",5096
"CNG","Light truck",2024,"sales","REF",2018,"vehicle",63295
"FCV","Light truck",2024,"sales","REF",2018,"vehicle",1767
"FFV","Light truck",2024,"sales","REF",2018,"vehicle",917779
"HEV","Light truck",2024,"sales","REF",2018,"vehicle",55807
"ICEV-D","Light truck",2024,"sales","REF",2018,"vehicle",56141
"ICEV-G","Light truck",2024,"sales","REF",2018,"vehicle",6069471
"PHEV20","Light truck",2024,"sales","REF",2018,"vehicle",13084
"PHEV40","Light truck",2024,"sales","REF",2018,"vehicle",7488
"BEV100","Car",2025,"sales","REF",2018,"vehicle",30823
"BEV300","Car",2025,"sales","REF",2018,"vehicle",25589
"CNG","Car",2025,"sales","REF",2018,"vehicle",37188
"FCV","Car",2025,"sales","REF",2018,"vehicle",1775
"FFV","Car",2025,"sales","REF",2018,"vehicle",369941
"HEV","Car",2025,"sales","REF",2018,"vehicle",420488
"ICEV-D","Car",2025,"sales","REF",2018,"vehicle",10759
"ICEV-G","Car",2025,"sales","REF",2018,"vehicle",7666411
"PHEV20","Car",2025,"sales","REF",2018,"vehicle",19751
