"Scenario","Size","Technology","Subcomponent","2030"
"Steel Intensive","Light truck","ICEV-D","Interior",-2.83456849514562
"Steel Intensive","Light truck","ICEV-D","Tires",-2.75583048139172
"Steel Intensive","Light truck","ICEV-D","Transmission",-11.0233219255669
"Steel Intensive","Light truck","ICEV-D","Wheels",-2.75583048139172
"Steel Intensive","Light truck","CNG","Body",-14.3412836924591
"Steel Intensive","Light truck","CNG","Chassis",-18.3829181876063
"Steel Intensive","Light truck","CNG","Exterior",-1.04300245036067
"Steel Intensive","Light truck","CNG","Interior",-2.34675551331128
"Steel Intensive","Light truck","CNG","Tires",-2.28156786016391
"Steel Intensive","Light truck","CNG","Transmission",-9.1262714406557
"Steel Intensive","Light truck","CNG","Wheels",-2.28156786016392
"Steel Intensive","Light truck","HEV","Body",-13.5359501109425
"Steel Intensive","Light truck","HEV","Chassis",-17.3506269603891
"Steel Intensive","Light truck","HEV","Exterior",-0.984432735341244
"Steel Intensive","Light truck","HEV","Interior",-2.21497365451748
"Steel Intensive","Light truck","HEV","Tires",-2.15344660855892
"Steel Intensive","Light truck","HEV","Transmission",-8.61378643423558
"Steel Intensive","Light truck","HEV","Wheels",-2.15344660855892
"Steel Intensive","Light truck","PHEV20","Body",-14.5912582939452
"Steel Intensive","Light truck","PHEV20","Chassis",-18.7033401767854
"Steel Intensive","Light truck","PHEV20","Exterior",-1.06118242137791
"Steel Intensive","Light truck","PHEV20","Interior",-2.38766044810021
"Steel Intensive","Light truck","PHEV20","Tires",-2.3213365467641
"Steel Intensive","Light truck","PHEV20","Transmission",-9.28534618705646
"Steel Intensive","Light truck","PHEV20","Wheels",-2.32133654676413
"Steel Intensive","Light truck","PHEV40","Body",-15.5590567027782
"Steel Intensive","Light truck","PHEV40","Chassis",-19.9438817735613
"Steel Intensive","Light truck","PHEV40","Exterior",-1.13156776020207
"Steel Intensive","Light truck","PHEV40","Interior",-2.54602746045433
"Steel Intensive","Light truck","PHEV40","Tires",-2.47530447544197
"Steel Intensive","Light truck","PHEV40","Transmission",-9.90121790176798
"Steel Intensive","Light truck","PHEV40","Wheels",-2.47530447544199
"Steel Intensive","Light truck","FCV","Body",-15.0744929810744
"Steel Intensive","Light truck","FCV","Chassis",-19.322759184832
"Steel Intensive","Light truck","FCV","Exterior",-1.09632676226001
"Steel Intensive","Light truck","FCV","Interior",-2.4667352150849
"Steel Intensive","Light truck","FCV","Tires",-2.39821479244371
"Steel Intensive","Light truck","FCV","Transmission",-9.59285916977485
"Steel Intensive","Light truck","FCV","Wheels",-2.39821479244371
"Aluminum Intensive","Car","ICEV-G","Body",-21.9215386493918
"Aluminum Intensive","Car","ICEV-G","Chassis",-28.0994268142209
"Aluminum Intensive","Car","ICEV-G","Exterior",-1.5942937199558
"Aluminum Intensive","Car","ICEV-G","Interior",-3.58716086990049
"Aluminum Intensive","Car","ICEV-G","Tires",-3.48751751240325
"Aluminum Intensive","Car","ICEV-G","Transmission",-13.9500700496131
"Aluminum Intensive","Car","ICEV-G","Wheels",-3.48751751240325
"Aluminum Intensive","Car","BEV100","Body",-24.128719448264
"Aluminum Intensive","Car","BEV100","Chassis",-30.9286312927745
"Aluminum Intensive","Car","BEV100","Exterior",-1.75481595987375
"Aluminum Intensive","Car","BEV100","Interior",-3.94833590971595
"Aluminum Intensive","Car","BEV100","Tires",-3.83865991222382
"Aluminum Intensive","Car","BEV100","Transmission",-15.3546396488952
"Aluminum Intensive","Car","BEV100","Wheels",-3.83865991222381
"Aluminum Intensive","Car","BEV300","Body",-25.0627619215532
"Aluminum Intensive","Car","BEV300","Chassis",-32.1259039176275
"Aluminum Intensive","Car","BEV300","Exterior",-1.82274632156754
"Aluminum Intensive","Car","BEV300","Interior",-4.10117922352688
"Aluminum Intensive","Car","BEV300","Tires",-3.98725757842894
"Aluminum Intensive","Car","BEV300","Transmission",-15.9490303137158
"Aluminum Intensive","Car","BEV300","Wheels",-3.98725757842892
"Aluminum Intensive","Car","FFV","Body",-21.9539492030909
"Aluminum Intensive","Car","FFV","Chassis",-28.1409712512343
"Aluminum Intensive","Car","FFV","Exterior",-1.59665085113386
"Aluminum Intensive","Car","FFV","Interior",-3.59246441505115
"Aluminum Intensive","Car","FFV","Tires",-3.49267373685536
"Aluminum Intensive","Car","FFV","Transmission",-13.9706949474213
"Aluminum Intensive","Car","FFV","Wheels",-3.49267373685534
"Aluminum Intensive","Car","ICEV-D","Body",-23.0987530969081
"Aluminum Intensive","Car","ICEV-D","Chassis",-29.6084016969464
"Aluminum Intensive","Car","ICEV-D","Exterior",-1.6799093161388
"Aluminum Intensive","Car","ICEV-D","Interior",-3.77979596131235
"Aluminum Intensive","Car","ICEV-D","Tires",-3.67480162905364
"Aluminum Intensive","Car","ICEV-D","Transmission",-14.6992065162146
"Aluminum Intensive","Car","ICEV-D","Wheels",-3.67480162905364
"Aluminum Intensive","Car","CNG","Body",-21.9539492030909
"Aluminum Intensive","Car","CNG","Chassis",-28.1409712512343
"Aluminum Intensive","Car","CNG","Exterior",-1.59665085113386
"Aluminum Intensive","Car","CNG","Interior",-3.59246441505115
"Aluminum Intensive","Car","CNG","Tires",-3.49267373685536
"Aluminum Intensive","Car","CNG","Transmission",-13.9706949474213
"Aluminum Intensive","Car","CNG","Wheels",-3.49267373685534
"Aluminum Intensive","Car","HEV","Body",-21.1400714229789
"Aluminum Intensive","Car","HEV","Chassis",-27.0977279149093
"Aluminum Intensive","Car","HEV","Exterior",-1.53745973985301
"Aluminum Intensive","Car","HEV","Interior",-3.45928441466924
"Aluminum Intensive","Car","HEV","Tires",-3.36319318092846
"Aluminum Intensive","Car","HEV","Transmission",-13.4527727237139
"Aluminum Intensive","Car","HEV","Wheels",-3.36319318092848
"Aluminum Intensive","Car","PHEV20","Body",-24.7238969099177
"Aluminum Intensive","Car","PHEV20","Chassis",-31.6915405845311
"Aluminum Intensive","Car","PHEV20","Exterior",-1.79810159344855
"Aluminum Intensive","Car","PHEV20","Interior",-4.04572858525924
"Aluminum Intensive","Car","PHEV20","Tires",-3.93334723566875
"Aluminum Intensive","Car","PHEV20","Transmission",-15.733388942675
"Aluminum Intensive","Car","PHEV20","Wheels",-3.93334723566875
"Aluminum Intensive","Car","PHEV40","Body",-26.2006799336473
"Aluminum Intensive","Car","PHEV40","Chassis",-33.5845079149483
"Aluminum Intensive","Car","PHEV40","Exterior",-1.90550399517436
"Aluminum Intensive","Car","PHEV40","Interior",-4.28738398914234
"Aluminum Intensive","Car","PHEV40","Tires",-4.16828998944393
"Aluminum Intensive","Car","PHEV40","Transmission",-16.6731599577757
"Aluminum Intensive","Car","PHEV40","Wheels",-4.16828998944393
"Aluminum Intensive","Car","FCV","Body",-26.7257386132694
"Aluminum Intensive","Car","FCV","Chassis",-34.2575376770088
"Aluminum Intensive","Car","FCV","Exterior",-1.94369008096502
"Aluminum Intensive","Car","FCV","Interior",-4.3733026821713
"Aluminum Intensive","Car","FCV","Tires",-4.25182205211102
"Aluminum Intensive","Car","FCV","Transmission",-17.007288208444
"Aluminum Intensive","Car","FCV","Wheels",-4.25182205211101
"Aluminum Intensive","Light truck","ICEV-G","Body",-30.4891310634002
"Aluminum Intensive","Light truck","ICEV-G","Chassis",-39.0815225449032
"Aluminum Intensive","Light truck","ICEV-G","Exterior",-2.21739135006548
"Aluminum Intensive","Light truck","ICEV-G","Interior",-4.98913053764713
"Aluminum Intensive","Light truck","ICEV-G","Tires",-4.85054357826815
"Aluminum Intensive","Light truck","ICEV-G","Transmission",-19.4021743130726
"Aluminum Intensive","Light truck","ICEV-G","Wheels",-4.85054357826816
"Aluminum Intensive","Light truck","BEV100","Body",-29.4703774126576
"Aluminum Intensive","Light truck","BEV100","Chassis",-37.7756655925882
"Aluminum Intensive","Light truck","BEV100","Exterior",-2.14330017546601
"Aluminum Intensive","Light truck","BEV100","Interior",-4.82242539479878
"Aluminum Intensive","Light truck","BEV100","Tires",-4.68846913383189
"Aluminum Intensive","Light truck","BEV100","Transmission",-18.7538765353275
"Aluminum Intensive","Light truck","BEV100","Wheels",-4.68846913383192
"Aluminum Intensive","Light truck","BEV300","Body",-30.0057684015787
"Aluminum Intensive","Light truck","BEV300","Chassis",-38.4619394965694
"Aluminum Intensive","Light truck","BEV300","Exterior",-2.18223770193298
"Aluminum Intensive","Light truck","BEV300","Interior",-4.91003482934934
"Aluminum Intensive","Light truck","BEV300","Tires",-4.77364497297847
"Aluminum Intensive","Light truck","BEV300","Transmission",-19.0945798919139
"Aluminum Intensive","Light truck","BEV300","Wheels",-4.77364497297848
"Aluminum Intensive","Light truck","FFV","Body",-30.5582913279245
"Aluminum Intensive","Light truck","FFV","Chassis",-39.1701734294306
"Aluminum Intensive","Light truck","FFV","Exterior",-2.22242118748538
"Aluminum Intensive","Light truck","FFV","Interior",-5.0004476718421
"Aluminum Intensive","Light truck","FFV","Tires",-4.8615463476243
"Aluminum Intensive","Light truck","FFV","Transmission",-19.4461853904972
"Aluminum Intensive","Light truck","FFV","Wheels",-4.86154634762428
"Aluminum Intensive","Light truck","ICEV-D","Body",-36.7674021659849
"Aluminum Intensive","Light truck","ICEV-D","Chassis",-47.1291245945813
"Aluminum Intensive","Light truck","ICEV-D","Exterior",-2.67399288479899
"Aluminum Intensive","Light truck","ICEV-D","Interior",-6.01648399079778
"Aluminum Intensive","Light truck","ICEV-D","Tires",-5.84935943549767
"Aluminum Intensive","Light truck","ICEV-D","Transmission",-23.3974377419907
"Aluminum Intensive","Light truck","ICEV-D","Wheels",-5.84935943549767
"Aluminum Intensive","Light truck","CNG","Body",-30.5582913279245
"Aluminum Intensive","Light truck","CNG","Chassis",-39.1701734294306
"Aluminum Intensive","Light truck","CNG","Exterior",-2.22242118748538
"Aluminum Intensive","Light truck","CNG","Interior",-5.0004476718421
"Aluminum Intensive","Light truck","CNG","Tires",-4.8615463476243
"Aluminum Intensive","Light truck","CNG","Transmission",-19.4461853904972
"Aluminum Intensive","Light truck","CNG","Wheels",-4.86154634762428
"Aluminum Intensive","Light truck","HEV","Body",-29.0515129487339
"Aluminum Intensive","Light truck","HEV","Chassis",-37.2387575070134
"Aluminum Intensive","Light truck","HEV","Exterior",-2.11283730536249
"Aluminum Intensive","Light truck","HEV","Interior",-4.75388393706544
"Aluminum Intensive","Light truck","HEV","Tires",-4.62183160548035
"Aluminum Intensive","Light truck","HEV","Transmission",-18.4873264219214
"Aluminum Intensive","Light truck","HEV","Wheels",-4.62183160548035
"Aluminum Intensive","Light truck","PHEV20","Body",-30.2216181644695
"Aluminum Intensive","Light truck","PHEV20","Chassis",-38.738619647184
"Aluminum Intensive","Light truck","PHEV20","Exterior",-2.19793586650689
"Aluminum Intensive","Light truck","PHEV20","Interior",-4.94535569964077
"Aluminum Intensive","Light truck","PHEV20","Tires",-4.80798470798381
"Aluminum Intensive","Light truck","PHEV20","Transmission",-19.2319388319353
"Aluminum Intensive","Light truck","PHEV20","Wheels",-4.80798470798382
"Aluminum Intensive","Light truck","PHEV40","Body",-31.9563310073241
"Aluminum Intensive","Light truck","PHEV40","Chassis",-40.962206109388
"Aluminum Intensive","Light truck","PHEV40","Exterior",-2.32409680053265
"Aluminum Intensive","Light truck","PHEV40","Interior",-5.22921780119864
"Aluminum Intensive","Light truck","PHEV40","Tires",-5.0839617511652
"Aluminum Intensive","Light truck","PHEV40","Transmission",-20.3358470046608
"Aluminum Intensive","Light truck","PHEV40","Wheels",-5.08396175116521
"Aluminum Intensive","Light truck","FCV","Body",-32.1125123472941
"Aluminum Intensive","Light truck","FCV","Chassis",-41.1624021906225
"Aluminum Intensive","Light truck","FCV","Exterior",-2.33545544343954
"Aluminum Intensive","Light truck","FCV","Interior",-5.25477474773902
"Aluminum Intensive","Light truck","FCV","Tires",-5.10880878252408
"Aluminum Intensive","Light truck","FCV","Transmission",-20.4352351300963
"Aluminum Intensive","Light truck","FCV","Wheels",-5.10880878252408
"Aluminum Maximum","Car","ICEV-G","Body",-35.3613642662854
"Aluminum Maximum","Car","ICEV-G","Chassis",-45.3268396504209
"Aluminum Maximum","Car","ICEV-G","Exterior",-2.57173558300258
"Aluminum Maximum","Car","ICEV-G","Interior",-5.7864050617558
"Aluminum Maximum","Car","ICEV-G","Tires",-5.6256715878182
"Aluminum Maximum","Car","ICEV-G","Transmission",-22.5026863512728
"Aluminum Maximum","Car","ICEV-G","Wheels",-5.62567158781819
"Aluminum Maximum","Car","BEV100","Body",-37.6964052113988
"Aluminum Maximum","Car","BEV100","Chassis",-48.3199375891563
"Aluminum Maximum","Car","BEV100","Exterior",-2.74155674264716
"Aluminum Maximum","Car","BEV100","Interior",-6.16850267095606
"Aluminum Maximum","Car","BEV100","Tires",-5.99715537454066
"Aluminum Maximum","Car","BEV100","Transmission",-23.9886214981627
"Aluminum Maximum","Car","BEV100","Wheels",-5.99715537454066
"Aluminum Maximum","Car","BEV300","Body",-39.117224960482
"Aluminum Maximum","Car","BEV300","Chassis",-50.1411701766176
"Aluminum Maximum","Car","BEV300","Exterior",-2.84488908803507
"Aluminum Maximum","Car","BEV300","Interior",-6.40100044807869
"Aluminum Maximum","Car","BEV300","Tires",-6.22319488007669
"Aluminum Maximum","Car","BEV300","Transmission",-24.8927795203067
