"Scenario","Size","Technology","Subcomponent","2030"
NA,"Car","ICEV-G","Chassis",0
NA,"Car","ICEV-G","Exterior",0
NA,"Car","ICEV-G","Interior",0
NA,"Car","ICEV-G","Tires",0
NA,"Car","ICEV-G","Transmission",0
NA,"Car","ICEV-G","Wheels",0
NA,"Car","BEV100","Body",0
NA,"Car","BEV100","Chassis",0
NA,"Car","BEV100","Exterior",0
NA,"Car","BEV100","Interior",0
NA,"Car","BEV100","Tires",0
NA,"Car","BEV100","Transmission",0
NA,"Car","BEV100","Wheels",0
NA,"Car","BEV300","Body",0
NA,"Car","BEV300","Chassis",0
NA,"Car","BEV300","Exterior",0
NA,"Car","BEV300","Interior",0
NA,"Car","BEV300","Tires",0
NA,"Car","BEV300","Transmission",0
NA,"Car","BEV300","Wheels",0
NA,"Car","FFV","Body",0
NA,"Car","FFV","Chassis",0
NA,"Car","FFV","Exterior",0
NA,"Car","FFV","Interior",0
NA,"Car","FFV","Tires",0
NA,"Car","FFV","Transmission",0
NA,"Car","FFV","Wheels",0
NA,"Car","ICEV-D","Body",0
NA,"Car","ICEV-D","Chassis",0
NA,"Car","ICEV-D","Exterior",0
NA,"Car","ICEV-D","Interior",0
NA,"Car","ICEV-D","Tires",0
NA,"Car","ICEV-D","Transmission",0
NA,"Car","ICEV-D","Wheels",0
NA,"Car","CNG","Body",0
NA,"Car","CNG","Chassis",0
NA,"Car","CNG","Exterior",0
NA,"Car","CNG","Interior",0
NA,"Car","CNG","Tires",0
NA,"Car","CNG","Transmission",0
NA,"Car","CNG","Wheels",0
NA,"Car","HEV","Body",0
NA,"Car","HEV","Chassis",0
NA,"Car","HEV","Exterior",0
NA,"Car","HEV","Interior",0
NA,"Car","HEV","Tires",0
NA,"Car","HEV","Transmission",0
NA,"Car","HEV","Wheels",0
NA,"Car","PHEV20","Body",0
NA,"Car","PHEV20","Chassis",0
NA,"Car","PHEV20","Exterior",0
NA,"Car","PHEV20","Interior",0
NA,"Car","PHEV20","Tires",0
NA,"Car","PHEV20","Transmission",0
NA,"Car","PHEV20","Wheels",0
NA,"Car","PHEV40","Body",0
NA,"Car","PHEV40","Chassis",0
NA,"Car","PHEV40","Exterior",0
NA,"Car","PHEV40","Interior",0
NA,"Car","PHEV40","Tires",0
NA,"Car","PHEV40","Transmission",0
NA,"Car","PHEV40","Wheels",0
NA,"Car","FCV","Body",0
NA,"Car","FCV","Chassis",0
NA,"Car","FCV","Exterior",0
NA,"Car","FCV","Interior",0
NA,"Car","FCV","Tires",0
NA,"Car","FCV","Transmission",0
NA,"Car","FCV","Wheels",0
NA,"Light truck","ICEV-G","Body",0
NA,"Light truck","ICEV-G","Chassis",0
NA,"Light truck","ICEV-G","Exterior",0
NA,"Light truck","ICEV-G","Interior",0
NA,"Light truck","ICEV-G","Tires",0
NA,"Light truck","ICEV-G","Transmission",0
NA,"Light truck","ICEV-G","Wheels",0
NA,"Light truck","BEV100","Body",0
NA,"Light truck","BEV100","Chassis",0
NA,"Light truck","BEV100","Exterior",0
NA,"Light truck","BEV100","Interior",0
NA,"Light truck","BEV100","Tires",0
NA,"Light truck","BEV100","Transmission",0
NA,"Light truck","BEV100","Wheels",0
NA,"Light truck","BEV300","Body",0
NA,"Light truck","BEV300","Chassis",0
NA,"Light truck","BEV300","Exterior",0
NA,"Light truck","BEV300","Interior",0
NA,"Light truck","BEV300","Tires",0
NA,"Light truck","BEV300","Transmission",0
NA,"Light truck","BEV300","Wheels",0
NA,"Light truck","FFV","Body",0
NA,"Light truck","FFV","Chassis",0
NA,"Light truck","FFV","Exterior",0
NA,"Light truck","FFV","Interior",0
NA,"Light truck","FFV","Tires",0
NA,"Light truck","FFV","Transmission",0
NA,"Light truck","FFV","Wheels",0
NA,"Light truck","ICEV-D","Body",0
NA,"Light truck","ICEV-D","Chassis",0
NA,"Light truck","ICEV-D","Exterior",0
NA,"Light truck","ICEV-D","Interior",0
NA,"Light truck","ICEV-D","Tires",0
NA,"Light truck","ICEV-D","Transmission",0
NA,"Light truck","ICEV-D","Wheels",0
NA,"Light truck","CNG","Body",0
NA,"Light truck","CNG","Chassis",0
NA,"Light truck","CNG","Exterior",0
NA,"Light truck","CNG","Interior",0
NA,"Light truck","CNG","Tires",0
NA,"Light truck","CNG","Transmission",0
NA,"Light truck","CNG","Wheels",0
NA,"Light truck","HEV","Body",0
NA,"Light truck","HEV","Chassis",0
NA,"Light truck","HEV","Exterior",0
NA,"Light truck","HEV","Interior",0
NA,"Light truck","HEV","Tires",0
NA,"Light truck","HEV","Transmission",0
NA,"Light truck","HEV","Wheels",0
NA,"Light truck","PHEV20","Body",0
NA,"Light truck","PHEV20","Chassis",0
NA,"Light truck","PHEV20","Exterior",0
NA,"Light truck","PHEV20","Interior",0
NA,"Light truck","PHEV20","Tires",0
NA,"Light truck","PHEV20","Transmission",0
NA,"Light truck","PHEV20","Wheels",0
NA,"Light truck","PHEV40","Body",0
NA,"Light truck","PHEV40","Chassis",0
NA,"Light truck","PHEV40","Exterior",0
NA,"Light truck","PHEV40","Interior",0
NA,"Light truck","PHEV40","Tires",0
NA,"Light truck","PHEV40","Transmission",0
NA,"Light truck","PHEV40","Wheels",0
NA,"Light truck","FCV","Body",0
NA,"Light truck","FCV","Chassis",0
NA,"Light truck","FCV","Exterior",0
NA,"Light truck","FCV","Interior",0
NA,"Light truck","FCV","Tires",0
NA,"Light truck","FCV","Transmission",0
NA,"Light truck","FCV","Wheels",0
