"Material","Scenario","rec_scen","Case","Year","value","Type"
"HSS/AHSS","Steel Intensive","BAU","Business-as-usual",2015,0.73,"Primary material production"
"Other steels","Steel Intensive","BAU","Business-as-usual",2015,0.73,"Primary material production"
"Wrought Aluminum","Steel Intensive","BAU","Business-as-usual",2015,0.78,"Primary material production"
"Cast Aluminum","Steel Intensive","BAU","Business-as-usual",2015,0.178948165747534,"Primary material production"
"HSS/AHSS","Aluminum Maximum","BAU","Business-as-usual",2015,0.73,"Primary material production"
"Other steels","Aluminum Maximum","BAU","Business-as-usual",2015,0.73,"Primary material production"
"Wrought Aluminum","Aluminum Maximum","BAU","Business-as-usual",2015,0.78,"Primary material production"
"Cast Aluminum","Aluminum Maximum","BAU","Business-as-usual",2015,0.178948165747534,"Primary material production"
"HSS/AHSS","No Lightweighting","BAU","Business-as-usual",2015,0.73,"Primary material production"
"Other steels","No Lightweighting","BAU","Business-as-usual",2015,0.73,"Primary material production"
"Wrought Aluminum","No Lightweighting","BAU","Business-as-usual",2015,0.78,"Primary material production"
"Cast Aluminum","No Lightweighting","BAU","Business-as-usual",2015,0.178948165747534,"Primary material production"
"HSS/AHSS","Steel Intensive","CL100","Closed loop",2015,0.73,"Primary material production"
"Other steels","Steel Intensive","CL100","Closed loop",2015,0.73,"Primary material production"
"Wrought Aluminum","Steel Intensive","CL100","Closed loop",2015,0.78,"Primary material production"
"Cast Aluminum","Steel Intensive","CL100","Closed loop",2015,0.178948165747534,"Primary material production"
"HSS/AHSS","Aluminum Maximum","CL100","Closed loop",2015,0.73,"Primary material production"
"Other steels","Aluminum Maximum","CL100","Closed loop",2015,0.73,"Primary material production"
"Wrought Aluminum","Aluminum Maximum","CL100","Closed loop",2015,0.78,"Primary material production"
"Cast Aluminum","Aluminum Maximum","CL100","Closed loop",2015,0.178948165747534,"Primary material production"
"HSS/AHSS","No Lightweighting","CL100","Closed loop",2015,0.73,"Primary material production"
"Other steels","No Lightweighting","CL100","Closed loop",2015,0.73,"Primary material production"
"Wrought Aluminum","No Lightweighting","CL100","Closed loop",2015,0.78,"Primary material production"
"Cast Aluminum","No Lightweighting","CL100","Closed loop",2015,0.178948165747534,"Primary material production"
"HSS/AHSS","Steel Intensive","BAU","Business-as-usual",2016,0.73,"Primary material production"
"Other steels","Steel Intensive","BAU","Business-as-usual",2016,0.73,"Primary material production"
"Wrought Aluminum","Steel Intensive","BAU","Business-as-usual",2016,0.78,"Primary material production"
"Cast Aluminum","Steel Intensive","BAU","Business-as-usual",2016,0.0977338853613519,"Primary material production"
"HSS/AHSS","Aluminum Maximum","BAU","Business-as-usual",2016,0.73,"Primary material production"
"Other steels","Aluminum Maximum","BAU","Business-as-usual",2016,0.73,"Primary material production"
"Wrought Aluminum","Aluminum Maximum","BAU","Business-as-usual",2016,0.78,"Primary material production"
"Cast Aluminum","Aluminum Maximum","BAU","Business-as-usual",2016,0.112027923504543,"Primary material production"
"HSS/AHSS","No Lightweighting","BAU","Business-as-usual",2016,0.73,"Primary material production"
"Other steels","No Lightweighting","BAU","Business-as-usual",2016,0.73,"Primary material production"
"Wrought Aluminum","No Lightweighting","BAU","Business-as-usual",2016,0.78,"Primary material production"
"Cast Aluminum","No Lightweighting","BAU","Business-as-usual",2016,0.0988671943812688,"Primary material production"
"HSS/AHSS","Steel Intensive","CL100","Closed loop",2016,0.719139005318013,"Primary material production"
"Other steels","Steel Intensive","CL100","Closed loop",2016,0.706899700275548,"Primary material production"
"Wrought Aluminum","Steel Intensive","CL100","Closed loop",2016,0.764268196489806,"Primary material production"
"Cast Aluminum","Steel Intensive","CL100","Closed loop",2016,0.101398513030631,"Primary material production"
