"Year","Technology","Size","Adj_stock","Survival_rate_mdl","AEO","Rel_value","Value","Case","Scenario"
2030,"BEV","Car","y",1,"REF_BAU",0.144982539897829,375432,"REF","No Change"
2020,"CNG","Light truck","y",1,"REF_EV",0.146027483135313,360424,"REF","High EV"
2030,"CNG","Car","y",1,"REF_EV",0.146250198695321,378147,"REF","High EV"
2050,"PHEV","Light truck","y",1,"REF_EV",0.149620024947767,425212,"REF","High EV"
2040,"FCV","Light truck","y",1,"REF",0.149716554957023,403202,"REF","Original"
2030,"PHEV","Light truck","y",1,"REF",0.150751220863997,390370,"REF","Original"
2030,"PHEV","Light truck","y",1,"REF_EV",0.153058244898606,395750,"REF","High EV"
2020,"CNG","Light truck","y",1,"REF_BAU",0.15644468466061,386198,"REF","No Change"
2040,"FCV","Car","y",1,"REF",0.157748927110014,424834,"REF","Original"
2050,"FCV","Light truck","y",1,"REF",0.162677627419918,462321,"REF","Original"
2040,"PHEV","Light truck","y",1,"REF_EV",0.169919285535912,457610,"REF","High EV"
2040,"BEV","Car","y",1,"REF_BAU",0.171126820628152,460862,"REF","No Change"
2050,"FCV","Car","y",1,"REF",0.172294278096366,489651,"REF","Original"
2030,"ICEV-D","Car","y",1,"REF_BAU",0.176240335568976,456374,"REF","No Change"
2050,"BEV","Car","y",1,"REF_BAU",0.176639548496365,502000,"REF","No Change"
2050,"BEV","Light truck","y",1,"REF",0.181405289291583,515544,"REF","Original"
2050,"CNG","Light truck","y",1,"REF_EV",0.183938765418886,522744,"REF","High EV"
2030,"BEV","Car","y",1,"REF_BAU",0.191913257381058,496959,"REF","No Change"
2020,"BEV","Car","y",1,"REF_EV",0.195346156328817,482152,"REF","High EV"
2020,"ICEV-D","Light truck","y",1,"REF_BAU",0.201353696698074,497060,"REF","No Change"
2030,"CNG","Car","y",1,"REF_BAU",0.202288241178111,523825,"REF","No Change"
2040,"BEV","Car","y",1,"REF_BAU",0.209577275217304,564413,"REF","No Change"
2050,"BEV","Car","y",1,"REF_BAU",0.212771836697357,604686,"REF","No Change"
2040,"PHEV","Light truck","y",1,"REF",0.215683970803174,580859,"REF","Original"
2030,"BEV","Light truck","y",1,"REF",0.217221630709055,562495,"REF","Original"
2020,"BEV","Car","y",1,"REF",0.220357284403536,543418,"REF","Original"
2030,"PHEV","Car","y",1,"REF_EV",0.226009884681297,584375,"REF","High EV"
2050,"PHEV","Car","y",1,"REF_EV",0.22994280971137,653485,"REF","High EV"
2040,"CNG","Light truck","y",1,"REF_EV",0.233832567638289,629735,"REF","High EV"
2050,"PHEV","Light truck","y",1,"REF",0.237529512350306,675046,"REF","Original"
2030,"PHEV","Car","y",1,"REF",0.246578670978751,638515,"REF","Original"
2040,"CNG","Car","y",1,"REF_BAU",0.246670930151516,664310,"REF","No Change"
2020,"HEV","Light truck","y",1,"REF",0.247019875933632,609170,"REF","Original"
2020,"HEV","Light truck","y",1,"REF_EV",0.249092360251969,614808,"REF","High EV"
2030,"PHEV","Light truck","y",1,"REF",0.253811732860511,657245,"REF","Original"
2020,"HEV","Light truck","y",1,"REF_BAU",0.255692782982982,631201,"REF","No Change"
2050,"CNG","Car","y",1,"REF_BAU",0.256704062889422,729539,"REF","No Change"
2030,"PHEV","Light truck","y",1,"REF_EV",0.257652235423885,666190,"REF","High EV"
2030,"PHEV","Car","y",1,"REF_BAU",0.257783939143541,667531,"REF","No Change"
2050,"PHEV","Light truck","y",1,"REF_EV",0.257923990872465,733006,"REF","High EV"
2050,"HEV","Light truck","y",1,"REF_EV",0.26363732997173,749243,"REF","High EV"
2030,"CNG","Light truck","y",1,"REF_EV",0.267583327306403,691868,"REF","High EV"
2040,"PHEV","Car","y",1,"REF_EV",0.27421759290909,738496,"REF","High EV"
2040,"PHEV","Car","y",1,"REF_EV",0.278648171163531,750428,"REF","High EV"
2040,"PHEV","Light truck","y",1,"REF_EV",0.287971991140819,775538,"REF","High EV"
2030,"PHEV","Car","y",1,"REF_EV",0.287997023534421,744650,"REF","High EV"
2050,"PHEV","Car","y",1,"REF_EV",0.295682979934674,840315,"REF","High EV"
2030,"ICEV-D","Light truck","y",1,"REF_BAU",0.301169181816945,779877,"REF","No Change"
2020,"ICEV-D","Light truck","y",1,"REF",0.302370137806654,745668,"REF","Original"
2040,"HEV","Light truck","y",1,"REF_EV",0.305526096653614,822813,"REF","High EV"
