"Source","Technology","Size","Data","Year","value"
"EPA","ICEV-G","Light truck","curb weight (lbs)",1995,1905.58622249689
"EPA","ICEV-G","Car","curb weight (lbs)",1996,1495.23422844843
"EPA","ICEV-D","Car","curb weight (lbs)",1996,1645.92547043587
"EPA","ICEV-G","Light truck","curb weight (lbs)",1996,1929.52190177235
"EPA","ICEV-D","Light truck","curb weight (lbs)",1996,2474.75645896472
"EPA","ICEV-G","Car","curb weight (lbs)",1997,1490.16618283859
"EPA","ICEV-D","Car","curb weight (lbs)",1997,1610.41299940155
"EPA","ICEV-G","Light truck","curb weight (lbs)",1997,1992.84338347017
"EPA","ICEV-D","Light truck","curb weight (lbs)",1997,2653.08610191754
"EPA","ICEV-G","Car","curb weight (lbs)",1998,1512.32204911517
"EPA","ICEV-D","Car","curb weight (lbs)",1998,1470.32177565234
"EPA","ICEV-G","Light truck","curb weight (lbs)",1998,1957.99404905866
"EPA","ICEV-D","Light truck","curb weight (lbs)",1998,2658.77916288662
"EPA","ICEV-G","Car","curb weight (lbs)",1999,1537.83997061451
"EPA","ICEV-D","Car","curb weight (lbs)",1999,1514.07607357345
"EPA","ICEV-G","Light truck","curb weight (lbs)",1999,2021.55850340617
"EPA","ICEV-G","Car","curb weight (lbs)",2000,1543.37824681607
"EPA","ICEV-D","Car","curb weight (lbs)",2000,1360.77711
"EPA","HEV","Car","curb weight (lbs)",2000,907.18474
"EPA","ICEV-G","Light truck","curb weight (lbs)",2000,2005.31827678182
"EPA","ICEV-G","Car","curb weight (lbs)",2001,1548.07184738854
"EPA","ICEV-D","Car","curb weight (lbs)",2001,1405.47723827745
"EPA","HEV","Car","curb weight (lbs)",2001,1290.80700605965
"EPA","ICEV-G","Light truck","curb weight (lbs)",2001,2060.54268153636
"EPA","ICEV-G","Car","curb weight (lbs)",2002,1550.07350379734
"EPA","ICEV-D","Car","curb weight (lbs)",2002,1457.05717621015
"EPA","HEV","Car","curb weight (lbs)",2002,1329.63079165985
"EPA","ICEV-G","Light truck","curb weight (lbs)",2002,2092.06171264461
"EPA","ICEV-G","Car","curb weight (lbs)",2003,1560.59566426603
"EPA","ICEV-D","Car","curb weight (lbs)",2003,1453.84935101145
"EPA","HEV","Car","curb weight (lbs)",2003,1352.6793209167
"EPA","ICEV-G","Light truck","curb weight (lbs)",2003,2111.27469339706
"EPA","ICEV-G","Car","curb weight (lbs)",2004,1586.2725789629
"EPA","ICEV-D","Car","curb weight (lbs)",2004,1513.41637563441
"EPA","HEV","Car","curb weight (lbs)",2004,1357.93544860276
"EPA","ICEV-G","Light truck","curb weight (lbs)",2004,2169.32591619213
"EPA","ICEV-D","Light truck","curb weight (lbs)",2004,2721.55422
"EPA","ICEV-G","Car","curb weight (lbs)",2005,1590.37542173987
"EPA","ICEV-D","Car","curb weight (lbs)",2005,1617.74717661617
"EPA","HEV","Car","curb weight (lbs)",2005,1396.46103350707
"EPA","ICEV-G","Light truck","curb weight (lbs)",2005,2160.85989492617
"EPA","ICEV-D","Light truck","curb weight (lbs)",2005,2041.165665
"EPA","HEV","Light truck","curb weight (lbs)",2005,1903.21614657178
"EPA","ICEV-G","Car","curb weight (lbs)",2006,1619.75696775053
"EPA","ICEV-D","Car","curb weight (lbs)",2006,1600.70681622629
"EPA","HEV","Car","curb weight (lbs)",2006,1401.64699317504
"EPA","ICEV-G","Light truck","curb weight (lbs)",2006,2160.45167131861
"EPA","ICEV-D","Light truck","curb weight (lbs)",2006,2099.15646158032
"EPA","HEV","Light truck","curb weight (lbs)",2006,2020.20942308262
"EPA","ICEV-G","Car","curb weight (lbs)",2007,1613.96954006402
"EPA","ICEV-D","Car","curb weight (lbs)",2007,2090.50342871613
"EPA","HEV","Car","curb weight (lbs)",2007,1505.14246389132
"EPA","ICEV-G","Light truck","curb weight (lbs)",2007,2210.85980053703
"EPA","ICEV-D","Light truck","curb weight (lbs)",2007,2377.37498565844
"EPA","HEV","Light truck","curb weight (lbs)",2007,2009.52344954387
"EPA","ICEV-G","Car","curb weight (lbs)",2008,1623.65410956285
"EPA","ICEV-D","Car","curb weight (lbs)",2008,1945.88429805846
"EPA","HEV","Car","curb weight (lbs)",2008,1471.67058654202
"EPA","ICEV-G","Light truck","curb weight (lbs)",2008,2194.09457113509
"EPA","ICEV-D","Light truck","curb weight (lbs)",2008,2455.37368089808
"EPA","HEV","Light truck","curb weight (lbs)",2008,2144.33312991936
"EPA","ICEV-G","Car","curb weight (lbs)",2009,1589.29928881059
"EPA","ICEV-D","Car","curb weight (lbs)",2009,1610.46254438894
"EPA","HEV","Car","curb weight (lbs)",2009,1551.37501180672
"EPA","ICEV-G","Light truck","curb weight (lbs)",2009,2153.60540255115
"EPA","ICEV-D","Light truck","curb weight (lbs)",2009,2498.77456731362
"EPA","HEV","Light truck","curb weight (lbs)",2009,2286.69544757389
"EPA","ICEV-G","Car","curb weight (lbs)",2010,1603.61592272662
"EPA","ICEV-D","Car","curb weight (lbs)",2010,1592.66058653409
"EPA","HEV","Car","curb weight (lbs)",2010,1613.717122714
"EPA","ICEV-G","Light truck","curb weight (lbs)",2010,2168.38729931526
"EPA","ICEV-D","Light truck","curb weight (lbs)",2010,2534.07230771998
"EPA","HEV","Light truck","curb weight (lbs)",2010,2229.40035872368
"EPA","ICEV-G","Car","curb weight (lbs)",2011,1641.61891433601
"EPA","ICEV-D","Car","curb weight (lbs)",2011,1634.8942328177
"EPA","HEV","Car","curb weight (lbs)",2011,1607.98125668655
"EPA","ICEV-G","Light truck","curb weight (lbs)",2011,2186.16391405722
