"Component","Weight","Relative","Size","Technology","Unit"
"Fluids",43.045915913,0.0211002703511027,"Car","PHEV40","kg"
"Wheels",54.4310844,0.0266810583997083,"Car","PHEV40","kg"
"Total",2040.0646625246,1,"Car","PHEV40","kg"
"Glider",1299.99094541626,0.649184752618451,"Car","FCV","kg"
"Powertrain",354.696532656383,0.177127065091538,"Car","FCV","kg"
"Transmission",54.4650320446274,0.0271985497121488,"Car","FCV","kg"
"Battery Lead-Acid",16.32932532,0.00815447911823418,"Car","FCV","kg"
"EV Battery",31.4999999927107,0.0157303554881309,"Car","FCV","kg"
"Traction Motor",83.7923556997061,0.0418439219888666,"Car","FCV","kg"
"Electronic Controller",73.3183119370916,0.0366134320897462,"Car","FCV","kg"
"Fluids",33.974068513,0.0169658468321039,"Car","FCV","kg"
"Wheels",54.4310844,0.0271815970607806,"Car","FCV","kg"
"Total",2002.49765597978,1,"Car","FCV","kg"
"Glider",1478.473755305,0.697790848602337,"Light truck","ICEV-G","kg"
"Powertrain",431.450951718307,0.203630618838883,"Light truck","ICEV-G","kg"
"Transmission",73.9236884595968,0.0348895427578257,"Light truck","ICEV-G","kg"
"Battery Lead-Acid",24.267191795,0.0114533141322725,"Light truck","ICEV-G","kg"
"Fluids",56.24545388,0.0265459991103138,"Light truck","ICEV-G","kg"
"Wheels",54.4310844,0.0256896765583682,"Light truck","ICEV-G","kg"
"Total",2118.7921255579,1,"Light truck","ICEV-G","kg"
"Glider",1428.53740402144,0.65072357799558,"Light truck","BEV100","kg"
"Powertrain",32.5574027593724,0.0148304619495311,"Light truck","BEV100","kg"
"Transmission",71.4268709079774,0.0325361792217866,"Light truck","BEV100","kg"
"Battery Lead-Acid",16.32932532,0.0074382910580931,"Light truck","BEV100","kg"
"EV Battery",323.308270698869,0.147272527910353,"Light truck","BEV100","kg"
"Traction Motor",130.473083367183,0.0594327536694547,"Light truck","BEV100","kg"
"Electronic Controller",104.268534433903,0.0474961268834695,"Light truck","BEV100","kg"
"Fluids",33.974068513,0.0154757777847548,"Light truck","BEV100","kg"
"Wheels",54.4310844,0.024794303526977,"Light truck","BEV100","kg"
"Total",2195.30604442175,1,"Light truck","BEV100","kg"
"Glider",1431.09929528356,0.48412794738862,"Light truck","BEV300","kg"
"Powertrain",28.731786476452,0.0097197034877281,"Light truck","BEV300","kg"
"Transmission",71.5549650396173,0.0242063974626097,"Light truck","BEV300","kg"
"Battery Lead-Acid",16.32932532,0.00552406305800482,"Light truck","BEV300","kg"
"EV Battery",1015.03759405459,0.343378037115562,"Light truck","BEV300","kg"
"Traction Motor",196.537637039497,0.0664869049395265,"Light truck","BEV300","kg"
"Electronic Controller",108.339529592464,0.0366502829366956,"Light truck","BEV300","kg"
"Fluids",33.974068513,0.0114931200845711,"Light truck","BEV300","kg"
"Wheels",54.4310844,0.0184135435266827,"Light truck","BEV300","kg"
"Total",2956.03528571917,1,"Light truck","BEV300","kg"
"Glider",1481.63119288725,0.697885568940458,"Light truck","FFV","kg"
"Powertrain",432.372361006071,0.203658260303523,"Light truck","FFV","kg"
"Transmission",74.0815603401921,0.0348942787747762,"Light truck","FFV","kg"
"Battery Lead-Acid",24.267191795,0.0114304578857025,"Light truck","FFV","kg"
"Fluids",56.24545388,0.0264930238846188,"Light truck","FFV","kg"
"Wheels",54.4310844,0.0256384102109214,"Light truck","FFV","kg"
"Total",2123.02884430851,1,"Light truck","FFV","kg"
"Glider",1763.88003028543,0.705056638585267,"Light truck","ICEV-D","kg"
"Powertrain",514.738739901794,0.205750935139306,"Light truck","ICEV-D","kg"
"Transmission",88.1940023426561,0.0352528322603845,"Light truck","ICEV-D","kg"
"Battery Lead-Acid",24.267191795,0.00970006144472193,"Light truck","ICEV-D","kg"
"Fluids",56.24545388,0.0224823854045891,"Light truck","ICEV-D","kg"
"Wheels",54.4310844,0.0217571471657314,"Light truck","ICEV-D","kg"
"Total",2501.75650260488,1,"Light truck","ICEV-D","kg"
"Glider",1481.63119288725,0.697885568940458,"Light truck","CNG","kg"
"Powertrain",432.372361006071,0.203658260303523,"Light truck","CNG","kg"
"Transmission",74.0815603401921,0.0348942787747762,"Light truck","CNG","kg"
"Battery Lead-Acid",24.267191795,0.0114304578857025,"Light truck","CNG","kg"
"Fluids",56.24545388,0.0264930238846188,"Light truck","CNG","kg"
"Wheels",54.4310844,0.0256384102109214,"Light truck","CNG","kg"
"Total",2123.02884430851,1,"Light truck","CNG","kg"
"Glider",1378.72504117214,0.649191854111811,"Light truck","HEV","kg"
"Powertrain",370.055853191557,0.174245943378322,"Light truck","HEV","kg"
"Transmission",68.9362526417168,0.0324595929801559,"Light truck","HEV","kg"
"Battery Lead-Acid",16.32932532,0.00768888985426223,"Light truck","HEV","kg"
"EV Battery",66.2500000045444,0.0311947335788527,"Light truck","HEV","kg"
"Traction Motor",45.4979256550613,0.0214233308543809,"Light truck","HEV","kg"
"Generator",45.4979256550613,0.0214233308543809,"Light truck","HEV","kg"
"Electronic Controller",34.9865926371483,0.0164739235633635,"Light truck","HEV","kg"
"Fluids",43.045915913,0.0202687679769302,"Light truck","HEV","kg"
"Wheels",54.4310844,0.0256296328475408,"Light truck","HEV","kg"
"Total",2123.75591659023,1,"Light truck","HEV","kg"
"Glider",1431.47053850844,0.644004211096378,"Light truck","PHEV20","kg"
"Powertrain",397.246990015622,0.178717429058644,"Light truck","PHEV20","kg"
"Transmission",71.5735268236124,0.0322002105090158,"Light truck","PHEV20","kg"
"Battery Lead-Acid",16.32932532,0.00734639937570794,"Light truck","PHEV20","kg"
"EV Battery",72.7683615897371,0.032737754663959,"Light truck","PHEV20","kg"
"Traction Motor",49.6243110079646,0.0223254788709695,"Light truck","PHEV20","kg"
"Generator",49.6243110079646,0.0223254788709695,"Light truck","PHEV20","kg"
"Electronic Controller",36.6514401146078,0.0164891146143662,"Light truck","PHEV20","kg"
"Fluids",43.045915913,0.0193659250209634,"Light truck","PHEV20","kg"
"Wheels",54.4310844,0.0244879979190265,"Light truck","PHEV20","kg"
"Total",2222.76580470095,1,"Light truck","PHEV20","kg"
"Glider",1434.71384156388,0.583362340077145,"Light truck","PHEV40","kg"
"Powertrain",438.407023304506,0.178258646157896,"Light truck","PHEV40","kg"
"Transmission",71.7356911142082,0.0291681166118954,"Light truck","PHEV40","kg"
"Battery Lead-Acid",16.32932532,0.00663959122341263,"Light truck","PHEV40","kg"
"EV Battery",203.389830522426,0.0826993955478427,"Light truck","PHEV40","kg"
"Traction Motor",79.3874987947664,0.032279382639332,"Light truck","PHEV40","kg"
"Generator",79.3874987947664,0.032279382639332,"Light truck","PHEV40","kg"
"Electronic Controller",38.5594378455176,0.0156784741611617,"Light truck","PHEV40","kg"
"Fluids",43.045915913,0.0175027001972739,"Light truck","PHEV40","kg"
"Wheels",54.4310844,0.0221319707447088,"Light truck","PHEV40","kg"
"Total",2459.38714757307,1,"Light truck","PHEV40","kg"
"Glider",1550.32209930643,0.659796533609839,"Light truck","FCV","kg"
"Powertrain",414.790585756538,0.176529374623889,"Light truck","FCV","kg"
"Transmission",63.3851186096588,0.0269758662150344,"Light truck","FCV","kg"
"Battery Lead-Acid",16.32932532,0.00694954438638487,"Light truck","FCV","kg"
"EV Battery",35.6999999917388,0.0151934467392023,"Light truck","FCV","kg"
"Traction Motor",96.2514746889442,0.0409633516693154,"Light truck","FCV","kg"
"Electronic Controller",84.5134914795451,0.0359678216200458,"Light truck","FCV","kg"
"Fluids",33.974068513,0.014458913181673,"Light truck","FCV","kg"
"Wheels",54.4310844,0.0231651479546162,"Light truck","FCV","kg"
"Total",2349.69724806585,1,"Light truck","FCV","kg"
