"Year","Age","Technology","Size","Adj_stock","Survival_rate_mdl","AEO","Rel_value","Value"
2030,0,"PHEV","Light truck","y",1,"REF",0.418976713842872,68436
2030,0,"BEV","Light truck","y",1,"HOP",0.422643338860816,64687
2050,0,"BEV","Light truck","y",1,"LOP",0.423743787859605,86453
2040,0,"PHEV","Light truck","y",1,"LOP",0.424398845644582,79108
2030,0,"HEV","Light truck","y",1,"REF",0.425815175900305,69553
2040,0,"BEV","Light truck","y",1,"LOP",0.429811931998116,80117
2030,0,"PHEV","Light truck","y",1,"HOP",0.430522941666111,65893
2040,0,"PHEV","Light truck","y",1,"REF",0.434044135798209,73268
2040,0,"HEV","Light truck","y",1,"HOP",0.445843246570537,65571
2040,0,"BEV","Light truck","y",1,"REF",0.449458543743655,75870
2040,0,"HEV","Light truck","y",1,"REF",0.450477482316528,76042
2050,0,"BEV","Light truck","y",1,"REF",0.452305336664161,82434
2050,0,"PHEV","Light truck","y",1,"LOP",0.4547404648335,92777
2040,0,"BEV","Light truck","y",1,"HOP",0.461787832030694,67916
2040,0,"PHEV","Light truck","y",1,"HOP",0.462841738532324,68071
2030,0,"PHEV","Car","y",1,"LOP",0.464029421570975,81362
2050,0,"PHEV","Light truck","y",1,"REF",0.469435371128891,85556
2050,0,"PHEV","Car","y",1,"LOP",0.471248498996701,96145
2050,0,"HEV","Light truck","y",1,"REF",0.472760419458688,86162
2050,0,"HEV","Light truck","y",1,"LOP",0.473483553503357,96601
2040,0,"PHEV","Car","y",1,"LOP",0.474146665026468,88381
2020,0,"ICEV-D","Car","y",1,"REF",0.474528566103745,75787
2030,0,"HEV","Light truck","y",1,"LOP",0.477164051470411,83665
2050,0,"HEV","Light truck","y",1,"HOP",0.47823732197249,75392
2040,0,"HEV","Light truck","y",1,"LOP",0.486051163161742,90600
2050,0,"PHEV","Light truck","y",1,"HOP",0.493873662680552,77857
2030,0,"PHEV","Car","y",1,"REF",0.494083475275807,80704
2050,0,"PHEV","Car","y",1,"REF",0.498581669359718,90868
2050,0,"BEV","Light truck","y",1,"LOP",0.500402236289668,102093
2040,0,"PHEV","Car","y",1,"REF",0.505097329071721,85262
2040,0,"BEV","Light truck","y",1,"HOP",0.505167983517174,74296
2040,0,"PHEV","Car","y",1,"LOP",0.511657368479303,95373
2030,0,"PHEV","Car","y",1,"REF",0.512756088771931,83754
2030,0,"BEV","Car","y",1,"LOP",0.523771170679354,91837
2050,0,"BEV","Light truck","y",1,"HOP",0.524004542341117,82607
2050,0,"PHEV","Car","y",1,"HOP",0.537940867102014,84804
2030,0,"PHEV","Car","y",1,"HOP",0.538308851681831,82390
2050,0,"PHEV","Car","y",1,"LOP",0.539716649004345,110114
2050,0,"BEV","Light truck","y",1,"REF",0.540852580799909,98572
2040,0,"PHEV","Car","y",1,"HOP",0.556007073276487,81773
2040,0,"BEV","Car","y",1,"LOP",0.559951326214204,104375
2030,0,"BEV","Car","y",1,"REF",0.60006433174512,98015
2050,0,"BEV","Car","y",1,"LOP",0.604606751227209,123353
2020,0,"ICEV-D","Car","y",1,"HOP",0.607535945793374,97106
2050,0,"BEV","Light truck","y",1,"HOP",0.6266081167642,98782
2040,0,"BEV","Car","y",1,"REF",0.66102455102871,111583
2040,0,"PHEV","Car","y",1,"REF",0.686403230367023,115867
2050,0,"PHEV","Car","y",1,"REF",0.715187169220105,130345
2050,0,"BEV","Car","y",1,"REF",0.726347479950809,132379
2030,0,"BEV","Car","y",1,"HOP",0.787698933836164,120560
2030,0,"PHEV","Car","y",1,"HOP",0.795826816000167,121804
2050,0,"ICEV-D","Light truck","y",1,"HOP",0.818240511405394,128992
2040,0,"ICEV-D","Light truck","y",1,"HOP",0.824379264369182,121243
2030,0,"ICEV-D","Light truck","y",1,"HOP",0.883567434633925,135233
2040,0,"BEV","Car","y",1,"HOP",0.900274131280169,132405
2050,0,"BEV","Car","y",1,"HOP",0.994039921702848,156706
2050,0,"ICEV-D","Car","y",1,"REF",1.00603562114399,183353
2040,0,"ICEV-D","Light truck","y",1,"REF",1.03549632468264,174795
2050,0,"ICEV-D","Car","y",1,"LOP",1.10399929184062,225240
2040,0,"PHEV","Car","y",1,"HOP",1.13969449086355,167617
2050,0,"ICEV-D","Light truck","y",1,"REF",1.15607431186726,210698
2030,0,"ICEV-D","Light truck","y",1,"REF",1.1622997851976,189851
