"Scenario","Size","Technology","Material","Year","value"
"2015 design","Light truck","HEV","HSS/AHSS",2015,373.891931108719
"2015 design","Light truck","HEV","Steel",2015,813.112330879489
"2015 design","Light truck","HEV","Other",2015,632.131880096617
"2015 design","Light truck","HEV","Wrought Aluminum",2015,42.8270529047769
"2015 design","Light truck","PHEV20","Cast Aluminum",2015,169.789953336882
"2015 design","Light truck","PHEV20","Cast Iron",2015,98.6235101928207
"2015 design","Light truck","PHEV20","HSS/AHSS",2015,388.195809886169
"2015 design","Light truck","PHEV20","Steel",2015,857.74258712531
"2015 design","Light truck","PHEV20","Other",2015,663.948468841209
"2015 design","Light truck","PHEV20","Wrought Aluminum",2015,44.4654753185567
"2015 design","Light truck","PHEV40","Cast Aluminum",2015,197.815297533589
"2015 design","Light truck","PHEV40","Cast Iron",2015,106.867824912571
"2015 design","Light truck","PHEV40","HSS/AHSS",2015,389.07535062588
"2015 design","Light truck","PHEV40","Steel",2015,900.99497481486
"2015 design","Light truck","PHEV40","Other",2015,820.067478483358
"2015 design","Light truck","PHEV40","Wrought Aluminum",2015,44.5662212028155
"2015 design","Light truck","FCV","Cast Aluminum",2015,139.850435860921
"2015 design","Light truck","FCV","Cast Iron",2015,21.0988099356532
"2015 design","Light truck","FCV","HSS/AHSS",2015,420.426775637153
"2015 design","Light truck","FCV","Steel",2015,775.665272022816
"2015 design","Light truck","FCV","Other",2015,913.147334917459
"2015 design","Light truck","FCV","Wrought Aluminum",2015,79.5086196918475
"Steel Intensive","Car","ICEV-G","Cast Aluminum",2030,116.901347936321
"Steel Intensive","Car","ICEV-G","Cast Iron",2030,116.214606393778
"Steel Intensive","Car","ICEV-G","HSS/AHSS",2030,485.981124953547
"Steel Intensive","Car","ICEV-G","Steel",2030,341.405306155027
"Steel Intensive","Car","ICEV-G","Other",2030,503.615307211378
"Steel Intensive","Car","ICEV-G","Wrought Aluminum",2030,41.5370287208833
"Steel Intensive","Car","BEV100","Cast Aluminum",2030,126.32598476685
"Steel Intensive","Car","BEV100","Cast Iron",2030,15.1341956744541
"Steel Intensive","Car","BEV100","HSS/AHSS",2030,515.17333124692
"Steel Intensive","Car","BEV100","Steel",2030,297.141621768333
"Steel Intensive","Car","BEV100","Other",2030,598.625267410987
"Steel Intensive","Car","BEV100","Wrought Aluminum",2030,35.6448372452754
"Steel Intensive","Car","BEV300","Cast Aluminum",2030,110.908782996903
"Steel Intensive","Car","BEV300","Cast Iron",2030,11.8666447152126
"Steel Intensive","Car","BEV300","HSS/AHSS",2030,436.217420318878
"Steel Intensive","Car","BEV300","Steel",2030,241.819818245755
"Steel Intensive","Car","BEV300","Other",2030,749.136923583911
"Steel Intensive","Car","BEV300","Wrought Aluminum",2030,24.5609603086679
"Steel Intensive","Car","FFV","Cast Aluminum",2030,117.018989543798
"Steel Intensive","Car","FFV","Cast Iron",2030,116.36829897557
"Steel Intensive","Car","FFV","HSS/AHSS",2030,486.633807993449
"Steel Intensive","Car","FFV","Steel",2030,341.851880476003
"Steel Intensive","Car","FFV","Other",2030,504.097741040594
"Steel Intensive","Car","FFV","Wrought Aluminum",2030,41.5911065138882
"Steel Intensive","Car","ICEV-D","Cast Aluminum",2030,121.147355771547
"Steel Intensive","Car","ICEV-D","Cast Iron",2030,121.760794762682
"Steel Intensive","Car","ICEV-D","HSS/AHSS",2030,509.640267002306
"Steel Intensive","Car","ICEV-D","Steel",2030,357.572929242049
"Steel Intensive","Car","ICEV-D","Other",2030,521.09845336184
