"Size","Technology","Material","Source","Year","value"
"Car","ICEV-G","Mild steel and other steels","TEDB&DUCK",1993,692.549837586559
"Car","ICEV-G","Wrought Aluminum","TEDB&DUCK",1993,23.1650102007066
"Car","ICEV-G","Cast Aluminum","TEDB&DUCK",1993,57.549311056111
"Car","ICEV-G","Other","TEDB&DUCK",1993,380.060027412191
"Car","ICEV-G","HSS/AHSS","TEDB&DUCK",1994,130.834890624287
"Car","ICEV-G","Cast Iron","TEDB&DUCK",1994,188.176106904674
"Car","ICEV-G","Mild steel and other steels","TEDB&DUCK",1994,697.382269342089
"Car","ICEV-G","Wrought Aluminum","TEDB&DUCK",1994,23.9193177342109
"Car","ICEV-G","Cast Aluminum","TEDB&DUCK",1994,59.4232527682659
"Car","ICEV-G","Other","TEDB&DUCK",1994,382.590451766839
"Car","ICEV-G","HSS/AHSS","TEDB&DUCK",1995,130.740917248704
"Car","ICEV-G","Cast Iron","TEDB&DUCK",1995,188.040947667825
"Car","ICEV-G","Mild steel and other steels","TEDB&DUCK",1995,696.881368048792
"Car","ICEV-G","Wrought Aluminum","TEDB&DUCK",1995,25.0094338636579
"Car","ICEV-G","Cast Aluminum","TEDB&DUCK",1995,62.1314506787044
"Car","ICEV-G","Other","TEDB&DUCK",1995,382.088585468742
"Car","ICEV-G","HSS/AHSS","TEDB&DUCK",1996,134.027724403614
"Car","ICEV-G","Cast Iron","TEDB&DUCK",1996,178.703633534975
"Car","ICEV-G","Mild steel and other steels","TEDB&DUCK",1996,697.507649506346
"Car","ICEV-G","Wrought Aluminum","TEDB&DUCK",1996,25.8749981778827
"Car","ICEV-G","Cast Aluminum","TEDB&DUCK",1996,64.2817898983637
"Car","ICEV-G","Other","TEDB&DUCK",1996,394.838431432011
"Car","ICEV-G","HSS/AHSS","TEDB&DUCK",1997,137.236491007972
"Car","ICEV-G","Cast Iron","TEDB&DUCK",1997,173.727120190838
"Car","ICEV-G","Mild steel and other steels","TEDB&DUCK",1997,692.52865407587
"Car","ICEV-G","Wrought Aluminum","TEDB&DUCK",1997,25.8405206675365
"Car","ICEV-G","Cast Aluminum","TEDB&DUCK",1997,64.1961367106395
"Car","ICEV-G","Other","TEDB&DUCK",1997,396.63725869557
"Car","ICEV-G","HSS/AHSS","TEDB&DUCK",1998,148.521106006764
"Car","ICEV-G","Cast Iron","TEDB&DUCK",1998,172.095883825802
"Car","ICEV-G","Mild steel and other steels","TEDB&DUCK",1998,694.670144637225
"Car","ICEV-G","Wrought Aluminum","TEDB&DUCK",1998,27.627676051846
"Car","ICEV-G","Cast Aluminum","TEDB&DUCK",1998,68.6360035713109
"Car","ICEV-G","Other","TEDB&DUCK",1998,400.771233509901
"Car","ICEV-G","HSS/AHSS","TEDB&DUCK",1999,156.064945911306
"Car","ICEV-G","Cast Iron","TEDB&DUCK",1999,174.472605859167
"Car","ICEV-G","Mild steel and other steels","TEDB&DUCK",1999,701.091757206215
"Car","ICEV-G","Wrought Aluminum","TEDB&DUCK",1999,29.5158828443089
"Car","ICEV-G","Cast Aluminum","TEDB&DUCK",1999,73.3269145226211
"Car","ICEV-G","Other","TEDB&DUCK",1999,403.36785965737
"Car","ICEV-G","HSS/AHSS","TEDB&DUCK",2000,161.378350462937
"Car","ICEV-G","Cast Iron","TEDB&DUCK",2000,170.871194698602
"Car","ICEV-G","Mild steel and other steels","TEDB&DUCK",2000,689.417808756768
"Car","ICEV-G","Wrought Aluminum","TEDB&DUCK",2000,30.4229834869524
"Car","ICEV-G","Cast Aluminum","TEDB&DUCK",2000,75.580443296854
"Car","ICEV-G","Other","TEDB&DUCK",2000,415.707469200707
"Car","ICEV-G","HSS/AHSS","TEDB&DUCK",2001,167.658356113124
"Car","ICEV-G","Cast Iron","TEDB&DUCK",2001,151.841529568165
"Car","ICEV-G","Mild steel and other steels","TEDB&DUCK",2001,689.218194172157
"Car","ICEV-G","Wrought Aluminum","TEDB&DUCK",2001,31.6625178431254
"Car","ICEV-G","Cast Aluminum","TEDB&DUCK",2001,78.6598439796113
"Car","ICEV-G","Other","TEDB&DUCK",2001,429.031405712357
"Car","ICEV-G","HSS/AHSS","TEDB&DUCK",2002,174.550728268036
"Car","ICEV-G","Cast Iron","TEDB&DUCK",2002,139.876994554978
"Car","ICEV-G","Mild steel and other steels","TEDB&DUCK",2002,686.776338529052
"Car","ICEV-G","Wrought Aluminum","TEDB&DUCK",2002,32.6811760331074
"Car","ICEV-G","Cast Aluminum","TEDB&DUCK",2002,81.1905174620404
"Car","ICEV-G","Other","TEDB&DUCK",2002,434.997748950121
"Car","ICEV-G","HSS/AHSS","TEDB&DUCK",2003,181.052711988451
"Car","ICEV-G","Cast Iron","TEDB&DUCK",2003,132.247198756252
"Car","ICEV-G","Mild steel and other steels","TEDB&DUCK",2003,686.032345108651
"Car","ICEV-G","Wrought Aluminum","TEDB&DUCK",2003,33.7753835110237
"Car","ICEV-G","Cast Aluminum","TEDB&DUCK",2003,83.9088795935885
"Car","ICEV-G","Other","TEDB&DUCK",2003,443.579143747466
"Car","ICEV-G","HSS/AHSS","TEDB&DUCK",2004,187.982326498078
"Car","ICEV-G","Cast Iron","TEDB&DUCK",2004,129.900104190976
"Car","ICEV-G","Mild steel and other steels","TEDB&DUCK",2004,688.352820806263
"Car","ICEV-G","Wrought Aluminum","TEDB&DUCK",2004,35.0286817972565
"Car","ICEV-G","Cast Aluminum","TEDB&DUCK",2004,87.0224742907452
"Car","ICEV-G","Other","TEDB&DUCK",2004,457.986169793306
"Car","ICEV-G","HSS/AHSS","TEDB&DUCK",2005,194.392414794483
"Car","ICEV-G","Cast Iron","TEDB&DUCK",2005,129.85888455194
"Car","ICEV-G","Mild steel and other steels","TEDB&DUCK",2005,688.885544993201
"Car","ICEV-G","Wrought Aluminum","TEDB&DUCK",2005,35.9059815619124
"Car","ICEV-G","Cast Aluminum","TEDB&DUCK",2005,89.2019681311623
"Car","ICEV-G","Other","TEDB&DUCK",2005,452.130629297545
"Car","ICEV-G","HSS/AHSS","TEDB&DUCK",2006,200.266686702397
"Car","ICEV-G","Cast Iron","TEDB&DUCK",2006,132.57654737447
"Car","ICEV-G","Mild steel and other steels","TEDB&DUCK",2006,692.922738257953
"Car","ICEV-G","Wrought Aluminum","TEDB&DUCK",2006,37.1298441736186
"Car","ICEV-G","Cast Aluminum","TEDB&DUCK",2006,92.2424351769688
"Car","ICEV-G","Other","TEDB&DUCK",2006,464.618714445367
"Car","ICEV-G","HSS/AHSS","TEDB&DUCK",2007,205.111929079522
"Car","ICEV-G","Cast Iron","TEDB&DUCK",2007,127.502010360939
"Car","ICEV-G","Mild steel and other steels","TEDB&DUCK",2007,694.133613362149
"Car","ICEV-G","Wrought Aluminum","TEDB&DUCK",2007,35.5702891610939
"Car","ICEV-G","Cast Aluminum","TEDB&DUCK",2007,88.3680005988151
"Car","ICEV-G","Other","TEDB&DUCK",2007,463.28369911547
"Car","ICEV-G","HSS/AHSS","TEDB&DUCK",2008,208.641548549727
"Car","ICEV-G","Cast Iron","TEDB&DUCK",2008,120.078596381002
"Car","ICEV-G","Mild steel and other steels","TEDB&DUCK",2008,693.344185659304
"Car","ICEV-G","Wrought Aluminum","TEDB&DUCK",2008,36.065466590857
"Car","ICEV-G","Cast Aluminum","TEDB&DUCK",2008,89.5981800671813
"Car","ICEV-G","Other","TEDB&DUCK",2008,475.926130691129
"Car","ICEV-G","HSS/AHSS","TEDB&DUCK",2009,212.71847438913
"Car","ICEV-G","Cast Iron","TEDB&DUCK",2009,83.6259645340397
"Car","ICEV-G","Mild steel and other steels","TEDB&DUCK",2009,649.928009844422
"Car","ICEV-G","Wrought Aluminum","TEDB&DUCK",2009,37.7485984219964
"Car","ICEV-G","Cast Aluminum","TEDB&DUCK",2009,93.7796190762489
"Car","ICEV-G","Other","TEDB&DUCK",2009,511.498622544754
"Car","ICEV-G","HSS/AHSS","TEDB&DUCK",2010,221.886461182557
"Car","ICEV-G","Cast Iron","TEDB&DUCK",2010,94.0735077983393
"Car","ICEV-G","Mild steel and other steels","TEDB&DUCK",2010,654.148277262453
"Car","ICEV-G","Wrought Aluminum","TEDB&DUCK",2010,39.188562647301
"Car","ICEV-G","Cast Aluminum","TEDB&DUCK",2010,97.3569518032252
"Car","ICEV-G","Other","TEDB&DUCK",2010,496.962163636358
"Car","ICEV-G","HSS/AHSS","TEDB&DUCK",2011,245.114022227669
"Car","ICEV-G","Cast Iron","TEDB&DUCK",2011,110.865717217575
"Car","ICEV-G","Mild steel and other steels","TEDB&DUCK",2011,630.120422437477
"Car","ICEV-G","Wrought Aluminum","TEDB&DUCK",2011,41.0747406502079
"Car","ICEV-G","Cast Aluminum","TEDB&DUCK",2011,102.042822590935
"Car","ICEV-G","Other","TEDB&DUCK",2011,512.40118757053
"Car","ICEV-G","HSS/AHSS","TEDB&DUCK",2012,246.681242912129
"Car","ICEV-G","Cast Iron","TEDB&DUCK",2012,113.978131159132
"Car","ICEV-G","Mild steel and other steels","TEDB&DUCK",2012,587.801508602316
"Car","ICEV-G","Wrought Aluminum","TEDB&DUCK",2012,42.5252410560472
"Car","ICEV-G","Cast Aluminum","TEDB&DUCK",2012,105.646330567811
"Car","ICEV-G","Other","TEDB&DUCK",2012,499.061391504582
"Car","ICEV-G","HSS/AHSS","TEDB&DUCK",2013,260.982534226065
"Car","ICEV-G","Cast Iron","TEDB&DUCK",2013,113.802861898313
"Car","ICEV-G","Mild steel and other steels","TEDB&DUCK",2013,589.925078832158
"Car","ICEV-G","Wrought Aluminum","TEDB&DUCK",2013,43.7409137733176
"Car","ICEV-G","Cast Aluminum","TEDB&DUCK",2013,108.666451290507
"Car","ICEV-G","Other","TEDB&DUCK",2013,486.577605613381
"Car","ICEV-G","HSS/AHSS","TEDB&DUCK",2014,261.863644880709
"Car","ICEV-G","Cast Iron","TEDB&DUCK",2014,109.345220248924
"Car","ICEV-G","Mild steel and other steels","TEDB&DUCK",2014,598.776037085184
"Car","ICEV-G","Wrought Aluminum","TEDB&DUCK",2014,46.0888082667044
"Car","ICEV-G","Cast Aluminum","TEDB&DUCK",2014,114.499373847248
"Car","ICEV-G","Other","TEDB&DUCK",2014,480.957570754794
"Car","ICEV-G","HSS/AHSS","TEDB&DUCK",2015,290.388716084162
"Car","ICEV-G","Cast Iron","TEDB&DUCK",2015,116.494633566792
"Car","ICEV-G","Mild steel and other steels","TEDB&DUCK",2015,587.604123009502
"Car","ICEV-G","Wrought Aluminum","TEDB&DUCK",2015,41.6757514169184
"Car","ICEV-G","Cast Aluminum","TEDB&DUCK",2015,117.160371354436
"Car","ICEV-G","Other","TEDB&DUCK",2015,457.577331467782
