"Scenario","Size","Technology","Subcomponent","Data","2030"
"Aluminum Intensive","Car","BEV300","Total","Secondary weight changes without resizing",-87.0361368548486
"Aluminum Intensive","Car","FFV","Total","Secondary weight changes without resizing",-76.2400781416425
"Aluminum Intensive","Car","ICEV-D","Total","Secondary weight changes without resizing",-80.215669845629
"Aluminum Intensive","Car","CNG","Total","Secondary weight changes without resizing",-76.2400781416425
"Aluminum Intensive","Car","HEV","Total","Secondary weight changes without resizing",-73.4137025779814
"Aluminum Intensive","Car","PHEV20","Total","Secondary weight changes without resizing",-85.8593510871683
"Aluminum Intensive","Car","PHEV40","Total","Secondary weight changes without resizing",-90.9878157695771
"Aluminum Intensive","Car","FCV","Total","Secondary weight changes without resizing",-92.8112013660798
"Aluminum Intensive","Light truck","ICEV-G","Total","Secondary weight changes without resizing",-105.880436965624
"Aluminum Intensive","Light truck","BEV100","Total","Secondary weight changes without resizing",-102.342583378502
"Aluminum Intensive","Light truck","BEV300","Total","Secondary weight changes without resizing",-104.201850267302
"Aluminum Intensive","Light truck","FFV","Total","Secondary weight changes without resizing",-106.120611702429
"Aluminum Intensive","Light truck","ICEV-D","Total","Secondary weight changes without resizing",-127.68316024915
"Aluminum Intensive","Light truck","CNG","Total","Secondary weight changes without resizing",-106.120611702429
"Aluminum Intensive","Light truck","HEV","Total","Secondary weight changes without resizing",-100.887981331055
"Aluminum Intensive","Light truck","PHEV20","Total","Secondary weight changes without resizing",-104.951437625703
"Aluminum Intensive","Light truck","PHEV40","Total","Secondary weight changes without resizing",-110.975622225436
"Aluminum Intensive","Light truck","FCV","Total","Secondary weight changes without resizing",-111.51799742424
"Aluminum Maximum","Car","ICEV-G","Total","Secondary weight changes without resizing",-122.800374088373
"Aluminum Maximum","Car","BEV100","Total","Secondary weight changes without resizing",-130.909334461401
"Aluminum Maximum","Car","BEV300","Total","Secondary weight changes without resizing",-135.843453953673
"Aluminum Maximum","Car","FFV","Total","Secondary weight changes without resizing",-122.979628566634
"Aluminum Maximum","Car","ICEV-D","Total","Secondary weight changes without resizing",-129.310306011074
"Aluminum Maximum","Car","CNG","Total","Secondary weight changes without resizing",-122.979628566634
"Aluminum Maximum","Car","HEV","Total","Secondary weight changes without resizing",-118.501953333275
"Aluminum Maximum","Car","PHEV20","Total","Secondary weight changes without resizing",-136.305275555359
"Aluminum Maximum","Car","PHEV40","Total","Secondary weight changes without resizing",-144.183942410553
"Aluminum Maximum","Car","FCV","Total","Secondary weight changes without resizing",-146.975476971063
"Aluminum Maximum","Light truck","ICEV-G","Total","Secondary weight changes without resizing",-169.615581434163
"Aluminum Maximum","Light truck","BEV100","Total","Secondary weight changes without resizing",-159.795703527012
"Aluminum Maximum","Light truck","BEV300","Total","Secondary weight changes without resizing",-162.37283173192
"Aluminum Maximum","Light truck","FFV","Total","Secondary weight changes without resizing",-169.99655148147
"Aluminum Maximum","Light truck","ICEV-D","Total","Secondary weight changes without resizing",-204.184554915554
"Aluminum Maximum","Light truck","CNG","Total","Secondary weight changes without resizing",-169.99655148147
"Aluminum Maximum","Light truck","HEV","Total","Secondary weight changes without resizing",-161.722374800256
"Aluminum Maximum","Light truck","PHEV20","Total","Secondary weight changes without resizing",-165.839285759047
"Aluminum Maximum","Light truck","PHEV40","Total","Secondary weight changes without resizing",-175.14619976383
"Aluminum Maximum","Light truck","FCV","Total","Secondary weight changes without resizing",-176.216482874847
"Steel Intensive","Car","ICEV-G","Total","Powertrain resizing",-7.46483238716633
"Steel Intensive","Car","BEV100","Total","Powertrain resizing",-9.41210596079077
"Steel Intensive","Car","BEV300","Total","Powertrain resizing",-10.0608361332745
"Steel Intensive","Car","FFV","Total","Powertrain resizing",-7.47743660583251
"Steel Intensive","Car","ICEV-D","Total","Powertrain resizing",-7.99484274320889
"Steel Intensive","Car","CNG","Total","Powertrain resizing",-7.47743660583251
"Steel Intensive","Car","HEV","Total","Powertrain resizing",-7.78251678644415
"Steel Intensive","Car","PHEV20","Total","Powertrain resizing",-11.2893770091614
"Steel Intensive","Car","PHEV40","Total","Powertrain resizing",-15.518896138246
"Steel Intensive","Car","FCV","Total","Powertrain resizing",-10.391757705007
"Steel Intensive","Light truck","ICEV-G","Total","Powertrain resizing",-12.5331290448021
"Steel Intensive","Light truck","BEV100","Total","Powertrain resizing",-11.648465283969
"Steel Intensive","Light truck","BEV300","Total","Powertrain resizing",-11.9995930468619
"Steel Intensive","Light truck","FFV","Total","Powertrain resizing",-12.5760082516294
"Steel Intensive","Light truck","ICEV-D","Total","Powertrain resizing",-16.4899162488423
"Steel Intensive","Light truck","CNG","Total","Powertrain resizing",-12.5760082516294
"Steel Intensive","Light truck","HEV","Total","Powertrain resizing",-12.7373719428133
"Steel Intensive","Light truck","PHEV20","Total","Powertrain resizing",-15.1195972059468
"Steel Intensive","Light truck","PHEV40","Total","Powertrain resizing",-19.796995519353
