"LWscen","i_year","Size","Technology","Phase","Process","LCIA","value","vh_lca_yrs","Case","x_axis"
"Aluminum Maximum","2016","Light truck","ICEV-G","Battery production and assembly","Battery production","GWP100",0,"2016","Curent Lightweighting","ICEV-G Aluminum Maximum"
"BAU","2016","Light truck","ICEV-G","Battery production and assembly","Battery production","GWP100",0,"2016","Curent Lightweighting","ICEV-G BAU"
"Aluminum Maximum","2016","Car","PHEV20","Battery production and assembly","Battery production","GWP100",465.289390037783,"2016","Curent Lightweighting","PHEV20 Aluminum Maximum"
"BAU","2016","Car","PHEV20","Battery production and assembly","Battery production","GWP100",523.905780175768,"2016","Curent Lightweighting","PHEV20 BAU"
"Aluminum Maximum","2016","Light truck","PHEV20","Battery production and assembly","Battery production","GWP100",610.277851888196,"2016","Curent Lightweighting","PHEV20 Aluminum Maximum"
"BAU","2016","Light truck","PHEV20","Battery production and assembly","Battery production","GWP100",763.647332592222,"2016","Curent Lightweighting","PHEV20 BAU"
"Aluminum Maximum","2016","Car","PHEV40","Battery production and assembly","Battery production","GWP100",929.080046312776,"2016","Curent Lightweighting","PHEV40 Aluminum Maximum"
"BAU","2016","Car","PHEV40","Battery production and assembly","Battery production","GWP100",1060.01260469446,"2016","Curent Lightweighting","PHEV40 BAU"
"Aluminum Maximum","2016","Light truck","PHEV40","Battery production and assembly","Battery production","GWP100",1826.94234449534,"2016","Curent Lightweighting","PHEV40 Aluminum Maximum"
"BAU","2016","Light truck","PHEV40","Battery production and assembly","Battery production","GWP100",2128.82125043384,"2016","Curent Lightweighting","PHEV40 BAU"
"Aluminum Maximum","2016","Car","BEV100","Manufacturing","Cast Aluminum","GWP100",128.350497651476,"2016","Curent Lightweighting","BEV100 Aluminum Maximum"
"BAU","2016","Car","BEV100","Manufacturing","Cast Aluminum","GWP100",108.815759210008,"2016","Curent Lightweighting","BEV100 BAU"
"Aluminum Maximum","2016","Light truck","BEV100","Manufacturing","Cast Aluminum","GWP100",145.525433510878,"2016","Curent Lightweighting","BEV100 Aluminum Maximum"
"BAU","2016","Light truck","BEV100","Manufacturing","Cast Aluminum","GWP100",124.547466278071,"2016","Curent Lightweighting","BEV100 BAU"
"Aluminum Maximum","2016","Car","BEV300","Manufacturing","Cast Aluminum","GWP100",132.426040278366,"2016","Curent Lightweighting","BEV300 Aluminum Maximum"
"BAU","2016","Car","BEV300","Manufacturing","Cast Aluminum","GWP100",120.561333868789,"2016","Curent Lightweighting","BEV300 BAU"
"Aluminum Maximum","2016","Light truck","BEV300","Manufacturing","Cast Aluminum","GWP100",149.937859265218,"2016","Curent Lightweighting","BEV300 Aluminum Maximum"
"BAU","2016","Light truck","BEV300","Manufacturing","Cast Aluminum","GWP100",139.719457412362,"2016","Curent Lightweighting","BEV300 BAU"
"Aluminum Maximum","2016","Car","HEV","Manufacturing","Cast Aluminum","GWP100",138.351070222565,"2016","Curent Lightweighting","HEV Aluminum Maximum"
"BAU","2016","Car","HEV","Manufacturing","Cast Aluminum","GWP100",106.428169716482,"2016","Curent Lightweighting","HEV BAU"
"Aluminum Maximum","2016","Light truck","HEV","Manufacturing","Cast Aluminum","GWP100",171.564227106798,"2016","Curent Lightweighting","HEV Aluminum Maximum"
"BAU","2016","Light truck","HEV","Manufacturing","Cast Aluminum","GWP100",131.215716809772,"2016","Curent Lightweighting","HEV BAU"
"Aluminum Maximum","2016","Car","ICEV-G","Manufacturing","Cast Aluminum","GWP100",131.779763829091,"2016","Curent Lightweighting","ICEV-G Aluminum Maximum"
"BAU","2016","Car","ICEV-G","Manufacturing","Cast Aluminum","GWP100",93.5833530685668,"2016","Curent Lightweighting","ICEV-G BAU"
"Aluminum Maximum","2016","Light truck","ICEV-G","Manufacturing","Cast Aluminum","GWP100",164.5793875452,"2016","Curent Lightweighting","ICEV-G Aluminum Maximum"
"BAU","2016","Light truck","ICEV-G","Manufacturing","Cast Aluminum","GWP100",114.502397832376,"2016","Curent Lightweighting","ICEV-G BAU"
"Aluminum Maximum","2016","Car","PHEV20","Manufacturing","Cast Aluminum","GWP100",156.562369399634,"2016","Curent Lightweighting","PHEV20 Aluminum Maximum"
"BAU","2016","Car","PHEV20","Manufacturing","Cast Aluminum","GWP100",120.125883804531,"2016","Curent Lightweighting","PHEV20 BAU"
"Aluminum Maximum","2016","Light truck","PHEV20","Manufacturing","Cast Aluminum","GWP100",175.448219208397,"2016","Curent Lightweighting","PHEV20 Aluminum Maximum"
"BAU","2016","Light truck","PHEV20","Manufacturing","Cast Aluminum","GWP100",135.144159406259,"2016","Curent Lightweighting","PHEV20 BAU"
"Aluminum Maximum","2016","Car","PHEV40","Manufacturing","Cast Aluminum","GWP100",170.224371429766,"2016","Curent Lightweighting","PHEV40 Aluminum Maximum"
"BAU","2016","Car","PHEV40","Manufacturing","Cast Aluminum","GWP100",136.585927561474,"2016","Curent Lightweighting","PHEV40 BAU"
"Aluminum Maximum","2016","Light truck","PHEV40","Manufacturing","Cast Aluminum","GWP100",192.272747093546,"2016","Curent Lightweighting","PHEV40 Aluminum Maximum"
"BAU","2016","Light truck","PHEV40","Manufacturing","Cast Aluminum","GWP100",156.415235053849,"2016","Curent Lightweighting","PHEV40 BAU"
"Aluminum Maximum","2016","Car","BEV100","Primary Material Production","Cast Aluminum","GWP100",441.405902865432,"2016","Curent Lightweighting","BEV100 Aluminum Maximum"
"BAU","2016","Car","BEV100","Primary Material Production","Cast Aluminum","GWP100",169.400565095158,"2016","Curent Lightweighting","BEV100 BAU"
"Aluminum Maximum","2016","Light truck","BEV100","Primary Material Production","Cast Aluminum","GWP100",500.471650239946,"2016","Curent Lightweighting","BEV100 Aluminum Maximum"
"BAU","2016","Light truck","BEV100","Primary Material Production","Cast Aluminum","GWP100",193.891136006842,"2016","Curent Lightweighting","BEV100 BAU"
"Aluminum Maximum","2016","Car","BEV300","Primary Material Production","Cast Aluminum","GWP100",455.421965177663,"2016","Curent Lightweighting","BEV300 Aluminum Maximum"
"BAU","2016","Car","BEV300","Primary Material Production","Cast Aluminum","GWP100",187.685664597381,"2016","Curent Lightweighting","BEV300 BAU"
"Aluminum Maximum","2016","Light truck","BEV300","Primary Material Production","Cast Aluminum","GWP100",515.646276046306,"2016","Curent Lightweighting","BEV300 Aluminum Maximum"
"BAU","2016","Light truck","BEV300","Primary Material Production","Cast Aluminum","GWP100",217.510360744386,"2016","Curent Lightweighting","BEV300 BAU"
"Aluminum Maximum","2016","Car","HEV","Primary Material Production","Cast Aluminum","GWP100",475.798537453413,"2016","Curent Lightweighting","HEV Aluminum Maximum"
"BAU","2016","Car","HEV","Primary Material Production","Cast Aluminum","GWP100",165.683649343663,"2016","Curent Lightweighting","HEV BAU"
"Aluminum Maximum","2016","Light truck","HEV","Primary Material Production","Cast Aluminum","GWP100",590.020794240491,"2016","Curent Lightweighting","HEV Aluminum Maximum"
"BAU","2016","Light truck","HEV","Primary Material Production","Cast Aluminum","GWP100",204.272035027968,"2016","Curent Lightweighting","HEV BAU"
"Aluminum Maximum","2016","Car","ICEV-G","Primary Material Production","Cast Aluminum","GWP100",453.199377460335,"2016","Curent Lightweighting","ICEV-G Aluminum Maximum"
"BAU","2016","Car","ICEV-G","Primary Material Production","Cast Aluminum","GWP100",145.68728838917,"2016","Curent Lightweighting","ICEV-G BAU"
"Aluminum Maximum","2016","Light truck","ICEV-G","Primary Material Production","Cast Aluminum","GWP100",565.999466162518,"2016","Curent Lightweighting","ICEV-G Aluminum Maximum"
"BAU","2016","Light truck","ICEV-G","Primary Material Production","Cast Aluminum","GWP100",178.25332505488,"2016","Curent Lightweighting","ICEV-G BAU"
"Aluminum Maximum","2016","Car","PHEV20","Primary Material Production","Cast Aluminum","GWP100",538.428407245072,"2016","Curent Lightweighting","PHEV20 Aluminum Maximum"
"BAU","2016","Car","PHEV20","Primary Material Production","Cast Aluminum","GWP100",187.007771179263,"2016","Curent Lightweighting","PHEV20 BAU"
"Aluminum Maximum","2016","Light truck","PHEV20","Primary Material Production","Cast Aluminum","GWP100",603.378101548981,"2016","Curent Lightweighting","PHEV20 Aluminum Maximum"
"BAU","2016","Light truck","PHEV20","Primary Material Production","Cast Aluminum","GWP100",210.387696956168,"2016","Curent Lightweighting","PHEV20 BAU"
"Aluminum Maximum","2016","Car","PHEV40","Primary Material Production","Cast Aluminum","GWP100",585.412941402744,"2016","Curent Lightweighting","PHEV40 Aluminum Maximum"
"BAU","2016","Car","PHEV40","Primary Material Production","Cast Aluminum","GWP100",212.63219115446,"2016","Curent Lightweighting","PHEV40 BAU"
"Aluminum Maximum","2016","Light truck","PHEV40","Primary Material Production","Cast Aluminum","GWP100",661.238772581165,"2016","Curent Lightweighting","PHEV40 Aluminum Maximum"
"BAU","2016","Light truck","PHEV40","Primary Material Production","Cast Aluminum","GWP100",243.501762979723,"2016","Curent Lightweighting","PHEV40 BAU"
"Aluminum Maximum","2016","Car","BEV100","Secondary Material Production","Cast Aluminum","GWP100",253.727080617217,"2016","Curent Lightweighting","BEV100 Aluminum Maximum"
"BAU","2016","Car","BEV100","Secondary Material Production","Cast Aluminum","GWP100",248.010512287464,"2016","Curent Lightweighting","BEV100 BAU"
"Aluminum Maximum","2016","Light truck","BEV100","Secondary Material Production","Cast Aluminum","GWP100",287.679004568669,"2016","Curent Lightweighting","BEV100 Aluminum Maximum"
"BAU","2016","Light truck","BEV100","Secondary Material Production","Cast Aluminum","GWP100",283.865876964714,"2016","Curent Lightweighting","BEV100 BAU"
