"LWscen","i_year","Size","Technology","Phase","Process","LCIA","value","vh_lca_yrs","Case","x_axis"
"BAU","2016","Light truck","ICEV-G","Secondary Material Production","Cast Iron","GWP100",59.5410738327445,"2016","Curent Lightweighting","ICEV-G BAU"
"Aluminum Maximum","2016","Car","PHEV20","Secondary Material Production","Cast Iron","GWP100",13.4104983634565,"2016","Curent Lightweighting","PHEV20 Aluminum Maximum"
"BAU","2016","Car","PHEV20","Secondary Material Production","Cast Iron","GWP100",36.0111820779174,"2016","Curent Lightweighting","PHEV20 BAU"
"Aluminum Maximum","2016","Light truck","PHEV20","Secondary Material Production","Cast Iron","GWP100",14.2970523698288,"2016","Curent Lightweighting","PHEV20 Aluminum Maximum"
"BAU","2016","Light truck","PHEV20","Secondary Material Production","Cast Iron","GWP100",39.7849249046816,"2016","Curent Lightweighting","PHEV20 BAU"
"Aluminum Maximum","2016","Car","PHEV40","Secondary Material Production","Cast Iron","GWP100",14.5332628354998,"2016","Curent Lightweighting","PHEV40 Aluminum Maximum"
"BAU","2016","Car","PHEV40","Secondary Material Production","Cast Iron","GWP100",38.6195041578438,"2016","Curent Lightweighting","PHEV40 BAU"
"Aluminum Maximum","2016","Light truck","PHEV40","Secondary Material Production","Cast Iron","GWP100",15.6164930006771,"2016","Curent Lightweighting","PHEV40 Aluminum Maximum"
"BAU","2016","Light truck","PHEV40","Secondary Material Production","Cast Iron","GWP100",42.8282153349442,"2016","Curent Lightweighting","PHEV40 BAU"
"Aluminum Maximum","2016","Car","BEV100","Fuel Production","CNG & LPG","GWP100",0,"2016","Curent Lightweighting","BEV100 Aluminum Maximum"
"BAU","2016","Car","BEV100","Fuel Production","CNG & LPG","GWP100",0,"2016","Curent Lightweighting","BEV100 BAU"
"Aluminum Maximum","2016","Light truck","BEV100","Fuel Production","CNG & LPG","GWP100",0,"2016","Curent Lightweighting","BEV100 Aluminum Maximum"
"BAU","2016","Light truck","BEV100","Fuel Production","CNG & LPG","GWP100",0,"2016","Curent Lightweighting","BEV100 BAU"
"Aluminum Maximum","2016","Car","BEV300","Fuel Production","CNG & LPG","GWP100",0,"2016","Curent Lightweighting","BEV300 Aluminum Maximum"
"BAU","2016","Car","BEV300","Fuel Production","CNG & LPG","GWP100",0,"2016","Curent Lightweighting","BEV300 BAU"
"Aluminum Maximum","2016","Light truck","BEV300","Fuel Production","CNG & LPG","GWP100",0,"2016","Curent Lightweighting","BEV300 Aluminum Maximum"
"BAU","2016","Light truck","BEV300","Fuel Production","CNG & LPG","GWP100",0,"2016","Curent Lightweighting","BEV300 BAU"
"Aluminum Maximum","2016","Car","HEV","Fuel Production","CNG & LPG","GWP100",0,"2016","Curent Lightweighting","HEV Aluminum Maximum"
"BAU","2016","Car","HEV","Fuel Production","CNG & LPG","GWP100",0,"2016","Curent Lightweighting","HEV BAU"
"Aluminum Maximum","2016","Light truck","HEV","Fuel Production","CNG & LPG","GWP100",0,"2016","Curent Lightweighting","HEV Aluminum Maximum"
"BAU","2016","Light truck","HEV","Fuel Production","CNG & LPG","GWP100",0,"2016","Curent Lightweighting","HEV BAU"
"Aluminum Maximum","2016","Car","ICEV-G","Fuel Production","CNG & LPG","GWP100",0,"2016","Curent Lightweighting","ICEV-G Aluminum Maximum"
"BAU","2016","Car","ICEV-G","Fuel Production","CNG & LPG","GWP100",0,"2016","Curent Lightweighting","ICEV-G BAU"
"Aluminum Maximum","2016","Light truck","ICEV-G","Fuel Production","CNG & LPG","GWP100",0,"2016","Curent Lightweighting","ICEV-G Aluminum Maximum"
"BAU","2016","Light truck","ICEV-G","Fuel Production","CNG & LPG","GWP100",0,"2016","Curent Lightweighting","ICEV-G BAU"
"Aluminum Maximum","2016","Car","PHEV20","Fuel Production","CNG & LPG","GWP100",0,"2016","Curent Lightweighting","PHEV20 Aluminum Maximum"
"BAU","2016","Car","PHEV20","Fuel Production","CNG & LPG","GWP100",0,"2016","Curent Lightweighting","PHEV20 BAU"
"Aluminum Maximum","2016","Light truck","PHEV20","Fuel Production","CNG & LPG","GWP100",0,"2016","Curent Lightweighting","PHEV20 Aluminum Maximum"
"BAU","2016","Light truck","PHEV20","Fuel Production","CNG & LPG","GWP100",0,"2016","Curent Lightweighting","PHEV20 BAU"
"Aluminum Maximum","2016","Car","PHEV40","Fuel Production","CNG & LPG","GWP100",0,"2016","Curent Lightweighting","PHEV40 Aluminum Maximum"
"BAU","2016","Car","PHEV40","Fuel Production","CNG & LPG","GWP100",0,"2016","Curent Lightweighting","PHEV40 BAU"
"Aluminum Maximum","2016","Light truck","PHEV40","Fuel Production","CNG & LPG","GWP100",0,"2016","Curent Lightweighting","PHEV40 Aluminum Maximum"
"BAU","2016","Light truck","PHEV40","Fuel Production","CNG & LPG","GWP100",0,"2016","Curent Lightweighting","PHEV40 BAU"
"Aluminum Maximum","2016","Car","BEV100","Fuel Use","CNG & LPG","GWP100",0,"2016","Curent Lightweighting","BEV100 Aluminum Maximum"
"BAU","2016","Car","BEV100","Fuel Use","CNG & LPG","GWP100",0,"2016","Curent Lightweighting","BEV100 BAU"
"Aluminum Maximum","2016","Light truck","BEV100","Fuel Use","CNG & LPG","GWP100",0,"2016","Curent Lightweighting","BEV100 Aluminum Maximum"
"BAU","2016","Light truck","BEV100","Fuel Use","CNG & LPG","GWP100",0,"2016","Curent Lightweighting","BEV100 BAU"
"Aluminum Maximum","2016","Car","BEV300","Fuel Use","CNG & LPG","GWP100",0,"2016","Curent Lightweighting","BEV300 Aluminum Maximum"
"BAU","2016","Car","BEV300","Fuel Use","CNG & LPG","GWP100",0,"2016","Curent Lightweighting","BEV300 BAU"
"Aluminum Maximum","2016","Light truck","BEV300","Fuel Use","CNG & LPG","GWP100",0,"2016","Curent Lightweighting","BEV300 Aluminum Maximum"
"BAU","2016","Light truck","BEV300","Fuel Use","CNG & LPG","GWP100",0,"2016","Curent Lightweighting","BEV300 BAU"
"Aluminum Maximum","2016","Car","HEV","Fuel Use","CNG & LPG","GWP100",0,"2016","Curent Lightweighting","HEV Aluminum Maximum"
"BAU","2016","Car","HEV","Fuel Use","CNG & LPG","GWP100",0,"2016","Curent Lightweighting","HEV BAU"
"Aluminum Maximum","2016","Light truck","HEV","Fuel Use","CNG & LPG","GWP100",0,"2016","Curent Lightweighting","HEV Aluminum Maximum"
"BAU","2016","Light truck","HEV","Fuel Use","CNG & LPG","GWP100",0,"2016","Curent Lightweighting","HEV BAU"
"Aluminum Maximum","2016","Car","ICEV-G","Fuel Use","CNG & LPG","GWP100",0,"2016","Curent Lightweighting","ICEV-G Aluminum Maximum"
"BAU","2016","Car","ICEV-G","Fuel Use","CNG & LPG","GWP100",0,"2016","Curent Lightweighting","ICEV-G BAU"
"Aluminum Maximum","2016","Light truck","ICEV-G","Fuel Use","CNG & LPG","GWP100",0,"2016","Curent Lightweighting","ICEV-G Aluminum Maximum"
"BAU","2016","Light truck","ICEV-G","Fuel Use","CNG & LPG","GWP100",0,"2016","Curent Lightweighting","ICEV-G BAU"
"Aluminum Maximum","2016","Car","PHEV20","Fuel Use","CNG & LPG","GWP100",0,"2016","Curent Lightweighting","PHEV20 Aluminum Maximum"
"BAU","2016","Car","PHEV20","Fuel Use","CNG & LPG","GWP100",0,"2016","Curent Lightweighting","PHEV20 BAU"
"Aluminum Maximum","2016","Light truck","PHEV20","Fuel Use","CNG & LPG","GWP100",0,"2016","Curent Lightweighting","PHEV20 Aluminum Maximum"
"BAU","2016","Light truck","PHEV20","Fuel Use","CNG & LPG","GWP100",0,"2016","Curent Lightweighting","PHEV20 BAU"
"Aluminum Maximum","2016","Car","PHEV40","Fuel Use","CNG & LPG","GWP100",0,"2016","Curent Lightweighting","PHEV40 Aluminum Maximum"
"BAU","2016","Car","PHEV40","Fuel Use","CNG & LPG","GWP100",0,"2016","Curent Lightweighting","PHEV40 BAU"
"Aluminum Maximum","2016","Light truck","PHEV40","Fuel Use","CNG & LPG","GWP100",0,"2016","Curent Lightweighting","PHEV40 Aluminum Maximum"
"BAU","2016","Light truck","PHEV40","Fuel Use","CNG & LPG","GWP100",0,"2016","Curent Lightweighting","PHEV40 BAU"
"Aluminum Maximum","2016","Car","BEV100","Fuel Production","Diesel","GWP100",0,"2016","Curent Lightweighting","BEV100 Aluminum Maximum"
"BAU","2016","Car","BEV100","Fuel Production","Diesel","GWP100",0,"2016","Curent Lightweighting","BEV100 BAU"
"Aluminum Maximum","2016","Light truck","BEV100","Fuel Production","Diesel","GWP100",0,"2016","Curent Lightweighting","BEV100 Aluminum Maximum"
"BAU","2016","Light truck","BEV100","Fuel Production","Diesel","GWP100",0,"2016","Curent Lightweighting","BEV100 BAU"
"Aluminum Maximum","2016","Car","BEV300","Fuel Production","Diesel","GWP100",0,"2016","Curent Lightweighting","BEV300 Aluminum Maximum"
"BAU","2016","Car","BEV300","Fuel Production","Diesel","GWP100",0,"2016","Curent Lightweighting","BEV300 BAU"
"Aluminum Maximum","2016","Light truck","BEV300","Fuel Production","Diesel","GWP100",0,"2016","Curent Lightweighting","BEV300 Aluminum Maximum"
"BAU","2016","Light truck","BEV300","Fuel Production","Diesel","GWP100",0,"2016","Curent Lightweighting","BEV300 BAU"
"Aluminum Maximum","2016","Car","HEV","Fuel Production","Diesel","GWP100",0,"2016","Curent Lightweighting","HEV Aluminum Maximum"
"BAU","2016","Car","HEV","Fuel Production","Diesel","GWP100",0,"2016","Curent Lightweighting","HEV BAU"
"Aluminum Maximum","2016","Light truck","HEV","Fuel Production","Diesel","GWP100",0,"2016","Curent Lightweighting","HEV Aluminum Maximum"
"BAU","2016","Light truck","HEV","Fuel Production","Diesel","GWP100",0,"2016","Curent Lightweighting","HEV BAU"
"Aluminum Maximum","2016","Car","ICEV-G","Fuel Production","Diesel","GWP100",0,"2016","Curent Lightweighting","ICEV-G Aluminum Maximum"
"BAU","2016","Car","ICEV-G","Fuel Production","Diesel","GWP100",0,"2016","Curent Lightweighting","ICEV-G BAU"
"Aluminum Maximum","2016","Light truck","ICEV-G","Fuel Production","Diesel","GWP100",0,"2016","Curent Lightweighting","ICEV-G Aluminum Maximum"
"BAU","2016","Light truck","ICEV-G","Fuel Production","Diesel","GWP100",0,"2016","Curent Lightweighting","ICEV-G BAU"
"Aluminum Maximum","2016","Car","PHEV20","Fuel Production","Diesel","GWP100",0,"2016","Curent Lightweighting","PHEV20 Aluminum Maximum"
"BAU","2016","Car","PHEV20","Fuel Production","Diesel","GWP100",0,"2016","Curent Lightweighting","PHEV20 BAU"
"Aluminum Maximum","2016","Light truck","PHEV20","Fuel Production","Diesel","GWP100",0,"2016","Curent Lightweighting","PHEV20 Aluminum Maximum"
"BAU","2016","Light truck","PHEV20","Fuel Production","Diesel","GWP100",0,"2016","Curent Lightweighting","PHEV20 BAU"
"Aluminum Maximum","2016","Car","PHEV40","Fuel Production","Diesel","GWP100",0,"2016","Curent Lightweighting","PHEV40 Aluminum Maximum"
"BAU","2016","Car","PHEV40","Fuel Production","Diesel","GWP100",0,"2016","Curent Lightweighting","PHEV40 BAU"
"Aluminum Maximum","2016","Light truck","PHEV40","Fuel Production","Diesel","GWP100",0,"2016","Curent Lightweighting","PHEV40 Aluminum Maximum"
"BAU","2016","Light truck","PHEV40","Fuel Production","Diesel","GWP100",0,"2016","Curent Lightweighting","PHEV40 BAU"
"Aluminum Maximum","2016","Car","BEV100","Fuel Use","Diesel","GWP100",0,"2016","Curent Lightweighting","BEV100 Aluminum Maximum"
"BAU","2016","Car","BEV100","Fuel Use","Diesel","GWP100",0,"2016","Curent Lightweighting","BEV100 BAU"
"Aluminum Maximum","2016","Light truck","BEV100","Fuel Use","Diesel","GWP100",0,"2016","Curent Lightweighting","BEV100 Aluminum Maximum"
"BAU","2016","Light truck","BEV100","Fuel Use","Diesel","GWP100",0,"2016","Curent Lightweighting","BEV100 BAU"
"Aluminum Maximum","2016","Car","BEV300","Fuel Use","Diesel","GWP100",0,"2016","Curent Lightweighting","BEV300 Aluminum Maximum"
"BAU","2016","Car","BEV300","Fuel Use","Diesel","GWP100",0,"2016","Curent Lightweighting","BEV300 BAU"
"Aluminum Maximum","2016","Light truck","BEV300","Fuel Use","Diesel","GWP100",0,"2016","Curent Lightweighting","BEV300 Aluminum Maximum"
"BAU","2016","Light truck","BEV300","Fuel Use","Diesel","GWP100",0,"2016","Curent Lightweighting","BEV300 BAU"
"Aluminum Maximum","2016","Car","HEV","Fuel Use","Diesel","GWP100",0,"2016","Curent Lightweighting","HEV Aluminum Maximum"
"BAU","2016","Car","HEV","Fuel Use","Diesel","GWP100",0,"2016","Curent Lightweighting","HEV BAU"
"Aluminum Maximum","2016","Light truck","HEV","Fuel Use","Diesel","GWP100",0,"2016","Curent Lightweighting","HEV Aluminum Maximum"
"BAU","2016","Light truck","HEV","Fuel Use","Diesel","GWP100",0,"2016","Curent Lightweighting","HEV BAU"
"Aluminum Maximum","2016","Car","ICEV-G","Fuel Use","Diesel","GWP100",0,"2016","Curent Lightweighting","ICEV-G Aluminum Maximum"
"BAU","2016","Car","ICEV-G","Fuel Use","Diesel","GWP100",0,"2016","Curent Lightweighting","ICEV-G BAU"
"Aluminum Maximum","2016","Light truck","ICEV-G","Fuel Use","Diesel","GWP100",0,"2016","Curent Lightweighting","ICEV-G Aluminum Maximum"
"BAU","2016","Light truck","ICEV-G","Fuel Use","Diesel","GWP100",0,"2016","Curent Lightweighting","ICEV-G BAU"
"Aluminum Maximum","2016","Car","PHEV20","Fuel Use","Diesel","GWP100",0,"2016","Curent Lightweighting","PHEV20 Aluminum Maximum"
"BAU","2016","Car","PHEV20","Fuel Use","Diesel","GWP100",0,"2016","Curent Lightweighting","PHEV20 BAU"
"Aluminum Maximum","2016","Light truck","PHEV20","Fuel Use","Diesel","GWP100",0,"2016","Curent Lightweighting","PHEV20 Aluminum Maximum"
"BAU","2016","Light truck","PHEV20","Fuel Use","Diesel","GWP100",0,"2016","Curent Lightweighting","PHEV20 BAU"
"Aluminum Maximum","2016","Car","PHEV40","Fuel Use","Diesel","GWP100",0,"2016","Curent Lightweighting","PHEV40 Aluminum Maximum"
"BAU","2016","Car","PHEV40","Fuel Use","Diesel","GWP100",0,"2016","Curent Lightweighting","PHEV40 BAU"
"Aluminum Maximum","2016","Light truck","PHEV40","Fuel Use","Diesel","GWP100",0,"2016","Curent Lightweighting","PHEV40 Aluminum Maximum"
"BAU","2016","Light truck","PHEV40","Fuel Use","Diesel","GWP100",0,"2016","Curent Lightweighting","PHEV40 BAU"
"Aluminum Maximum","2016","Car","BEV100","Fuel Production","Electricity","GWP100",16195.7123817289,"2016","Curent Lightweighting","BEV100 Aluminum Maximum"
"BAU","2016","Car","BEV100","Fuel Production","Electricity","GWP100",18889.1099353032,"2016","Curent Lightweighting","BEV100 BAU"
"Aluminum Maximum","2016","Light truck","BEV100","Fuel Production","Electricity","GWP100",20647.5019196402,"2016","Curent Lightweighting","BEV100 Aluminum Maximum"
"BAU","2016","Light truck","BEV100","Fuel Production","Electricity","GWP100",24532.3582767276,"2016","Curent Lightweighting","BEV100 BAU"
"Aluminum Maximum","2016","Car","BEV300","Fuel Production","Electricity","GWP100",28949.5863574423,"2016","Curent Lightweighting","BEV300 Aluminum Maximum"
"BAU","2016","Car","BEV300","Fuel Production","Electricity","GWP100",33867.5897443799,"2016","Curent Lightweighting","BEV300 BAU"
"Aluminum Maximum","2016","Light truck","BEV300","Fuel Production","Electricity","GWP100",37840.2344192434,"2016","Curent Lightweighting","BEV300 Aluminum Maximum"
"BAU","2016","Light truck","BEV300","Fuel Production","Electricity","GWP100",45039.6415415671,"2016","Curent Lightweighting","BEV300 BAU"
"Aluminum Maximum","2016","Car","HEV","Fuel Production","Electricity","GWP100",0,"2016","Curent Lightweighting","HEV Aluminum Maximum"
"BAU","2016","Car","HEV","Fuel Production","Electricity","GWP100",0,"2016","Curent Lightweighting","HEV BAU"
"Aluminum Maximum","2016","Light truck","HEV","Fuel Production","Electricity","GWP100",0,"2016","Curent Lightweighting","HEV Aluminum Maximum"
"BAU","2016","Light truck","HEV","Fuel Production","Electricity","GWP100",0,"2016","Curent Lightweighting","HEV BAU"
"Aluminum Maximum","2016","Car","ICEV-G","Fuel Production","Electricity","GWP100",0,"2016","Curent Lightweighting","ICEV-G Aluminum Maximum"
"BAU","2016","Car","ICEV-G","Fuel Production","Electricity","GWP100",0,"2016","Curent Lightweighting","ICEV-G BAU"
"Aluminum Maximum","2016","Light truck","ICEV-G","Fuel Production","Electricity","GWP100",0,"2016","Curent Lightweighting","ICEV-G Aluminum Maximum"
"BAU","2016","Light truck","ICEV-G","Fuel Production","Electricity","GWP100",0,"2016","Curent Lightweighting","ICEV-G BAU"
"Aluminum Maximum","2016","Car","PHEV20","Fuel Production","Electricity","GWP100",9373.18468738959,"2016","Curent Lightweighting","PHEV20 Aluminum Maximum"
"BAU","2016","Car","PHEV20","Fuel Production","Electricity","GWP100",10558.0380700212,"2016","Curent Lightweighting","PHEV20 BAU"
"Aluminum Maximum","2016","Light truck","PHEV20","Fuel Production","Electricity","GWP100",10597.7280052991,"2016","Curent Lightweighting","PHEV20 Aluminum Maximum"
"BAU","2016","Light truck","PHEV20","Fuel Production","Electricity","GWP100",13302.1995290878,"2016","Curent Lightweighting","PHEV20 BAU"
"Aluminum Maximum","2016","Car","PHEV40","Fuel Production","Electricity","GWP100",15086.8292922392,"2016","Curent Lightweighting","PHEV40 Aluminum Maximum"
"BAU","2016","Car","PHEV40","Fuel Production","Electricity","GWP100",17243.4939818891,"2016","Curent Lightweighting","PHEV40 BAU"
"Aluminum Maximum","2016","Light truck","PHEV40","Fuel Production","Electricity","GWP100",23237.9732634033,"2016","Curent Lightweighting","PHEV40 Aluminum Maximum"
"BAU","2016","Light truck","PHEV40","Fuel Production","Electricity","GWP100",27248.7269208663,"2016","Curent Lightweighting","PHEV40 BAU"
"Aluminum Maximum","2016","Car","BEV100","Fuel Use","Electricity","GWP100",0,"2016","Curent Lightweighting","BEV100 Aluminum Maximum"
"BAU","2016","Car","BEV100","Fuel Use","Electricity","GWP100",0,"2016","Curent Lightweighting","BEV100 BAU"
"Aluminum Maximum","2016","Light truck","BEV100","Fuel Use","Electricity","GWP100",0,"2016","Curent Lightweighting","BEV100 Aluminum Maximum"
"BAU","2016","Light truck","BEV100","Fuel Use","Electricity","GWP100",0,"2016","Curent Lightweighting","BEV100 BAU"
"Aluminum Maximum","2016","Car","BEV300","Fuel Use","Electricity","GWP100",0,"2016","Curent Lightweighting","BEV300 Aluminum Maximum"
"BAU","2016","Car","BEV300","Fuel Use","Electricity","GWP100",0,"2016","Curent Lightweighting","BEV300 BAU"
"Aluminum Maximum","2016","Light truck","BEV300","Fuel Use","Electricity","GWP100",0,"2016","Curent Lightweighting","BEV300 Aluminum Maximum"
"BAU","2016","Light truck","BEV300","Fuel Use","Electricity","GWP100",0,"2016","Curent Lightweighting","BEV300 BAU"
"Aluminum Maximum","2016","Car","HEV","Fuel Use","Electricity","GWP100",0,"2016","Curent Lightweighting","HEV Aluminum Maximum"
"BAU","2016","Car","HEV","Fuel Use","Electricity","GWP100",0,"2016","Curent Lightweighting","HEV BAU"
"Aluminum Maximum","2016","Light truck","HEV","Fuel Use","Electricity","GWP100",0,"2016","Curent Lightweighting","HEV Aluminum Maximum"
"BAU","2016","Light truck","HEV","Fuel Use","Electricity","GWP100",0,"2016","Curent Lightweighting","HEV BAU"
"Aluminum Maximum","2016","Car","ICEV-G","Fuel Use","Electricity","GWP100",0,"2016","Curent Lightweighting","ICEV-G Aluminum Maximum"
"BAU","2016","Car","ICEV-G","Fuel Use","Electricity","GWP100",0,"2016","Curent Lightweighting","ICEV-G BAU"
"Aluminum Maximum","2016","Light truck","ICEV-G","Fuel Use","Electricity","GWP100",0,"2016","Curent Lightweighting","ICEV-G Aluminum Maximum"
"BAU","2016","Light truck","ICEV-G","Fuel Use","Electricity","GWP100",0,"2016","Curent Lightweighting","ICEV-G BAU"
"Aluminum Maximum","2016","Car","PHEV20","Fuel Use","Electricity","GWP100",0,"2016","Curent Lightweighting","PHEV20 Aluminum Maximum"
"BAU","2016","Car","PHEV20","Fuel Use","Electricity","GWP100",0,"2016","Curent Lightweighting","PHEV20 BAU"
"Aluminum Maximum","2016","Light truck","PHEV20","Fuel Use","Electricity","GWP100",0,"2016","Curent Lightweighting","PHEV20 Aluminum Maximum"
"BAU","2016","Light truck","PHEV20","Fuel Use","Electricity","GWP100",0,"2016","Curent Lightweighting","PHEV20 BAU"
"Aluminum Maximum","2016","Car","PHEV40","Fuel Use","Electricity","GWP100",0,"2016","Curent Lightweighting","PHEV40 Aluminum Maximum"
"BAU","2016","Car","PHEV40","Fuel Use","Electricity","GWP100",0,"2016","Curent Lightweighting","PHEV40 BAU"
"Aluminum Maximum","2016","Light truck","PHEV40","Fuel Use","Electricity","GWP100",0,"2016","Curent Lightweighting","PHEV40 Aluminum Maximum"
"BAU","2016","Light truck","PHEV40","Fuel Use","Electricity","GWP100",0,"2016","Curent Lightweighting","PHEV40 BAU"
"Aluminum Maximum","2016","Car","BEV100","Fuel Production","Ethanol","GWP100",0,"2016","Curent Lightweighting","BEV100 Aluminum Maximum"
"BAU","2016","Car","BEV100","Fuel Production","Ethanol","GWP100",0,"2016","Curent Lightweighting","BEV100 BAU"
"Aluminum Maximum","2016","Light truck","BEV100","Fuel Production","Ethanol","GWP100",0,"2016","Curent Lightweighting","BEV100 Aluminum Maximum"
"BAU","2016","Light truck","BEV100","Fuel Production","Ethanol","GWP100",0,"2016","Curent Lightweighting","BEV100 BAU"
"Aluminum Maximum","2016","Car","BEV300","Fuel Production","Ethanol","GWP100",0,"2016","Curent Lightweighting","BEV300 Aluminum Maximum"
"BAU","2016","Car","BEV300","Fuel Production","Ethanol","GWP100",0,"2016","Curent Lightweighting","BEV300 BAU"
"Aluminum Maximum","2016","Light truck","BEV300","Fuel Production","Ethanol","GWP100",0,"2016","Curent Lightweighting","BEV300 Aluminum Maximum"
"BAU","2016","Light truck","BEV300","Fuel Production","Ethanol","GWP100",0,"2016","Curent Lightweighting","BEV300 BAU"
"Aluminum Maximum","2016","Car","HEV","Fuel Production","Ethanol","GWP100",0,"2016","Curent Lightweighting","HEV Aluminum Maximum"
"BAU","2016","Car","HEV","Fuel Production","Ethanol","GWP100",0,"2016","Curent Lightweighting","HEV BAU"
"Aluminum Maximum","2016","Light truck","HEV","Fuel Production","Ethanol","GWP100",0,"2016","Curent Lightweighting","HEV Aluminum Maximum"
"BAU","2016","Light truck","HEV","Fuel Production","Ethanol","GWP100",0,"2016","Curent Lightweighting","HEV BAU"
"Aluminum Maximum","2016","Car","ICEV-G","Fuel Production","Ethanol","GWP100",0,"2016","Curent Lightweighting","ICEV-G Aluminum Maximum"
"BAU","2016","Car","ICEV-G","Fuel Production","Ethanol","GWP100",0,"2016","Curent Lightweighting","ICEV-G BAU"
"Aluminum Maximum","2016","Light truck","ICEV-G","Fuel Production","Ethanol","GWP100",0,"2016","Curent Lightweighting","ICEV-G Aluminum Maximum"
"BAU","2016","Light truck","ICEV-G","Fuel Production","Ethanol","GWP100",0,"2016","Curent Lightweighting","ICEV-G BAU"
"Aluminum Maximum","2016","Car","PHEV20","Fuel Production","Ethanol","GWP100",0,"2016","Curent Lightweighting","PHEV20 Aluminum Maximum"
"BAU","2016","Car","PHEV20","Fuel Production","Ethanol","GWP100",0,"2016","Curent Lightweighting","PHEV20 BAU"
"Aluminum Maximum","2016","Light truck","PHEV20","Fuel Production","Ethanol","GWP100",0,"2016","Curent Lightweighting","PHEV20 Aluminum Maximum"
"BAU","2016","Light truck","PHEV20","Fuel Production","Ethanol","GWP100",0,"2016","Curent Lightweighting","PHEV20 BAU"
"Aluminum Maximum","2016","Car","PHEV40","Fuel Production","Ethanol","GWP100",0,"2016","Curent Lightweighting","PHEV40 Aluminum Maximum"
"BAU","2016","Car","PHEV40","Fuel Production","Ethanol","GWP100",0,"2016","Curent Lightweighting","PHEV40 BAU"
"Aluminum Maximum","2016","Light truck","PHEV40","Fuel Production","Ethanol","GWP100",0,"2016","Curent Lightweighting","PHEV40 Aluminum Maximum"
"BAU","2016","Light truck","PHEV40","Fuel Production","Ethanol","GWP100",0,"2016","Curent Lightweighting","PHEV40 BAU"
"Aluminum Maximum","2016","Car","BEV100","Fuel Use","Ethanol","GWP100",0,"2016","Curent Lightweighting","BEV100 Aluminum Maximum"
"BAU","2016","Car","BEV100","Fuel Use","Ethanol","GWP100",0,"2016","Curent Lightweighting","BEV100 BAU"
"Aluminum Maximum","2016","Light truck","BEV100","Fuel Use","Ethanol","GWP100",0,"2016","Curent Lightweighting","BEV100 Aluminum Maximum"
"BAU","2016","Light truck","BEV100","Fuel Use","Ethanol","GWP100",0,"2016","Curent Lightweighting","BEV100 BAU"
"Aluminum Maximum","2016","Car","BEV300","Fuel Use","Ethanol","GWP100",0,"2016","Curent Lightweighting","BEV300 Aluminum Maximum"
"BAU","2016","Car","BEV300","Fuel Use","Ethanol","GWP100",0,"2016","Curent Lightweighting","BEV300 BAU"
"Aluminum Maximum","2016","Light truck","BEV300","Fuel Use","Ethanol","GWP100",0,"2016","Curent Lightweighting","BEV300 Aluminum Maximum"
"BAU","2016","Light truck","BEV300","Fuel Use","Ethanol","GWP100",0,"2016","Curent Lightweighting","BEV300 BAU"
"Aluminum Maximum","2016","Car","HEV","Fuel Use","Ethanol","GWP100",0,"2016","Curent Lightweighting","HEV Aluminum Maximum"
"BAU","2016","Car","HEV","Fuel Use","Ethanol","GWP100",0,"2016","Curent Lightweighting","HEV BAU"
"Aluminum Maximum","2016","Light truck","HEV","Fuel Use","Ethanol","GWP100",0,"2016","Curent Lightweighting","HEV Aluminum Maximum"
"BAU","2016","Light truck","HEV","Fuel Use","Ethanol","GWP100",0,"2016","Curent Lightweighting","HEV BAU"
"Aluminum Maximum","2016","Car","ICEV-G","Fuel Use","Ethanol","GWP100",0,"2016","Curent Lightweighting","ICEV-G Aluminum Maximum"
"BAU","2016","Car","ICEV-G","Fuel Use","Ethanol","GWP100",0,"2016","Curent Lightweighting","ICEV-G BAU"
"Aluminum Maximum","2016","Light truck","ICEV-G","Fuel Use","Ethanol","GWP100",0,"2016","Curent Lightweighting","ICEV-G Aluminum Maximum"
"BAU","2016","Light truck","ICEV-G","Fuel Use","Ethanol","GWP100",0,"2016","Curent Lightweighting","ICEV-G BAU"
"Aluminum Maximum","2016","Car","PHEV20","Fuel Use","Ethanol","GWP100",0,"2016","Curent Lightweighting","PHEV20 Aluminum Maximum"
"BAU","2016","Car","PHEV20","Fuel Use","Ethanol","GWP100",0,"2016","Curent Lightweighting","PHEV20 BAU"
"Aluminum Maximum","2016","Light truck","PHEV20","Fuel Use","Ethanol","GWP100",0,"2016","Curent Lightweighting","PHEV20 Aluminum Maximum"
"BAU","2016","Light truck","PHEV20","Fuel Use","Ethanol","GWP100",0,"2016","Curent Lightweighting","PHEV20 BAU"
"Aluminum Maximum","2016","Car","PHEV40","Fuel Use","Ethanol","GWP100",0,"2016","Curent Lightweighting","PHEV40 Aluminum Maximum"
"BAU","2016","Car","PHEV40","Fuel Use","Ethanol","GWP100",0,"2016","Curent Lightweighting","PHEV40 BAU"
"Aluminum Maximum","2016","Light truck","PHEV40","Fuel Use","Ethanol","GWP100",0,"2016","Curent Lightweighting","PHEV40 Aluminum Maximum"
"BAU","2016","Light truck","PHEV40","Fuel Use","Ethanol","GWP100",0,"2016","Curent Lightweighting","PHEV40 BAU"
"Aluminum Maximum","2016","Car","BEV100","Fuel Production","Gasoline","GWP100",0,"2016","Curent Lightweighting","BEV100 Aluminum Maximum"
"BAU","2016","Car","BEV100","Fuel Production","Gasoline","GWP100",0,"2016","Curent Lightweighting","BEV100 BAU"
