"Scenario","Scrapped material","Year","Recovered material","value"
"BAU","Wrought Aluminum",2022,"Loss",0.122
"BAU","Wrought Aluminum",2023,"Loss",0.119428571428572
"BAU","Wrought Aluminum",2024,"Loss",0.116857142857143
"BAU","Wrought Aluminum",2025,"Loss",0.114285714285714
"BAU","Wrought Aluminum",2026,"Loss",0.111714285714286
"BAU","Wrought Aluminum",2027,"Loss",0.109142857142857
"BAU","Wrought Aluminum",2028,"Loss",0.106571428571429
"BAU","Wrought Aluminum",2029,"Loss",0.104
"BAU","Wrought Aluminum",2030,"Loss",0.101428571428572
"BAU","Wrought Aluminum",2031,"Loss",0.0988571428571429
"BAU","Wrought Aluminum",2032,"Loss",0.0962857142857144
"BAU","Wrought Aluminum",2033,"Loss",0.0937142857142858
"BAU","Wrought Aluminum",2034,"Loss",0.0911428571428572
"BAU","Wrought Aluminum",2035,"Loss",0.0885714285714286
"BAU","Wrought Aluminum",2036,"Loss",0.0860000000000001
"BAU","Wrought Aluminum",2037,"Loss",0.0834285714285715
"BAU","Wrought Aluminum",2038,"Loss",0.0808571428571429
"BAU","Wrought Aluminum",2039,"Loss",0.0782857142857144
"BAU","Wrought Aluminum",2040,"Loss",0.0757142857142858
"BAU","Wrought Aluminum",2041,"Loss",0.0731428571428572
"BAU","Wrought Aluminum",2042,"Loss",0.0705714285714286
"BAU","Wrought Aluminum",2043,"Loss",0.0680000000000001
"BAU","Wrought Aluminum",2044,"Loss",0.0654285714285715
"BAU","Wrought Aluminum",2045,"Loss",0.0628571428571429
"BAU","Wrought Aluminum",2046,"Loss",0.0602857142857144
"BAU","Wrought Aluminum",2047,"Loss",0.0577142857142858
"BAU","Wrought Aluminum",2048,"Loss",0.0551428571428572
"BAU","Wrought Aluminum",2049,"Loss",0.0525714285714286
"BAU","Cast Aluminum",2050,"Loss",0.05
"BAU","Cast Aluminum",2016,"Loss",0.137428571428571
"BAU","Cast Aluminum",2017,"Loss",0.134857142857143
"BAU","Cast Aluminum",2018,"Loss",0.132285714285714
"BAU","Cast Aluminum",2019,"Loss",0.129714285714286
"BAU","Cast Aluminum",2020,"Loss",0.127142857142857
"BAU","Cast Aluminum",2021,"Loss",0.124571428571429
"BAU","Cast Aluminum",2022,"Loss",0.122
"BAU","Cast Aluminum",2023,"Loss",0.119428571428572
"BAU","Cast Aluminum",2024,"Loss",0.116857142857143
"BAU","Cast Aluminum",2025,"Loss",0.114285714285714
"BAU","Cast Aluminum",2026,"Loss",0.111714285714286
"BAU","Cast Aluminum",2027,"Loss",0.109142857142857
"BAU","Cast Aluminum",2028,"Loss",0.106571428571429
"BAU","Cast Aluminum",2029,"Loss",0.104
