"Year","Data_type","Source","Unit","Aeo_year","Aeo_case","Value","rel_Value"
2024,"Electricity Generation","Distributed Generation","billion kilowatthours",2018,"REF",0.682008,0.000167963615967039
2024,"Electricity Generation","Natural Gas","billion kilowatthours",2018,"REF",1300.575539,0.320303237452816
2024,"Electricity Generation","Nuclear","billion kilowatthours",2018,"REF",738.863731,0.181965935833095
2024,"Electricity Generation","Petroleum","billion kilowatthours",2018,"REF",7.443528,0.00183317773168628
2024,"Electricity Generation","Pumped Storage/Other","billion kilowatthours",2018,"REF",2.054259,0.000505918947831745
2024,"Electricity Generation","Renewables","billion kilowatthours",2018,"REF",855.119619,0.210597211897216
2025,"Electricity Generation","Coal","billion kilowatthours",2018,"REF",1170.769829,0.287099861899446
2025,"Electricity Generation","Distributed Generation","billion kilowatthours",2018,"REF",0.808078,0.000198159430194866
2025,"Electricity Generation","Natural Gas","billion kilowatthours",2018,"REF",1314.091633,0.32224568571242
2025,"Electricity Generation","Nuclear","billion kilowatthours",2018,"REF",718.577075,0.176211731705471
2025,"Electricity Generation","Petroleum","billion kilowatthours",2018,"REF",7.355277,0.00180368417311869
2025,"Electricity Generation","Pumped Storage/Other","billion kilowatthours",2018,"REF",1.890396,0.000463568856227559
2025,"Electricity Generation","Renewables","billion kilowatthours",2018,"REF",864.426216,0.211977317051156
2026,"Electricity Generation","Coal","billion kilowatthours",2018,"REF",1188.216004,0.289929243669866
2026,"Electricity Generation","Distributed Generation","billion kilowatthours",2018,"REF",0.947524,0.000231199475309412
2026,"Electricity Generation","Natural Gas","billion kilowatthours",2018,"REF",1318.580852,0.321738764543629
2026,"Electricity Generation","Nuclear","billion kilowatthours",2018,"REF",709.667564,0.173161596372132
2026,"Electricity Generation","Petroleum","billion kilowatthours",2018,"REF",6.907215,0.00168538684386812
2026,"Electricity Generation","Pumped Storage/Other","billion kilowatthours",2018,"REF",1.725098,0.000420930501451484
2026,"Electricity Generation","Renewables","billion kilowatthours",2018,"REF",872.252268,0.212832885181847
2027,"Electricity Generation","Coal","billion kilowatthours",2018,"REF",1186.368093,0.287884140544023
2027,"Electricity Generation","Distributed Generation","billion kilowatthours",2018,"REF",1.097475,0.000266313338168605
2027,"Electricity Generation","Natural Gas","billion kilowatthours",2018,"REF",1336.461537,0.324305823141679
2027,"Electricity Generation","Nuclear","billion kilowatthours",2018,"REF",709.656202,0.172205209327478
2027,"Electricity Generation","Petroleum","billion kilowatthours",2018,"REF",6.563902,0.00159279678628815
2027,"Electricity Generation","Pumped Storage/Other","billion kilowatthours",2018,"REF",1.546465,0.000375265273934178
2027,"Electricity Generation","Renewables","billion kilowatthours",2018,"REF",879.297762,0.213370438727446
2028,"Electricity Generation","Coal","billion kilowatthours",2018,"REF",1180.23417,0.284618783717773
2028,"Electricity Generation","Distributed Generation","billion kilowatthours",2018,"REF",1.252627,0.000302076640597555
2028,"Electricity Generation","Natural Gas","billion kilowatthours",2018,"REF",1363.557059,0.328827923752084
2028,"Electricity Generation","Nuclear","billion kilowatthours",2018,"REF",708.66927,0.170898785014471
2028,"Electricity Generation","Petroleum","billion kilowatthours",2018,"REF",6.278039,0.00151397736968821
2028,"Electricity Generation","Pumped Storage/Other","billion kilowatthours",2018,"REF",1.40494,0.000338807606287529
2028,"Electricity Generation","Renewables","billion kilowatthours",2018,"REF",885.323227,0.213499682072274
2029,"Electricity Generation","Coal","billion kilowatthours",2018,"REF",1184.377569,0.283988566337603
2029,"Electricity Generation","Distributed Generation","billion kilowatthours",2018,"REF",1.414584,0.000339187175305337
2029,"Electricity Generation","Natural Gas","billion kilowatthours",2018,"REF",1377.715109,0.330346798915578
2029,"Electricity Generation","Nuclear","billion kilowatthours",2018,"REF",706.121855,0.169313011753855
2029,"Electricity Generation","Petroleum","billion kilowatthours",2018,"REF",6.249209,0.0014984274872349
2029,"Electricity Generation","Pumped Storage/Other","billion kilowatthours",2018,"REF",1.311223,0.000314403404510011
2029,"Electricity Generation","Renewables","billion kilowatthours",2018,"REF",893.321849,0.214199591258526
2030,"Electricity Generation","Coal","billion kilowatthours",2018,"REF",1184.145352,0.283120769805179
2030,"Electricity Generation","Distributed Generation","billion kilowatthours",2018,"REF",1.570168,0.000375416051866121
2030,"Electricity Generation","Natural Gas","billion kilowatthours",2018,"REF",1384.173013,0.330945967336039
2030,"Electricity Generation","Nuclear","billion kilowatthours",2018,"REF",695.88851,0.166382015786335
2030,"Electricity Generation","Petroleum","billion kilowatthours",2018,"REF",6.156896,0.00147207024220995
2030,"Electricity Generation","Pumped Storage/Other","billion kilowatthours",2018,"REF",1.213853,0.000290223658109098
2030,"Electricity Generation","Renewables","billion kilowatthours",2018,"REF",909.326475,0.217413522057409
2031,"Electricity Generation","Coal","billion kilowatthours",2018,"REF",1172.650725,0.279290596873196
2031,"Electricity Generation","Distributed Generation","billion kilowatthours",2018,"REF",1.752543,0.000417403724809825
2031,"Electricity Generation","Natural Gas","billion kilowatthours",2018,"REF",1399.818737,0.333395274685063
2031,"Electricity Generation","Nuclear","billion kilowatthours",2018,"REF",688.672105,0.164021254713649
2031,"Electricity Generation","Petroleum","billion kilowatthours",2018,"REF",5.829821,0.00138849032541543
2031,"Electricity Generation","Pumped Storage/Other","billion kilowatthours",2018,"REF",1.094792,0.000260746959527953
2031,"Electricity Generation","Renewables","billion kilowatthours",2018,"REF",928.857161,0.221226206043263
2032,"Electricity Generation","Coal","billion kilowatthours",2018,"REF",1165.157102,0.276503099180389
2032,"Electricity Generation","Distributed Generation","billion kilowatthours",2018,"REF",1.926332,0.000457137296881323
2032,"Electricity Generation","Natural Gas","billion kilowatthours",2018,"REF",1400.98998,0.332468532119603
2032,"Electricity Generation","Nuclear","billion kilowatthours",2018,"REF",689.552447,0.16363749430497
2032,"Electricity Generation","Petroleum","billion kilowatthours",2018,"REF",5.807409,0.00137815457156101
