"Region","Year","value"
"IAI Area 3",2013,0.0295628538067265
"UN-OCEANIA",2013,0.00795576534325084
"IAI Area 4&5 without China",2013,0.004877815575231
"IAI Area 8",2013,0.0695105062833127
"IAI Area 1",2013,0.0042911146105641
"CA-QC",2013,0.425976614904623
"CN",2013,0.0020429466878797
"IAI Area 2, without Quebec",2013,0.402261328937758
"RoW",2014,0.000330415353338653
"UN-EUROPE",2014,0.0856533745946068
"IAI Area 3",2014,0.0373614945522419
"UN-OCEANIA",2014,0.0079162789500601
"IAI Area 4&5 without China",2014,0.00584696293487554
"IAI Area 8",2014,0.0772337057143686
"IAI Area 1",2014,0.00714085440967674
"CA-QC",2014,0.419274813863992
"CN",2014,0.000357241039768014
"IAI Area 2, without Quebec",2014,0.358884858587072
"RoW",2015,0.000169392960592655
"UN-EUROPE",2015,0.0714405428644663
"IAI Area 3",2015,0.0322183817624119
"UN-OCEANIA",2015,0.00642838304055569
"IAI Area 4&5 without China",2015,0.0196206924192691
"IAI Area 8",2015,0.0977634390968872
"IAI Area 1",2015,0.00293509858522815
"CA-QC",2015,0.447555707609727
"CN",2015,0.000498709806898774
"IAI Area 2, without Quebec",2015,0.321369651853964
"RoW",2016,0.000464833902859036
"UN-EUROPE",2016,0.154384511284298
"IAI Area 3",2016,0.0530092712286955
"UN-OCEANIA",2016,0.0030986450146159
"IAI Area 4&5 without China",2016,0.0287754528375878
"IAI Area 8",2016,0.151977247759143
"IAI Area 1",2016,0.00855111426784582
"CA-QC",2016,0.43861323298215
"CN",2016,0.000360662259411622
"IAI Area 2, without Quebec",2016,0.160765028463393
"RoW",2017,0.000464833902859036
"UN-EUROPE",2017,0.154384511284298
"IAI Area 3",2017,0.0530092712286955
"UN-OCEANIA",2017,0.0030986450146159
"IAI Area 4&5 without China",2017,0.0287754528375878
"IAI Area 8",2017,0.151977247759143
"IAI Area 1",2017,0.00855111426784582
"CA-QC",2017,0.43861323298215
"CN",2017,0.000360662259411622
"IAI Area 2, without Quebec",2017,0.160765028463393
"RoW",2018,0.000464833902859036
"UN-EUROPE",2018,0.154384511284298
"IAI Area 3",2018,0.0530092712286955
"UN-OCEANIA",2018,0.0030986450146159
"IAI Area 4&5 without China",2018,0.0287754528375878
"IAI Area 8",2018,0.151977247759143
"IAI Area 1",2018,0.00855111426784582
"CA-QC",2018,0.43861323298215
"CN",2018,0.000360662259411622
"IAI Area 2, without Quebec",2018,0.160765028463393
"RoW",2019,0.000464833902859036
"UN-EUROPE",2019,0.154384511284298
"IAI Area 3",2019,0.0530092712286955
"UN-OCEANIA",2019,0.0030986450146159
"IAI Area 4&5 without China",2019,0.0287754528375878
"IAI Area 8",2019,0.151977247759143
"IAI Area 1",2019,0.00855111426784582
"CA-QC",2019,0.43861323298215
"CN",2019,0.000360662259411622
"IAI Area 2, without Quebec",2019,0.160765028463393
"RoW",2020,0.000464833902859036
"UN-EUROPE",2020,0.154384511284298
"IAI Area 3",2020,0.0530092712286955
"UN-OCEANIA",2020,0.0030986450146159
"IAI Area 4&5 without China",2020,0.0287754528375878
"IAI Area 8",2020,0.151977247759143
"IAI Area 1",2020,0.00855111426784582
"CA-QC",2020,0.43861323298215
"CN",2020,0.000360662259411622
"IAI Area 2, without Quebec",2020,0.160765028463393
"RoW",2021,0.000464833902859036
"UN-EUROPE",2021,0.154384511284298
"IAI Area 3",2021,0.0530092712286955
"UN-OCEANIA",2021,0.0030986450146159
"IAI Area 4&5 without China",2021,0.0287754528375878
"IAI Area 8",2021,0.151977247759143
"IAI Area 1",2021,0.00855111426784582
"CA-QC",2021,0.43861323298215
"CN",2021,0.000360662259411622
"IAI Area 2, without Quebec",2021,0.160765028463393
"RoW",2022,0.000464833902859036
"UN-EUROPE",2022,0.154384511284298
"IAI Area 3",2022,0.0530092712286955
"UN-OCEANIA",2022,0.0030986450146159
"IAI Area 4&5 without China",2022,0.0287754528375878
"IAI Area 8",2022,0.151977247759143
"IAI Area 1",2022,0.00855111426784582
"CA-QC",2022,0.43861323298215
"CN",2022,0.000360662259411622
"IAI Area 2, without Quebec",2022,0.160765028463393
"RoW",2023,0.000464833902859036
"UN-EUROPE",2023,0.154384511284298
"IAI Area 3",2023,0.0530092712286955
"UN-OCEANIA",2023,0.0030986450146159
"IAI Area 4&5 without China",2023,0.0287754528375878
"IAI Area 8",2023,0.151977247759143
"IAI Area 1",2023,0.00855111426784582
"CA-QC",2023,0.43861323298215
"CN",2023,0.000360662259411622
"IAI Area 2, without Quebec",2023,0.160765028463393
"RoW",2024,0.000464833902859036
