"Scenario","Fuel","Unit","Year","value"
"Aluminum Maximum","Diesel","L",2035,7059649705.32778
"Aluminum Maximum","CNG & LPG","L",2035,819892302.117946
"Aluminum Maximum","Hydrogen","L",2035,3942170258.52672
"No Lightweighting","E10","L",2035,377429769411.953
"No Lightweighting","Electricity","kWh",2035,61354497916.9448
"No Lightweighting","E85","L",2035,63197888591.0501
"No Lightweighting","Diesel","L",2035,8291753817.56892
"No Lightweighting","CNG & LPG","L",2035,955221956.876199
"No Lightweighting","Hydrogen","L",2035,4198005608.55954
"Steel Intensive","E10","L",2036,364344304229.184
"Steel Intensive","Electricity","kWh",2036,63143825360.6434
"Steel Intensive","E85","L",2036,61565227056.1102
"Steel Intensive","Diesel","L",2036,8115154469.81772
"Steel Intensive","CNG & LPG","L",2036,928453439.873716
"Steel Intensive","Hydrogen","L",2036,4280098672.55827
"Aluminum Intensive","E10","L",2036,350285216575.662
"Aluminum Intensive","Electricity","kWh",2036,60391666014.2149
"Aluminum Intensive","E85","L",2036,59137094955.9808
"Aluminum Intensive","Diesel","L",2036,7685829628.15212
"Aluminum Intensive","CNG & LPG","L",2036,882575639.244146
"Aluminum Intensive","Hydrogen","L",2036,4188994069.35741
"Aluminum Maximum","E10","L",2036,334238992208.59
"Aluminum Maximum","Electricity","kWh",2036,57370351085.2319
"Aluminum Maximum","E85","L",2036,56369699999.5582
"Aluminum Maximum","Diesel","L",2036,7197314012.42872
"Aluminum Maximum","CNG & LPG","L",2036,830410517.836627
"Aluminum Maximum","Hydrogen","L",2036,4088964104.05491
"No Lightweighting","E10","L",2036,376517914245.996
"No Lightweighting","Electricity","kWh",2036,65722114131.3507
"No Lightweighting","E85","L",2036,63685130151.2543
"No Lightweighting","Diesel","L",2036,8488723863.90827
"No Lightweighting","CNG & LPG","L",2036,968519225.492769
"No Lightweighting","Hydrogen","L",2036,4359975508.17377
"Steel Intensive","E10","L",2037,363290112406.323
"Steel Intensive","Electricity","kWh",2037,67357225978.4407
"Steel Intensive","E85","L",2037,62058436375.7165
"Steel Intensive","Diesel","L",2037,8262560731.83243
"Steel Intensive","CNG & LPG","L",2037,940901958.236481
"Steel Intensive","Hydrogen","L",2037,4423343945.80974
"Aluminum Intensive","E10","L",2037,348650294004.877
"Aluminum Intensive","Electricity","kWh",2037,64377527021.2108
"Aluminum Intensive","E85","L",2037,59510903290.0159
"Aluminum Intensive","Diesel","L",2037,7816459574.94033
"Aluminum Intensive","CNG & LPG","L",2037,894227037.316498
"Aluminum Intensive","Hydrogen","L",2037,4327552401.0437
"Aluminum Maximum","E10","L",2037,331949580097.515
"Aluminum Maximum","Electricity","kWh",2037,61108033488.6404
"Aluminum Maximum","E85","L",2037,56608751161.2041
"Aluminum Maximum","Diesel","L",2037,7309051755.05126
"Aluminum Maximum","CNG & LPG","L",2037,841160164.901103
"Aluminum Maximum","Hydrogen","L",2037,4222417727.75813
"No Lightweighting","E10","L",2037,375974070439.615
"No Lightweighting","Electricity","kWh",2037,70149717309.6125
"No Lightweighting","E85","L",2037,64283847981.9083
"No Lightweighting","Diesel","L",2037,8650844844.89424
"No Lightweighting","CNG & LPG","L",2037,981664305.662396
"No Lightweighting","Hydrogen","L",2037,4507371122.70305
"Steel Intensive","E10","L",2038,362842896327.431
"Steel Intensive","Electricity","kWh",2038,71606385800.7161
"Steel Intensive","E85","L",2038,62683277129.4419
"Steel Intensive","Diesel","L",2038,8388809375.5351
"Steel Intensive","CNG & LPG","L",2038,954973895.055476
"Steel Intensive","Hydrogen","L",2038,4550763644.66387
"Aluminum Intensive","E10","L",2038,347678492960.626
"Aluminum Intensive","Electricity","kWh",2038,68400439543.3343
"Aluminum Intensive","E85","L",2038,60020228024.9431
"Aluminum Intensive","Diesel","L",2038,7928280281.30103
"Aluminum Intensive","CNG & LPG","L",2038,907517444.774044
"Aluminum Intensive","Hydrogen","L",2038,4450751612.74561
"Aluminum Maximum","E10","L",2038,330386747803.175
"Aluminum Maximum","Electricity","kWh",2038,64884177497.4237
"Aluminum Maximum","E85","L",2038,56987641410.3679
"Aluminum Maximum","Diesel","L",2038,7404634693.017
"Aluminum Maximum","CNG & LPG","L",2038,853564266.732527
"Aluminum Maximum","Hydrogen","L",2038,4341021780.86744
"No Lightweighting","E10","L",2038,375987839417.179
"No Lightweighting","Electricity","kWh",2038,74611916031.0768
"No Lightweighting","E85","L",2038,65010714044.6251
"No Lightweighting","Diesel","L",2038,8789761570.8789
"No Lightweighting","CNG & LPG","L",2038,996416966.810043
"No Lightweighting","Hydrogen","L",2038,4638528647.85408
"Steel Intensive","E10","L",2039,363020133283.695
"Steel Intensive","Electricity","kWh",2039,75880345820.8732
"Steel Intensive","E85","L",2039,63336323000.1063
"Steel Intensive","Diesel","L",2039,8496797222.87029
"Steel Intensive","CNG & LPG","L",2039,970623464.691845
"Steel Intensive","Hydrogen","L",2039,4663810316.61567
"Aluminum Intensive","E10","L",2039,347387858617.101
"Aluminum Intensive","Electricity","kWh",2039,72450117082.5613
"Aluminum Intensive","E85","L",2039,60570053289.9866
"Aluminum Intensive","Diesel","L",2039,8023915633.30121
"Aluminum Intensive","CNG & LPG","L",2039,922377817.384791
"Aluminum Intensive","Hydrogen","L",2039,4560018171.7212
"Aluminum Maximum","E10","L",2039,329569135172.878
"Aluminum Maximum","Electricity","kWh",2039,68689221826.915
"Aluminum Maximum","E85","L",2039,57420926774.5459
"Aluminum Maximum","Diesel","L",2039,7486375950.60623
"Aluminum Maximum","CNG & LPG","L",2039,867527968.964885
"Aluminum Maximum","Hydrogen","L",2039,4446173956.06551
"No Lightweighting","E10","L",2039,376576159257.803
"No Lightweighting","Electricity","kWh",2039,79097110324.1117
"No Lightweighting","E85","L",2039,65754901921.1496
"No Lightweighting","Diesel","L",2039,8908611303.07235
"No Lightweighting","CNG & LPG","L",2039,1012752339.00855
"No Lightweighting","Hydrogen","L",2039,4754923425.43109
"Steel Intensive","E10","L",2040,363774402153.305
"Steel Intensive","Electricity","kWh",2040,80173952748.314
"Steel Intensive","E85","L",2040,63917828835.5606
"Steel Intensive","Diesel","L",2040,8591578956.01339
"Steel Intensive","CNG & LPG","L",2040,987536679.929997
"Steel Intensive","Hydrogen","L",2040,4766438030.3049
"Aluminum Intensive","E10","L",2040,347724153445.056
"Aluminum Intensive","Electricity","kWh",2040,76521716131.5296
"Aluminum Intensive","E85","L",2040,61065951350.1297
"Aluminum Intensive","Diesel","L",2040,8107969135.54253
"Aluminum Intensive","CNG & LPG","L",2040,938487746.210147
"Aluminum Intensive","Hydrogen","L",2040,4659217859.27244
"Aluminum Maximum","E10","L",2040,329434676698.161
"Aluminum Maximum","Electricity","kWh",2040,72518649268.629
"Aluminum Maximum","E85","L",2040,57820222941.1475
"Aluminum Maximum","Diesel","L",2040,7558365519.77711
"Aluminum Maximum","CNG & LPG","L",2040,882724049.848024
"Aluminum Maximum","Hydrogen","L",2040,4541643137.27893
"No Lightweighting","E10","L",2040,377697568706.972
"No Lightweighting","Electricity","kWh",2040,83599840271.4645
"No Lightweighting","E85","L",2040,66412014813.455
"No Lightweighting","Diesel","L",2040,9012839211.19831
"No Lightweighting","CNG & LPG","L",2040,1030362844.53207
"No Lightweighting","Hydrogen","L",2040,4860586990.20475
"Steel Intensive","E10","L",2041,365215170935.971
"Steel Intensive","Electricity","kWh",2041,84445775354.1513
"Steel Intensive","E85","L",2041,64478784509.0173
"Steel Intensive","Diesel","L",2041,8673618780.83737
"Steel Intensive","CNG & LPG","L",2041,1005007617.87475
"Steel Intensive","Hydrogen","L",2041,4859759407.88057
"Aluminum Intensive","E10","L",2041,348771542058.853
"Aluminum Intensive","Electricity","kWh",2041,80575788937.1266
"Aluminum Intensive","E85","L",2041,61551032546.4286
"Aluminum Intensive","Diesel","L",2041,8181005900.26763
"Aluminum Intensive","CNG & LPG","L",2041,955166474.477712
"Aluminum Intensive","Hydrogen","L",2041,4749441258.6004
"Aluminum Maximum","E10","L",2041,330038683901.24
"Aluminum Maximum","Electricity","kWh",2041,76335175858.3452
"Aluminum Maximum","E85","L",2041,58219668194.9192
"Aluminum Maximum","Diesel","L",2041,7621283024.06998
"Aluminum Maximum","CNG & LPG","L",2041,898500649.378409
"Aluminum Maximum","Hydrogen","L",2041,4628495600.17628
"No Lightweighting","E10","L",2041,379483529560.101
"No Lightweighting","Electricity","kWh",2041,88076803810.404
"No Lightweighting","E85","L",2041,67039966208.4188
"No Lightweighting","Diesel","L",2041,9102824407.46551
"No Lightweighting","CNG & LPG","L",2041,1048520577.79547
"No Lightweighting","Hydrogen","L",2041,4956651213.07558
"Steel Intensive","E10","L",2042,367216662285.74
"Steel Intensive","Electricity","kWh",2042,88679937989.3302
"Steel Intensive","E85","L",2042,65013729310.6561
"Steel Intensive","Diesel","L",2042,8750557570.75431
"Steel Intensive","CNG & LPG","L",2042,1022327741.05219
"Steel Intensive","Hydrogen","L",2042,4945466861.19337
"Aluminum Intensive","E10","L",2042,350406844043.691
"Aluminum Intensive","Electricity","kWh",2042,84597128202.5191
"Aluminum Intensive","E85","L",2042,62014742979.3319
"Aluminum Intensive","Diesel","L",2042,8250129192.04434
"Aluminum Intensive","CNG & LPG","L",2042,971731230.987637
"Aluminum Intensive","Hydrogen","L",2042,4832342371.53915
"Aluminum Maximum","E10","L",2042,331260927859.833
"Aluminum Maximum","Electricity","kWh",2042,80124319047.2895
"Aluminum Maximum","E85","L",2042,58602911819.2002
"Aluminum Maximum","Diesel","L",2042,7681620943.1787
"Aluminum Maximum","CNG & LPG","L",2042,914204529.846519
"Aluminum Maximum","Hydrogen","L",2042,4708343149.1149
"No Lightweighting","E10","L",2042,381805985678.734
"No Lightweighting","Electricity","kWh",2042,92511487812.9739
"No Lightweighting","E85","L",2042,67637746355.523
"No Lightweighting","Diesel","L",2042,9186677544.38836
"No Lightweighting","CNG & LPG","L",2042,1066494788.38657
"No Lightweighting","Hydrogen","L",2042,5044842170.09648
"Steel Intensive","E10","L",2043,369885302682.28
"Steel Intensive","Electricity","kWh",2043,92899182907.1308
"Steel Intensive","E85","L",2043,65475010228.4774
"Steel Intensive","Diesel","L",2043,8824644498.48958
"Steel Intensive","CNG & LPG","L",2043,1041055134.6788
"Steel Intensive","Hydrogen","L",2043,5024594085.64723
"Aluminum Intensive","E10","L",2043,352720130034.279
"Aluminum Intensive","Electricity","kWh",2043,88607331776.9835
"Aluminum Intensive","E85","L",2043,62416312211.725
"Aluminum Intensive","Diesel","L",2043,8317488048.68176
"Aluminum Intensive","CNG & LPG","L",2043,989654609.714943
"Aluminum Intensive","Hydrogen","L",2043,4908930541.74212
"Aluminum Maximum","E10","L",2043,333172893596.867
"Aluminum Maximum","Electricity","kWh",2043,83906422412.7068
"Aluminum Maximum","E85","L",2043,58937022098.7017
"Aluminum Maximum","Diesel","L",2043,7741414318.84723
"Aluminum Maximum","CNG & LPG","L",2043,931211272.670894
"Aluminum Maximum","Hydrogen","L",2043,4782168406.78268
"No Lightweighting","E10","L",2043,384785706174.635
"No Lightweighting","Electricity","kWh",2043,96927705990.8712
"No Lightweighting","E85","L",2043,68151673873.5402
"No Lightweighting","Diesel","L",2043,9266727653.08469
"No Lightweighting","CNG & LPG","L",2043,1085918563.99512
"No Lightweighting","Hydrogen","L",2043,5126214971.69063
"Steel Intensive","E10","L",2044,373233144155.72
"Steel Intensive","Electricity","kWh",2044,97131575628.5188
"Steel Intensive","E85","L",2044,65825341150.6344
"Steel Intensive","Diesel","L",2044,8905379040.25761
"Steel Intensive","CNG & LPG","L",2044,1061270616.06339
"Steel Intensive","Hydrogen","L",2044,5100749960.33001
"Aluminum Intensive","E10","L",2044,355720482860.718
"Aluminum Intensive","Electricity","kWh",2044,92633045868.6058
"Aluminum Intensive","E85","L",2044,62717795247.4445
"Aluminum Intensive","Diesel","L",2044,8391893090.29908
"Aluminum Intensive","CNG & LPG","L",2044,1009009492.09022
"Aluminum Intensive","Hydrogen","L",2044,4982726859.54167
"Aluminum Maximum","E10","L",2044,335780324050.187
"Aluminum Maximum","Electricity","kWh",2044,87706576666.3027
"Aluminum Maximum","E85","L",2044,59183307689.0203
"Aluminum Maximum","Diesel","L",2044,7808692523.57203
"Aluminum Maximum","CNG & LPG","L",2044,949584838.55218
"Aluminum Maximum","Hydrogen","L",2044,4853396320.92529
"No Lightweighting","E10","L",2044,388437363012.504
"No Lightweighting","Electricity","kWh",2044,101354855232.783
"No Lightweighting","E85","L",2044,68545042957.5309
"No Lightweighting","Diesel","L",2044,9353083379.9858
"No Lightweighting","CNG & LPG","L",2044,1106879693.91355
"No Lightweighting","Hydrogen","L",2044,5204455745.91407
"Steel Intensive","E10","L",2045,377064603187.482
"Steel Intensive","Electricity","kWh",2045,101375536281.358
"Steel Intensive","E85","L",2045,66202876097.1409
"Steel Intensive","Diesel","L",2045,8989582337.5358
"Steel Intensive","CNG & LPG","L",2045,1083299843.26231
"Steel Intensive","Hydrogen","L",2045,5175635585.57383
"Aluminum Intensive","E10","L",2045,359219431630.734
"Aluminum Intensive","Electricity","kWh",2045,96672354037.3901
"Aluminum Intensive","E85","L",2045,63048932865.4433
"Aluminum Intensive","Diesel","L",2045,8469926229.83749
"Aluminum Intensive","CNG & LPG","L",2045,1030103556.39587
"Aluminum Intensive","Hydrogen","L",2045,5055386563.57106
"Aluminum Maximum","E10","L",2045,338902861125.095
"Aluminum Maximum","Electricity","kWh",2045,91522493845.9512
"Aluminum Maximum","E85","L",2045,59461953109.2673
"Aluminum Maximum","Diesel","L",2045,7879766479.18628
"Aluminum Maximum","CNG & LPG","L",2045,969612545.06768
"Aluminum Maximum","Hydrogen","L",2045,4923631940.26078
"No Lightweighting","E10","L",2045,392559094093.602
"No Lightweighting","Electricity","kWh",2045,105791663107.7
"No Lightweighting","E85","L",2045,68963399680.1456
"No Lightweighting","Diesel","L",2045,9442774261.37156
"No Lightweighting","CNG & LPG","L",2045,1129719617.32225
"No Lightweighting","Hydrogen","L",2045,5281306018.65236
"Steel Intensive","E10","L",2046,381411370321.536
"Steel Intensive","Electricity","kWh",2046,105586411367.59
"Steel Intensive","E85","L",2046,66630313057.0521
"Steel Intensive","Diesel","L",2046,9069206709.59508
"Steel Intensive","CNG & LPG","L",2046,1106155057.44453
"Steel Intensive","Hydrogen","L",2046,5249263889.25671
"Aluminum Intensive","E10","L",2046,363226750392.831
"Aluminum Intensive","Electricity","kWh",2046,100682394214.86
"Aluminum Intensive","E85","L",2046,63430457989.9114
"Aluminum Intensive","Diesel","L",2046,8544447581.9243
"Aluminum Intensive","CNG & LPG","L",2046,1051987588.94281
"Aluminum Intensive","Hydrogen","L",2046,5126902162.89893
"Aluminum Maximum","E10","L",2046,342525424802.51
"Aluminum Maximum","Electricity","kWh",2046,95313269850.085
"Aluminum Maximum","E85","L",2046,59791465832.7589
"Aluminum Maximum","Diesel","L",2046,7948528538.69076
"Aluminum Maximum","CNG & LPG","L",2046,990389085.937691
"Aluminum Maximum","Hydrogen","L",2046,4992845523.96496
"No Lightweighting","E10","L",2046,397202099100.349
"No Lightweighting","Electricity","kWh",2046,110191789735.045
"No Lightweighting","E85","L",2046,69431185898.9354
"No Lightweighting","Diesel","L",2046,9526956146.014
"No Lightweighting","CNG & LPG","L",2046,1153417203.9715
"No Lightweighting","Hydrogen","L",2046,5356796889.17373
"Steel Intensive","E10","L",2047,386007716252.1
"Steel Intensive","Electricity","kWh",2047,109802072355
"Steel Intensive","E85","L",2047,66918266160.0604
"Steel Intensive","Diesel","L",2047,9149256005.74955
"Steel Intensive","CNG & LPG","L",2047,1129031631.79076
"Steel Intensive","Hydrogen","L",2047,5323669158.74184
"Aluminum Intensive","E10","L",2047,367504495351.498
"Aluminum Intensive","Electricity","kWh",2047,104699710628.035
"Aluminum Intensive","E85","L",2047,63691665468.8848
"Aluminum Intensive","Diesel","L",2047,8620177796.25527
"Aluminum Intensive","CNG & LPG","L",2047,1073902067.03724
"Aluminum Intensive","Hydrogen","L",2047,5199258601.20356
"Aluminum Maximum","E10","L",2047,346441837007.7
"Aluminum Maximum","Electricity","kWh",2047,99114002338.8225
"Aluminum Maximum","E85","L",2047,60022402701.3038
"Aluminum Maximum","Diesel","L",2047,8019379848.71856
"Aluminum Maximum","CNG & LPG","L",2047,1011206240.68507
"Aluminum Maximum","Hydrogen","L",2047,5062968162.648
"No Lightweighting","E10","L",2047,402076177905.548
"No Lightweighting","Electricity","kWh",2047,114594354308.448
"No Lightweighting","E85","L",2047,69742568779.4531
"No Lightweighting","Diesel","L",2047,9610888785.17938
"No Lightweighting","CNG & LPG","L",2047,1177128274.77055
"No Lightweighting","Hydrogen","L",2047,5433006240.88732
"Steel Intensive","E10","L",2048,390647637325.746
"Steel Intensive","Electricity","kWh",2048,113981622380.041
"Steel Intensive","E85","L",2048,66907055157.9026
"Steel Intensive","Diesel","L",2048,9236581213.0549
"Steel Intensive","CNG & LPG","L",2048,1149640695.28666
"Steel Intensive","Hydrogen","L",2048,5398264377.20413
"Aluminum Intensive","E10","L",2048,371852070331.815
"Aluminum Intensive","Electricity","kWh",2048,108684924139.232
"Aluminum Intensive","E85","L",2048,63672350166.711
"Aluminum Intensive","Diesel","L",2048,8702977608.46531
"Aluminum Intensive","CNG & LPG","L",2048,1093668194.77763
"Aluminum Intensive","Hydrogen","L",2048,5271877060.958
"Aluminum Maximum","E10","L",2048,350457686840.341
"Aluminum Maximum","Electricity","kWh",2048,102886973496.25
"Aluminum Maximum","E85","L",2048,59993969358.097
"Aluminum Maximum","Diesel","L",2048,8097058787.01213
"Aluminum Maximum","CNG & LPG","L",2048,1030010415.98538
"Aluminum Maximum","Hydrogen","L",2048,5133430149.73052
"No Lightweighting","E10","L",2048,406970849401.256
"No Lightweighting","Electricity","kWh",2048,118957036678.971
"No Lightweighting","E85","L",2048,69738411960.515
"No Lightweighting","Diesel","L",2048,9702289277.95644
"No Lightweighting","CNG & LPG","L",2048,1198467711.58842
"No Lightweighting","Hydrogen","L",2048,5509340015.58136
"Steel Intensive","E10","L",2049,395591553958.757
"Steel Intensive","Electricity","kWh",2049,118210730481.418
"Steel Intensive","E85","L",2049,66864534265.1039
"Steel Intensive","Diesel","L",2049,9343513708.02666
"Steel Intensive","CNG & LPG","L",2049,1171364687.40094
"Steel Intensive","Hydrogen","L",2049,5475880014.35384
"Aluminum Intensive","E10","L",2049,376510006786.903
"Aluminum Intensive","Electricity","kWh",2049,112719285672.083
"Aluminum Intensive","E85","L",2049,63626036057.8825
"Aluminum Intensive","Diesel","L",2049,8804454221.81898
"Aluminum Intensive","CNG & LPG","L",2049,1114503396.53819
"Aluminum Intensive","Hydrogen","L",2049,5347499776.64955
"Aluminum Maximum","E10","L",2049,354790909892.627
"Aluminum Maximum","Electricity","kWh",2049,106708605730.501
"Aluminum Maximum","E85","L",2049,59943405565.3196
"Aluminum Maximum","Diesel","L",2049,8192352174.66453
"Aluminum Maximum","CNG & LPG","L",2049,1049831376.97406
"Aluminum Maximum","Hydrogen","L",2049,5206877393.14025
"No Lightweighting","E10","L",2049,412163858533.26
"No Lightweighting","Electricity","kWh",2049,123369657589.007
"No Lightweighting","E85","L",2049,69699143129.7724
"No Lightweighting","Diesel","L",2049,9814121557.35571
"No Lightweighting","CNG & LPG","L",2049,1220962038.91903
"No Lightweighting","Hydrogen","L",2049,5588706643.09212
"Steel Intensive","E10","L",2050,400648561632.986
"Steel Intensive","Electricity","kWh",2050,122514073234.285
"Steel Intensive","E85","L",2050,66842123408.0202
"Steel Intensive","Diesel","L",2050,9457783166.09085
"Steel Intensive","CNG & LPG","L",2050,1193459367.52748
"Steel Intensive","Hydrogen","L",2050,5558114341.05657
"Aluminum Intensive","E10","L",2050,381293753146.82
"Aluminum Intensive","Electricity","kWh",2050,116826043628.821
"Aluminum Intensive","E85","L",2050,63600936968.2041
"Aluminum Intensive","Diesel","L",2050,8912847741.91111
"Aluminum Intensive","CNG & LPG","L",2050,1135653381.61958
"Aluminum Intensive","Hydrogen","L",2050,5427671530.64594
"Aluminum Maximum","E10","L",2050,359264190720.816
"Aluminum Maximum","Electricity","kWh",2050,110600591998.161
"Aluminum Maximum","E85","L",2050,59915282693.0342
"Aluminum Maximum","Diesel","L",2050,8294082523.21179
"Aluminum Maximum","CNG & LPG","L",2050,1069903422.31178
"Aluminum Maximum","Hydrogen","L",2050,5284796458.22548
"No Lightweighting","E10","L",2050,417458738513.166
"No Lightweighting","Electricity","kWh",2050,127858240353.162
"No Lightweighting","E85","L",2050,69678992020.5556
"No Lightweighting","Diesel","L",2050,9933670422.21857
"No Lightweighting","CNG & LPG","L",2050,1243875883.73445
"No Lightweighting","Hydrogen","L",2050,5672751837.0994
