"Scenario","Fuel","Unit","Year","value"
"Steel Intensive","Diesel","L",2019,2052445483.79898
"Steel Intensive","CNG & LPG","L",2019,972798493.824025
"Steel Intensive","Hydrogen","L",2019,178001383.565147
"Aluminum Intensive","E10","L",2019,431693675761.258
"Aluminum Intensive","Electricity","kWh",2019,4223727887.40756
"Aluminum Intensive","E85","L",2019,68499357642.9508
"Aluminum Intensive","Diesel","L",2019,2043300495.66835
"Aluminum Intensive","CNG & LPG","L",2019,966276468.605546
"Aluminum Intensive","Hydrogen","L",2019,177203147.578499
"Aluminum Maximum","E10","L",2019,430525975485.252
"Aluminum Maximum","Electricity","kWh",2019,4192824430.60656
"Aluminum Maximum","E85","L",2019,68325779288.746
"Aluminum Maximum","Diesel","L",2019,2032660074.7598
"Aluminum Maximum","CNG & LPG","L",2019,958677250.97949
"Aluminum Maximum","Hydrogen","L",2019,176308548.783948
"No Lightweighting","E10","L",2019,433540433253.352
"No Lightweighting","Electricity","kWh",2019,4276151321.42676
"No Lightweighting","E85","L",2019,68774955570.1323
"No Lightweighting","Diesel","L",2019,2060290907.5852
"No Lightweighting","CNG & LPG","L",2019,978342724.464714
"No Lightweighting","Hydrogen","L",2019,178683076.00706
"Steel Intensive","E10","L",2020,430161026705.458
"Steel Intensive","Electricity","kWh",2020,5992635079.02653
"Steel Intensive","E85","L",2020,68952569709.1707
"Steel Intensive","Diesel","L",2020,2493291299.93272
"Steel Intensive","CNG & LPG","L",2020,926414770.984725
"Steel Intensive","Hydrogen","L",2020,318880157.357541
"Aluminum Intensive","E10","L",2020,428691900267.938
"Aluminum Intensive","Electricity","kWh",2020,5935201312.9201
"Aluminum Intensive","E85","L",2020,68734006457.6076
"Aluminum Intensive","Diesel","L",2020,2473347870.81256
"Aluminum Intensive","CNG & LPG","L",2020,917918242.536317
"Aluminum Intensive","Hydrogen","L",2020,316949468.070236
"Aluminum Maximum","E10","L",2020,426980341076.636
"Aluminum Maximum","Electricity","kWh",2020,5870345955.81713
"Aluminum Maximum","E85","L",2020,68479587719.9239
"Aluminum Maximum","Diesel","L",2020,2450184388.85677
"Aluminum Maximum","CNG & LPG","L",2020,908034320.835924
"Aluminum Maximum","Hydrogen","L",2020,314789171.664414
"No Lightweighting","E10","L",2020,431403802017.439
"No Lightweighting","Electricity","kWh",2020,6045642413.05432
"No Lightweighting","E85","L",2020,69138707352.5735
"No Lightweighting","Diesel","L",2020,2510419617.85474
"No Lightweighting","CNG & LPG","L",2020,933650100.150803
"No Lightweighting","Hydrogen","L",2020,320532155.375698
"Steel Intensive","E10","L",2021,425957444215.534
"Steel Intensive","Electricity","kWh",2021,8253617448.13197
"Steel Intensive","E85","L",2021,68782596876.2525
"Steel Intensive","Diesel","L",2021,2929476899.74149
"Steel Intensive","CNG & LPG","L",2021,902353767.167688
"Steel Intensive","Hydrogen","L",2021,518483462.048996
"Aluminum Intensive","E10","L",2021,423959865423.502
"Aluminum Intensive","Electricity","kWh",2021,8148963629.78502
"Aluminum Intensive","E85","L",2021,68485881545.6967
"Aluminum Intensive","Diesel","L",2021,2896359000.92469
"Aluminum Intensive","CNG & LPG","L",2021,891666437.856882
"Aluminum Intensive","Hydrogen","L",2021,514615989.143388
"Aluminum Maximum","E10","L",2021,421635624822.211
"Aluminum Maximum","Electricity","kWh",2021,8031131077.35364
"Aluminum Maximum","E85","L",2021,68140928246.212
"Aluminum Maximum","Diesel","L",2021,2857949739.1505
"Aluminum Maximum","CNG & LPG","L",2021,879254073.500563
"Aluminum Maximum","Hydrogen","L",2021,510294932.200922
"No Lightweighting","E10","L",2021,427649371658.621
"No Lightweighting","Electricity","kWh",2021,8350292768.31139
"No Lightweighting","E85","L",2021,69035618724.7361
"No Lightweighting","Diesel","L",2021,2957944003.05626
"No Lightweighting","CNG & LPG","L",2021,911468487.618739
"No Lightweighting","Hydrogen","L",2021,521798588.322838
"Steel Intensive","E10","L",2022,421208937447.236
"Steel Intensive","Electricity","kWh",2022,10851808647.6888
"Steel Intensive","E85","L",2022,67982184689.0183
"Steel Intensive","Diesel","L",2022,3371085493.84763
"Steel Intensive","CNG & LPG","L",2022,871484564.318869
"Steel Intensive","Hydrogen","L",2022,753932106.213844
"Aluminum Intensive","E10","L",2022,418614428515.941
"Aluminum Intensive","Electricity","kWh",2022,10683140443.8218
"Aluminum Intensive","E85","L",2022,67597528992.0015
"Aluminum Intensive","Diesel","L",2022,3321947241.20621
"Aluminum Intensive","CNG & LPG","L",2022,858557248.332417
"Aluminum Intensive","Hydrogen","L",2022,747372640.394177
"Aluminum Maximum","E10","L",2022,415599659517.466
"Aluminum Maximum","Electricity","kWh",2022,10493727470.7947
"Aluminum Maximum","E85","L",2022,67150931875.2172
"Aluminum Maximum","Diesel","L",2022,3265039766.04246
"Aluminum Maximum","CNG & LPG","L",2022,843569112.50116
"Aluminum Maximum","Hydrogen","L",2022,740053899.483623
"No Lightweighting","E10","L",2022,423409375456.271
"No Lightweighting","Electricity","kWh",2022,11007784334.7543
"No Lightweighting","E85","L",2022,68310652074.7393
"No Lightweighting","Diesel","L",2022,3413360970.88234
"No Lightweighting","CNG & LPG","L",2022,882527390.421882
"No Lightweighting","Hydrogen","L",2022,759564183.288298
"Steel Intensive","E10","L",2023,416100435037.958
"Steel Intensive","Electricity","kWh",2023,13765350052.3863
"Steel Intensive","E85","L",2023,66921058189.8405
"Steel Intensive","Diesel","L",2023,3815938880.81312
"Steel Intensive","CNG & LPG","L",2023,855289762.847246
"Steel Intensive","Hydrogen","L",2023,1014969038.23822
"Aluminum Intensive","E10","L",2023,412841455729.187
"Aluminum Intensive","Electricity","kWh",2023,13513226256.7886
"Aluminum Intensive","E85","L",2023,66438433342.7514
"Aluminum Intensive","Diesel","L",2023,3747868989.46402
"Aluminum Intensive","CNG & LPG","L",2023,839824011.381251
"Aluminum Intensive","Hydrogen","L",2023,1004954122.37939
"Aluminum Maximum","E10","L",2023,409059817596.201
"Aluminum Maximum","Electricity","kWh",2023,13230730365.5763
"Aluminum Maximum","E85","L",2023,65878869016.0756
"Aluminum Maximum","Diesel","L",2023,3669151623.40186
"Aluminum Maximum","CNG & LPG","L",2023,821924853.675151
"Aluminum Maximum","Hydrogen","L",2023,993795007.901341
"No Lightweighting","E10","L",2023,418868356765.31
"No Lightweighting","Electricity","kWh",2023,13998737331.9364
"No Lightweighting","E85","L",2023,67333789035.647
"No Lightweighting","Diesel","L",2023,3874555952.82692
"No Lightweighting","CNG & LPG","L",2023,868524560.764149
"No Lightweighting","Hydrogen","L",2023,1023582300.72108
"Steel Intensive","E10","L",2024,410445283182.768
"Steel Intensive","Electricity","kWh",2024,16904061665.4697
"Steel Intensive","E85","L",2024,65711372881.4717
"Steel Intensive","Diesel","L",2024,4238874909.22575
"Steel Intensive","CNG & LPG","L",2024,842573349.246079
"Steel Intensive","Hydrogen","L",2024,1318723021.78102
"Aluminum Intensive","E10","L",2024,406463420631.747
"Aluminum Intensive","Electricity","kWh",2024,16548946236.1375
"Aluminum Intensive","E85","L",2024,65121159567.7112
"Aluminum Intensive","Diesel","L",2024,4149541647.44476
"Aluminum Intensive","CNG & LPG","L",2024,824391233.550942
"Aluminum Intensive","Hydrogen","L",2024,1304114303.90293
"Aluminum Maximum","E10","L",2024,401849533080.26
"Aluminum Maximum","Electricity","kWh",2024,16151875460.6862
"Aluminum Maximum","E85","L",2024,64437843989.2365
"Aluminum Maximum","Diesel","L",2024,4046386988.20885
"Aluminum Maximum","CNG & LPG","L",2024,803386850.374782
"Aluminum Maximum","Hydrogen","L",2024,1287859858.7951
"No Lightweighting","E10","L",2024,413832227896.124
"No Lightweighting","Electricity","kWh",2024,17233106556.8269
"No Lightweighting","E85","L",2024,66216891623.8465
"No Lightweighting","Diesel","L",2024,4315871570.9339
"No Lightweighting","CNG & LPG","L",2024,858162109.717972
"No Lightweighting","Hydrogen","L",2024,1331309478.69938
"Steel Intensive","E10","L",2025,404070011473.45
"Steel Intensive","Electricity","kWh",2025,20512907050.099
"Steel Intensive","E85","L",2025,64598242453.5049
"Steel Intensive","Diesel","L",2025,4619803486.91261
"Steel Intensive","CNG & LPG","L",2025,834370605.998286
"Steel Intensive","Hydrogen","L",2025,1661523448.31522
"Aluminum Intensive","E10","L",2025,399317055317.816
"Aluminum Intensive","Electricity","kWh",2025,20025143332.4029
"Aluminum Intensive","E85","L",2025,63883605676.226
"Aluminum Intensive","Diesel","L",2025,4507374216.58413
"Aluminum Intensive","CNG & LPG","L",2025,813375363.902442
"Aluminum Intensive","Hydrogen","L",2025,1641053817.03921
"Aluminum Maximum","E10","L",2025,393817700461.141
"Aluminum Maximum","Electricity","kWh",2025,19480931083.4202
"Aluminum Maximum","E85","L",2025,63057536235.7153
"Aluminum Maximum","Diesel","L",2025,4377742859.02007
"Aluminum Maximum","CNG & LPG","L",2025,789166835.207137
"Aluminum Maximum","Hydrogen","L",2025,1618312100.7571
"No Lightweighting","E10","L",2025,408119227441.275
"No Lightweighting","Electricity","kWh",2025,20965559458.0886
"No Lightweighting","E85","L",2025,65211396555.5447
"No Lightweighting","Diesel","L",2025,4716789989.28004
"No Lightweighting","CNG & LPG","L",2025,852407536.549772
"No Lightweighting","Hydrogen","L",2025,1679192364.75311
"Steel Intensive","E10","L",2026,398276336409.953
"Steel Intensive","Electricity","kWh",2026,24165898719.882
"Steel Intensive","E85","L",2026,63653081993.2894
"Steel Intensive","Diesel","L",2026,5008579432.27106
"Steel Intensive","CNG & LPG","L",2026,835014930.692294
"Steel Intensive","Hydrogen","L",2026,1989510286.19713
"Aluminum Intensive","E10","L",2026,392695857161.608
"Aluminum Intensive","Electricity","kWh",2026,23529053522.9801
"Aluminum Intensive","E85","L",2026,62800700322.5765
"Aluminum Intensive","Diesel","L",2026,4870086328.69483
"Aluminum Intensive","CNG & LPG","L",2026,811020920.677379
"Aluminum Intensive","Hydrogen","L",2026,1962778867.09055
"Aluminum Maximum","E10","L",2026,386248809560.44
"Aluminum Maximum","Electricity","kWh",2026,22820121552.621
"Aluminum Maximum","E85","L",2026,61817008675.5886
"Aluminum Maximum","Diesel","L",2026,4710653245.14158
"Aluminum Maximum","CNG & LPG","L",2026,783408534.467008
"Aluminum Maximum","Hydrogen","L",2026,1933121754.82495
"No Lightweighting","E10","L",2026,403038580552.21
"No Lightweighting","Electricity","kWh",2026,24757571901.0818
"No Lightweighting","E85","L",2026,64385782345.9941
"No Lightweighting","Diesel","L",2026,5128154380.67659
"No Lightweighting","CNG & LPG","L",2026,855672847.971876
"No Lightweighting","Hydrogen","L",2026,2012624979.21182
"Steel Intensive","E10","L",2027,392852711488.331
"Steel Intensive","Electricity","kWh",2027,27812285878.1408
"Steel Intensive","E85","L",2027,62936912327.5372
"Steel Intensive","Diesel","L",2027,5394035095.72008
"Steel Intensive","CNG & LPG","L",2027,840219891.571645
"Steel Intensive","Hydrogen","L",2027,2291832457.09914
"Aluminum Intensive","E10","L",2027,386400624256.88
"Aluminum Intensive","Electricity","kWh",2027,27011717709.8672
"Aluminum Intensive","E85","L",2027,61931296259.1468
"Aluminum Intensive","Diesel","L",2027,5227019923.4547
"Aluminum Intensive","CNG & LPG","L",2027,813133135.260828
"Aluminum Intensive","Hydrogen","L",2027,2258661823.44949
"Aluminum Maximum","E10","L",2027,378958215390.734
"Aluminum Maximum","Electricity","kWh",2027,26122300425.7174
"Aluminum Maximum","E85","L",2027,60772729493.9005
"Aluminum Maximum","Diesel","L",2027,5035063106.80891
"Aluminum Maximum","CNG & LPG","L",2027,782023457.387971
"Aluminum Maximum","Hydrogen","L",2027,2221910655.99708
"No Lightweighting","E10","L",2027,398368442689.398
"No Lightweighting","Electricity","kWh",2027,28556833481.0421
"No Lightweighting","E85","L",2027,63803046507.1505
"No Lightweighting","Diesel","L",2027,5538354715.93314
"No Lightweighting","CNG & LPG","L",2027,863593170.761171
"No Lightweighting","Hydrogen","L",2027,2320565067.65911
"Steel Intensive","E10","L",2028,387941262400.548
"Steel Intensive","Electricity","kWh",2028,31504446745.8367
"Steel Intensive","E85","L",2028,62372567021.4671
"Steel Intensive","Diesel","L",2028,5789314958.46201
"Steel Intensive","CNG & LPG","L",2028,848701440.828586
"Steel Intensive","Hydrogen","L",2028,2577505109.74663
"Aluminum Intensive","E10","L",2028,380573936789.082
"Aluminum Intensive","Electricity","kWh",2028,30522896433.0421
"Aluminum Intensive","E85","L",2028,61201895049.8949
"Aluminum Intensive","Diesel","L",2028,5590595022.0525
"Aluminum Intensive","CNG & LPG","L",2028,818420344.028303
"Aluminum Intensive","Hydrogen","L",2028,2537575711.49804
"Aluminum Maximum","E10","L",2028,372089486030.972
"Aluminum Maximum","Electricity","kWh",2028,29434460633.6487
"Aluminum Maximum","E85","L",2028,59855506542.2768
"Aluminum Maximum","Diesel","L",2028,5362586578.33686
"Aluminum Maximum","CNG & LPG","L",2028,783712821.541152
"Aluminum Maximum","Hydrogen","L",2028,2493397882.05079
"No Lightweighting","E10","L",2028,394251116108.8
"No Lightweighting","Electricity","kWh",2028,32418265875.6219
"No Lightweighting","E85","L",2028,63382956696.1679
"No Lightweighting","Diesel","L",2028,5961176846.64419
"No Lightweighting","CNG & LPG","L",2028,874893374.27659
"No Lightweighting","Hydrogen","L",2028,2612155173.32871
"Steel Intensive","E10","L",2029,383450896360.412
"Steel Intensive","Electricity","kWh",2029,35262048970.6836
"Steel Intensive","E85","L",2029,61920494750.5492
"Steel Intensive","Diesel","L",2029,6172216172.08999
"Steel Intensive","CNG & LPG","L",2029,856294876.800265
"Steel Intensive","Hydrogen","L",2029,2849024914.19146
"Aluminum Intensive","E10","L",2029,375131793237.349
"Aluminum Intensive","Electricity","kWh",2029,34080818281.2492
"Aluminum Intensive","E85","L",2029,60575028994.6505
"Aluminum Intensive","Diesel","L",2029,5939815375.75093
"Aluminum Intensive","CNG & LPG","L",2029,822844099.621069
"Aluminum Intensive","Hydrogen","L",2029,2801973365.2248
"Aluminum Maximum","E10","L",2029,365567179313.407
"Aluminum Maximum","Electricity","kWh",2029,32773549830.3017
"Aluminum Maximum","E85","L",2029,59030352153.9723
"Aluminum Maximum","Diesel","L",2029,5673625764.49026
"Aluminum Maximum","CNG & LPG","L",2029,784584132.331313
"Aluminum Maximum","Hydrogen","L",2029,2749992021.09506
"No Lightweighting","E10","L",2029,390590018996.97
"No Lightweighting","Electricity","kWh",2029,36363011917.1068
"No Lightweighting","E85","L",2029,63084285773.8254
"No Lightweighting","Diesel","L",2029,6373408494.62131
"No Lightweighting","CNG & LPG","L",2029,885302014.227877
"No Lightweighting","Hydrogen","L",2029,2889935653.47007
"Steel Intensive","E10","L",2030,379445952971.531
"Steel Intensive","Electricity","kWh",2030,39047014253.1236
"Steel Intensive","E85","L",2030,61605950318.3155
"Steel Intensive","Diesel","L",2030,6540913844.03017
"Steel Intensive","CNG & LPG","L",2030,865867700.85505
"Steel Intensive","Hydrogen","L",2030,3103463887.96082
"Aluminum Intensive","E10","L",2030,370137302716.639
"Aluminum Intensive","Electricity","kWh",2030,37648243896.7997
"Aluminum Intensive","E85","L",2030,60074146381.4299
"Aluminum Intensive","Diesel","L",2030,6272933273.52057
"Aluminum Intensive","CNG & LPG","L",2030,829119565.340809
"Aluminum Intensive","Hydrogen","L",2030,3048995476.31796
"Aluminum Maximum","E10","L",2030,359453701441.921
"Aluminum Maximum","Electricity","kWh",2030,36103478522.4844
"Aluminum Maximum","E85","L",2030,58318788378.7996
"Aluminum Maximum","Diesel","L",2030,5966524659.9965
"Aluminum Maximum","CNG & LPG","L",2030,787181428.706228
"Aluminum Maximum","Hydrogen","L",2030,2988915091.86401
"No Lightweighting","E10","L",2030,387451572162.217
"No Lightweighting","Electricity","kWh",2030,40352386303.5544
"No Lightweighting","E85","L",2030,62934102882.2015
"No Lightweighting","Diesel","L",2030,6773236740.38211
"No Lightweighting","CNG & LPG","L",2030,897826421.134885
