"Year","Region","value","Unit"
2009,"IAI Area 1",20.6278879544423,"kg CO2eq / kg prim alu"
2009,"IAI Area 2, without Quebec",20.5450873752369,"kg CO2eq / kg prim alu"
2009,"IAI Area 3",11.157283477774,"kg CO2eq / kg prim alu"
2009,"IAI Area 4&5 without China",22.641317722355,"kg CO2eq / kg prim alu"
2009,"UN-EUROPE",9.77874822327849,"kg CO2eq / kg prim alu"
2009,"UN-OCEANIA",18.8439132849585,"kg CO2eq / kg prim alu"
2010,"CA-QC",7.28299933980589,"kg CO2eq / kg prim alu"
2010,"CN",25.0819791812805,"kg CO2eq / kg prim alu"
2010,"IAI Area 1",16.4567515150153,"kg CO2eq / kg prim alu"
2010,"IAI Area 2, without Quebec",19.0770023909646,"kg CO2eq / kg prim alu"
2010,"IAI Area 3",10.967969741888,"kg CO2eq / kg prim alu"
2010,"IAI Area 4&5 without China",19.3780025039691,"kg CO2eq / kg prim alu"
2010,"UN-EUROPE",9.83665332920529,"kg CO2eq / kg prim alu"
2010,"UN-OCEANIA",21.755413203382,"kg CO2eq / kg prim alu"
2011,"CA-QC",7.28581503838061,"kg CO2eq / kg prim alu"
2011,"CN",24.9938362098024,"kg CO2eq / kg prim alu"
2011,"IAI Area 1",15.8796480296128,"kg CO2eq / kg prim alu"
2011,"IAI Area 2, without Quebec",17.521215603602,"kg CO2eq / kg prim alu"
2011,"IAI Area 3",10.8920933536111,"kg CO2eq / kg prim alu"
2011,"IAI Area 4&5 without China",20.1943133370832,"kg CO2eq / kg prim alu"
2011,"UN-EUROPE",9.69796009468309,"kg CO2eq / kg prim alu"
2011,"UN-OCEANIA",21.7069420480966,"kg CO2eq / kg prim alu"
2012,"CA-QC",7.28629244056109,"kg CO2eq / kg prim alu"
2012,"CN",24.9017036244252,"kg CO2eq / kg prim alu"
2012,"IAI Area 1",15.8203538159168,"kg CO2eq / kg prim alu"
2012,"IAI Area 2, without Quebec",17.0457309777024,"kg CO2eq / kg prim alu"
2012,"IAI Area 3",10.8758278967466,"kg CO2eq / kg prim alu"
2012,"IAI Area 4&5 without China",29.5409149188514,"kg CO2eq / kg prim alu"
2012,"IAI Area 8",18.8576551067622,"kg CO2eq / kg prim alu"
2012,"UN-EUROPE",8.91542110887472,"kg CO2eq / kg prim alu"
2012,"UN-OCEANIA",21.4398834776025,"kg CO2eq / kg prim alu"
2013,"CA-QC",7.28752004616806,"kg CO2eq / kg prim alu"
2013,"CN",24.7628271300945,"kg CO2eq / kg prim alu"
2013,"IAI Area 1",17.429211457571,"kg CO2eq / kg prim alu"
2013,"IAI Area 2, without Quebec",15.1726683061012,"kg CO2eq / kg prim alu"
2013,"IAI Area 3",11.5882508171942,"kg CO2eq / kg prim alu"
2013,"IAI Area 4&5 without China",30.284770741547,"kg CO2eq / kg prim alu"
2013,"IAI Area 8",19.1481948706988,"kg CO2eq / kg prim alu"
