"Year","Age","Technology","Size","Value"
"2020",0,"BEV","Car",280317
"2030",0,"BEV","Car",1016076
"2040",0,"BEV","Car",1614662
"2050",0,"BEV","Car",2088317
"2020",1,"BEV","Car",175548
"2030",1,"BEV","Car",962521
"2040",1,"BEV","Car",1560025
"2050",1,"BEV","Car",2031432
"2020",2,"BEV","Car",95389
"2030",2,"BEV","Car",904021
"2040",2,"BEV","Car",1502331
"2050",2,"BEV","Car",1977848
"2020",3,"BEV","Car",55525
"2030",3,"BEV","Car",843414
"2040",3,"BEV","Car",1442165
"2050",3,"BEV","Car",1938693
"2020",4,"BEV","Car",53168
"2030",4,"BEV","Car",788571
"2040",4,"BEV","Car",1374312
"2050",4,"BEV","Car",1885500
"2020",5,"BEV","Car",104129
"2030",5,"BEV","Car",713359
"2040",5,"BEV","Car",1279651
"2050",5,"BEV","Car",1792870
"2020",6,"BEV","Car",74029
"2030",6,"BEV","Car",572550
"2040",6,"BEV","Car",1178307
"2050",6,"BEV","Car",1685397
"2020",7,"BEV","Car",11088
"2030",7,"BEV","Car",494224
"2040",7,"BEV","Car",1070841
"2050",7,"BEV","Car",1572061
"2020",8,"BEV","Car",8903
"2030",8,"BEV","Car",400959
"2040",8,"BEV","Car",972020
"2050",8,"BEV","Car",1461103
"2020",9,"BEV","Car",4662
"2030",9,"BEV","Car",306796
"2040",9,"BEV","Car",878577
"2050",9,"BEV","Car",1352163
"2020",10,"BEV","Car",321
"2030",10,"BEV","Car",217472
"2040",10,"BEV","Car",780215
"2050",10,"BEV","Car",1239367
"2020",11,"BEV","Car",51
"2030",11,"BEV","Car",127281
"2040",11,"BEV","Car",691821
"2050",11,"BEV","Car",1120328
"2020",12,"BEV","Car",24
"2030",12,"BEV","Car",63836
"2040",12,"BEV","Car",604354
"2050",12,"BEV","Car",1002866
"2020",13,"BEV","Car",27
"2030",13,"BEV","Car",33832
"2040",13,"BEV","Car",520519
"2050",13,"BEV","Car",888041
"2020",14,"BEV","Car",10
"2030",14,"BEV","Car",29762
"2040",14,"BEV","Car",448180
"2050",14,"BEV","Car",779429
"2020",15,"BEV","Car",4
"2030",15,"BEV","Car",54391
"2040",15,"BEV","Car",378845
"2050",15,"BEV","Car",678244
"2020",16,"BEV","Car",9
"2030",16,"BEV","Car",36193
"2040",16,"BEV","Car",285911
"2050",16,"BEV","Car",587308
"2020",17,"BEV","Car",20
"2030",17,"BEV","Car",5026
"2040",17,"BEV","Car",230984
"2050",17,"BEV","Car",499487
"2020",18,"BEV","Car",23
"2030",18,"BEV","Car",3754
"2040",18,"BEV","Car",174282
"2050",18,"BEV","Car",421741
"2020",19,"BEV","Car",71
"2030",19,"BEV","Car",1819
"2040",19,"BEV","Car",123401
"2050",19,"BEV","Car",352796
"2020",20,"BEV","Car",130
"2030",20,"BEV","Car",116
"2040",20,"BEV","Car",81463
"2050",20,"BEV","Car",291817
"2020",21,"BEV","Car",151
"2030",21,"BEV","Car",17
"2040",21,"BEV","Car",44102
"2050",21,"BEV","Car",239486
"2020",22,"BEV","Car",154
"2030",22,"BEV","Car",7
"2040",22,"BEV","Car",20463
"2050",22,"BEV","Car",193980
"2020",23,"BEV","Car",0
"2030",23,"BEV","Car",7
"2040",23,"BEV","Car",9927
"2050",23,"BEV","Car",153718
"2020",24,"BEV","Car",0
"2030",24,"BEV","Car",2
"2040",24,"BEV","Car",7791
"2050",24,"BEV","Car",118235
"2020",25,"BEV","Car",0
"2030",25,"BEV","Car",1
"2040",25,"BEV","Car",12852
"2050",25,"BEV","Car",90272
"2020",26,"BEV","Car",0
"2030",26,"BEV","Car",1
