"LWscen","Year","Phase","GWP100","GWP100_rel"
"Steel Intensive",2040,"Primary Material Production",43529276841.7877,0.0321356432612391
"Aluminum Intensive",2050,"Primary Material Production",61149586329.6357,0.0422333206654141
"Aluminum Maximum",2050,"Primary Material Production",92494171399.4702,0.0660757155081474
"No Lightweighting",2050,"Primary Material Production",51399545201.3196,0.0327915860585014
"Steel Intensive",2050,"Primary Material Production",47543640543.5868,0.0316451757891207
"Aluminum Intensive",2020,"Secondary Material Production",8084143530.60651,0.00541555947591969
"Aluminum Maximum",2020,"Secondary Material Production",8364414885.24874,0.00558584928975536
"No Lightweighting",2020,"Secondary Material Production",7961899135.27204,0.00531480926283959
"Steel Intensive",2020,"Secondary Material Production",7833726351.48327,0.00524984880541115
"Aluminum Intensive",2030,"Secondary Material Production",9273252545.15483,0.00690785447331637
"Aluminum Maximum",2030,"Secondary Material Production",10571322695.2906,0.00793704574474475
"No Lightweighting",2030,"Secondary Material Production",8564020246.78004,0.00614577811061347
"Steel Intensive",2030,"Secondary Material Production",8072812293.02947,0.00593239230396068
"Aluminum Intensive",2040,"Secondary Material Production",9942598048.21922,0.00758485997170542
"Aluminum Maximum",2040,"Secondary Material Production",11213062638.7436,0.00880206386287072
"No Lightweighting",2040,"Secondary Material Production",8936088634.82816,0.00634286001856016
"Steel Intensive",2040,"Secondary Material Production",8430781898.89139,0.00622405468624733
"Aluminum Intensive",2050,"Secondary Material Production",10917117136.3417,0.0075399710191916
"Aluminum Maximum",2050,"Secondary Material Production",12309547494.8049,0.00879365851917254
"No Lightweighting",2050,"Secondary Material Production",9796840841.36124,0.00625013214207762
"Steel Intensive",2050,"Secondary Material Production",9251031378.61821,0.00615751151699581
