"Material","Scenario","rec_scen","Case","Year","value","Type"
"Wrought Aluminum","No Lightweighting","BAU","Business-as-usual",2017,735114985.360604,"Primary material production"
"Cast Aluminum","No Lightweighting","BAU","Business-as-usual",2017,307020797.136836,"Primary material production"
"HSS/AHSS","Steel Intensive","CL100","Closed loop",2017,5649806506.81537,"Primary material production"
"Other steels","Steel Intensive","CL100","Closed loop",2017,9478636012.94542,"Primary material production"
"Wrought Aluminum","Steel Intensive","CL100","Closed loop",2017,703219936.209743,"Primary material production"
"Cast Aluminum","Steel Intensive","CL100","Closed loop",2017,314693580.380334,"Primary material production"
"HSS/AHSS","Aluminum Maximum","CL100","Closed loop",2017,4681851813.49757,"Primary material production"
"Other steels","Aluminum Maximum","CL100","Closed loop",2017,9242785937.33966,"Primary material production"
"Wrought Aluminum","Aluminum Maximum","CL100","Closed loop",2017,1392427462.34139,"Primary material production"
"Cast Aluminum","Aluminum Maximum","CL100","Closed loop",2017,391096431.418031,"Primary material production"
"HSS/AHSS","No Lightweighting","CL100","Closed loop",2017,5197176560.5845,"Primary material production"
"Other steels","No Lightweighting","CL100","Closed loop",2017,10104192720.8689,"Primary material production"
"Wrought Aluminum","No Lightweighting","CL100","Closed loop",2017,709000255.832197,"Primary material production"
"Cast Aluminum","No Lightweighting","CL100","Closed loop",2017,320600456.491608,"Primary material production"
"HSS/AHSS","Steel Intensive","BAU","Business-as-usual",2018,6232495601.01333,"Primary material production"
"Other steels","Steel Intensive","BAU","Business-as-usual",2018,10085243628.6112,"Primary material production"
"Wrought Aluminum","Steel Intensive","BAU","Business-as-usual",2018,752079991.179109,"Primary material production"
"Cast Aluminum","Steel Intensive","BAU","Business-as-usual",2018,261628757.62176,"Primary material production"
"HSS/AHSS","Aluminum Maximum","BAU","Business-as-usual",2018,4734037318.06027,"Primary material production"
"Other steels","Aluminum Maximum","BAU","Business-as-usual",2018,9722640289.83288,"Primary material production"
"Wrought Aluminum","Aluminum Maximum","BAU","Business-as-usual",2018,1816785351.74387,"Primary material production"
"Cast Aluminum","Aluminum Maximum","BAU","Business-as-usual",2018,379309949.572649,"Primary material production"
"HSS/AHSS","No Lightweighting","BAU","Business-as-usual",2018,5530484176.83868,"Primary material production"
"Other steels","No Lightweighting","BAU","Business-as-usual",2018,11055824063.2012,"Primary material production"
"Wrought Aluminum","No Lightweighting","BAU","Business-as-usual",2018,761049633.492369,"Primary material production"
"Cast Aluminum","No Lightweighting","BAU","Business-as-usual",2018,270806813.797192,"Primary material production"
"HSS/AHSS","Steel Intensive","CL100","Closed loop",2018,5992763836.52297,"Primary material production"
"Other steels","Steel Intensive","CL100","Closed loop",2018,9172822770.98322,"Primary material production"
"Wrought Aluminum","Steel Intensive","CL100","Closed loop",2018,709283094.081967,"Primary material production"
"Cast Aluminum","Steel Intensive","CL100","Closed loop",2018,283883144.112274,"Primary material production"
"HSS/AHSS","Aluminum Maximum","CL100","Closed loop",2018,4494493640.86116,"Primary material production"
"Other steels","Aluminum Maximum","CL100","Closed loop",2018,8810265507.74689,"Primary material production"
"Wrought Aluminum","Aluminum Maximum","CL100","Closed loop",2018,1773854467.24851,"Primary material production"
"Cast Aluminum","Aluminum Maximum","CL100","Closed loop",2018,401634009.510236,"Primary material production"
"HSS/AHSS","No Lightweighting","CL100","Closed loop",2018,5290840230.1038,"Primary material production"
"Other steels","No Lightweighting","CL100","Closed loop",2018,10143281571.7841,"Primary material production"
"Wrought Aluminum","No Lightweighting","CL100","Closed loop",2018,718251607.106613,"Primary material production"
"Cast Aluminum","No Lightweighting","CL100","Closed loop",2018,293061787.517785,"Primary material production"
"HSS/AHSS","Steel Intensive","BAU","Business-as-usual",2019,6465700956.71273,"Primary material production"
"Other steels","Steel Intensive","BAU","Business-as-usual",2019,9757845768.89767,"Primary material production"
"Wrought Aluminum","Steel Intensive","BAU","Business-as-usual",2019,749213388.532555,"Primary material production"
"Cast Aluminum","Steel Intensive","BAU","Business-as-usual",2019,225621931.507072,"Primary material production"
"HSS/AHSS","Aluminum Maximum","BAU","Business-as-usual",2019,4473608480.36506,"Primary material production"
"Other steels","Aluminum Maximum","BAU","Business-as-usual",2019,9278896249.99802,"Primary material production"
"Wrought Aluminum","Aluminum Maximum","BAU","Business-as-usual",2019,2161596892.46814,"Primary material production"
