"Material","Scenario","rec_scen","Case","Year","value","Type"
"Cast Aluminum","Steel Intensive","BAU","Business-as-usual",2033,0,"Primary material production"
"HSS/AHSS","Aluminum Maximum","BAU","Business-as-usual",2033,1797635725.14468,"Primary material production"
"Other steels","Aluminum Maximum","BAU","Business-as-usual",2033,4590149638.32497,"Primary material production"
"Wrought Aluminum","Aluminum Maximum","BAU","Business-as-usual",2033,5764083476.80085,"Primary material production"
"Cast Aluminum","Aluminum Maximum","BAU","Business-as-usual",2033,0,"Primary material production"
"HSS/AHSS","No Lightweighting","BAU","Business-as-usual",2033,5580277902.37838,"Primary material production"
"Other steels","No Lightweighting","BAU","Business-as-usual",2033,11127264098.967,"Primary material production"
"Wrought Aluminum","No Lightweighting","BAU","Business-as-usual",2033,772606783.031527,"Primary material production"
"Cast Aluminum","No Lightweighting","BAU","Business-as-usual",2033,0,"Primary material production"
"HSS/AHSS","Steel Intensive","CL100","Closed loop",2033,6363348704.31695,"Primary material production"
"Other steels","Steel Intensive","CL100","Closed loop",2033,1526047139.61732,"Primary material production"
"Wrought Aluminum","Steel Intensive","CL100","Closed loop",2033,388978022.295077,"Primary material production"
"Cast Aluminum","Steel Intensive","CL100","Closed loop",2033,53326734.4555062,"Primary material production"
"HSS/AHSS","Aluminum Maximum","CL100","Closed loop",2033,0,"Primary material production"
"Other steels","Aluminum Maximum","CL100","Closed loop",2033,96234227.5763712,"Primary material production"
"Wrought Aluminum","Aluminum Maximum","CL100","Closed loop",2033,4800195322.67114,"Primary material production"
"Cast Aluminum","Aluminum Maximum","CL100","Closed loop",2033,232116599.215416,"Primary material production"
"HSS/AHSS","No Lightweighting","CL100","Closed loop",2033,3265266301.34835,"Primary material production"
"Other steels","No Lightweighting","CL100","Closed loop",2033,5838606137.64618,"Primary material production"
"Wrought Aluminum","No Lightweighting","CL100","Closed loop",2033,428591941.500979,"Primary material production"
"Cast Aluminum","No Lightweighting","CL100","Closed loop",2033,88450506.4072823,"Primary material production"
"HSS/AHSS","Steel Intensive","BAU","Business-as-usual",2034,9133939278.84169,"Primary material production"
"Other steels","Steel Intensive","BAU","Business-as-usual",2034,6248104643.29683,"Primary material production"
"Wrought Aluminum","Steel Intensive","BAU","Business-as-usual",2034,730748476.597012,"Primary material production"
"Cast Aluminum","Steel Intensive","BAU","Business-as-usual",2034,0,"Primary material production"
"HSS/AHSS","Aluminum Maximum","BAU","Business-as-usual",2034,1804984787.06786,"Primary material production"
"Other steels","Aluminum Maximum","BAU","Business-as-usual",2034,4605121846.08186,"Primary material production"
"Wrought Aluminum","Aluminum Maximum","BAU","Business-as-usual",2034,5786250056.67529,"Primary material production"
"Cast Aluminum","Aluminum Maximum","BAU","Business-as-usual",2034,0,"Primary material production"
"HSS/AHSS","No Lightweighting","BAU","Business-as-usual",2034,5600260872.88451,"Primary material production"
"Other steels","No Lightweighting","BAU","Business-as-usual",2034,11164053295.1648,"Primary material production"
"Wrought Aluminum","No Lightweighting","BAU","Business-as-usual",2034,775816300.997501,"Primary material production"
"Cast Aluminum","No Lightweighting","BAU","Business-as-usual",2034,0,"Primary material production"
"HSS/AHSS","Steel Intensive","CL100","Closed loop",2034,6119449016.45352,"Primary material production"
"Other steels","Steel Intensive","CL100","Closed loop",2034,1367616815.6214,"Primary material production"
"Wrought Aluminum","Steel Intensive","CL100","Closed loop",2034,369712730.840304,"Primary material production"
"Cast Aluminum","Steel Intensive","CL100","Closed loop",2034,49648427.3641578,"Primary material production"
"HSS/AHSS","Aluminum Maximum","CL100","Closed loop",2034,0,"Primary material production"
"Other steels","Aluminum Maximum","CL100","Closed loop",2034,0,"Primary material production"
"Wrought Aluminum","Aluminum Maximum","CL100","Closed loop",2034,4660388938.65197,"Primary material production"
"Cast Aluminum","Aluminum Maximum","CL100","Closed loop",2034,183433452.500701,"Primary material production"
"HSS/AHSS","No Lightweighting","CL100","Closed loop",2034,3104326580.61375,"Primary material production"
"Other steels","No Lightweighting","CL100","Closed loop",2034,5563851388.53712,"Primary material production"
"Wrought Aluminum","No Lightweighting","CL100","Closed loop",2034,408156757.323953,"Primary material production"
"Cast Aluminum","No Lightweighting","CL100","Closed loop",2034,82944220.8049952,"Primary material production"
"HSS/AHSS","Steel Intensive","BAU","Business-as-usual",2035,9165412291.34597,"Primary material production"
"Other steels","Steel Intensive","BAU","Business-as-usual",2035,6266973809.77447,"Primary material production"
"Wrought Aluminum","Steel Intensive","BAU","Business-as-usual",2035,733839952.479356,"Primary material production"
"Cast Aluminum","Steel Intensive","BAU","Business-as-usual",2035,0,"Primary material production"
"HSS/AHSS","Aluminum Maximum","BAU","Business-as-usual",2035,1812121749.14049,"Primary material production"
"Other steels","Aluminum Maximum","BAU","Business-as-usual",2035,4619409782.2741,"Primary material production"
"Wrought Aluminum","Aluminum Maximum","BAU","Business-as-usual",2035,5807535936.04227,"Primary material production"
"Cast Aluminum","Aluminum Maximum","BAU","Business-as-usual",2035,0,"Primary material production"
"HSS/AHSS","No Lightweighting","BAU","Business-as-usual",2035,5619391054.10057,"Primary material production"
"Other steels","No Lightweighting","BAU","Business-as-usual",2035,11198953164.0773,"Primary material production"
"Wrought Aluminum","No Lightweighting","BAU","Business-as-usual",2035,778960569.413645,"Primary material production"
"Cast Aluminum","No Lightweighting","BAU","Business-as-usual",2035,0,"Primary material production"
"HSS/AHSS","Steel Intensive","CL100","Closed loop",2035,5867218426.04112,"Primary material production"
"Other steels","Steel Intensive","CL100","Closed loop",2035,1212511952.93919,"Primary material production"
"Wrought Aluminum","Steel Intensive","CL100","Closed loop",2035,350636918.664131,"Primary material production"
"Cast Aluminum","Steel Intensive","CL100","Closed loop",2035,47883181.7976562,"Primary material production"
"HSS/AHSS","Aluminum Maximum","CL100","Closed loop",2035,0,"Primary material production"
"Other steels","Aluminum Maximum","CL100","Closed loop",2035,0,"Primary material production"
"Wrought Aluminum","Aluminum Maximum","CL100","Closed loop",2035,4507267510.66141,"Primary material production"
"Cast Aluminum","Aluminum Maximum","CL100","Closed loop",2035,140679792.214187,"Primary material production"
"HSS/AHSS","No Lightweighting","CL100","Closed loop",2035,2944768562.83531,"Primary material production"
"Other steels","No Lightweighting","CL100","Closed loop",2035,5278766938.22822,"Primary material production"
"Wrought Aluminum","No Lightweighting","CL100","Closed loop",2035,387789436.316153,"Primary material production"
"Cast Aluminum","No Lightweighting","CL100","Closed loop",2035,79324616.6393984,"Primary material production"
"HSS/AHSS","Steel Intensive","BAU","Business-as-usual",2036,9208209983.82199,"Primary material production"
"Other steels","Steel Intensive","BAU","Business-as-usual",2036,6293721892.52406,"Primary material production"
"Wrought Aluminum","Steel Intensive","BAU","Business-as-usual",2036,737888042.91153,"Primary material production"
"Cast Aluminum","Steel Intensive","BAU","Business-as-usual",2036,0,"Primary material production"
"HSS/AHSS","Aluminum Maximum","BAU","Business-as-usual",2036,1821559392.23344,"Primary material production"
"Other steels","Aluminum Maximum","BAU","Business-as-usual",2036,4639641172.45872,"Primary material production"
"Wrought Aluminum","Aluminum Maximum","BAU","Business-as-usual",2036,5836011558.09079,"Primary material production"
"Cast Aluminum","Aluminum Maximum","BAU","Business-as-usual",2036,0,"Primary material production"
"HSS/AHSS","No Lightweighting","BAU","Business-as-usual",2036,5645469690.47613,"Primary material production"
"Other steels","No Lightweighting","BAU","Business-as-usual",2036,11247752959.5245,"Primary material production"
"Wrought Aluminum","No Lightweighting","BAU","Business-as-usual",2036,783117362.546511,"Primary material production"
"Cast Aluminum","No Lightweighting","BAU","Business-as-usual",2036,0,"Primary material production"
"HSS/AHSS","Steel Intensive","CL100","Closed loop",2036,5609258156.78833,"Primary material production"
"Other steels","Steel Intensive","CL100","Closed loop",2036,1104357452.48896,"Primary material production"
"Wrought Aluminum","Steel Intensive","CL100","Closed loop",2036,333521582.842947,"Primary material production"
"Cast Aluminum","Steel Intensive","CL100","Closed loop",2036,50502340.5362827,"Primary material production"
"HSS/AHSS","Aluminum Maximum","CL100","Closed loop",2036,0,"Primary material production"
"Other steels","Aluminum Maximum","CL100","Closed loop",2036,0,"Primary material production"
"Wrought Aluminum","Aluminum Maximum","CL100","Closed loop",2036,4339471982.22586,"Primary material production"
"Cast Aluminum","Aluminum Maximum","CL100","Closed loop",2036,102334268.568979,"Primary material production"
"HSS/AHSS","No Lightweighting","CL100","Closed loop",2036,2791176558.61997,"Primary material production"
"Other steels","No Lightweighting","CL100","Closed loop",2036,5024291627.24014,"Primary material production"
"Wrought Aluminum","No Lightweighting","CL100","Closed loop",2036,369228324.667724,"Primary material production"
"Cast Aluminum","No Lightweighting","CL100","Closed loop",2036,79960781.8759715,"Primary material production"
"HSS/AHSS","Steel Intensive","BAU","Business-as-usual",2037,9236131807.68143,"Primary material production"
"Other steels","Steel Intensive","BAU","Business-as-usual",2037,6310617684.34826,"Primary material production"
"Wrought Aluminum","Steel Intensive","BAU","Business-as-usual",2037,740735240.361129,"Primary material production"
"Cast Aluminum","Steel Intensive","BAU","Business-as-usual",2037,0,"Primary material production"
"HSS/AHSS","Aluminum Maximum","BAU","Business-as-usual",2037,1827994431.45974,"Primary material production"
"Other steels","Aluminum Maximum","BAU","Business-as-usual",2037,4652584543.0682,"Primary material production"
"Wrought Aluminum","Aluminum Maximum","BAU","Business-as-usual",2037,5855101110.81227,"Primary material production"
"Cast Aluminum","Aluminum Maximum","BAU","Business-as-usual",2037,0,"Primary material production"
"HSS/AHSS","No Lightweighting","BAU","Business-as-usual",2037,5662416102.15123,"Primary material production"
"Other steels","No Lightweighting","BAU","Business-as-usual",2037,11278762205.5656,"Primary material production"
"Wrought Aluminum","No Lightweighting","BAU","Business-as-usual",2037,785994294.128615,"Primary material production"
"Cast Aluminum","No Lightweighting","BAU","Business-as-usual",2037,0,"Primary material production"
"HSS/AHSS","Steel Intensive","CL100","Closed loop",2037,5324074130.89752,"Primary material production"
"Other steels","Steel Intensive","CL100","Closed loop",2037,1009610744.81151,"Primary material production"
"Wrought Aluminum","Steel Intensive","CL100","Closed loop",2037,315443080.622737,"Primary material production"
"Cast Aluminum","Steel Intensive","CL100","Closed loop",2037,52777809.0615676,"Primary material production"
"HSS/AHSS","Aluminum Maximum","CL100","Closed loop",2037,0,"Primary material production"
"Other steels","Aluminum Maximum","CL100","Closed loop",2037,0,"Primary material production"
"Wrought Aluminum","Aluminum Maximum","CL100","Closed loop",2037,4143981475.95601,"Primary material production"
"Cast Aluminum","Aluminum Maximum","CL100","Closed loop",2037,65323803.7851718,"Primary material production"
"HSS/AHSS","No Lightweighting","CL100","Closed loop",2037,2629225673.62898,"Primary material production"
"Other steels","No Lightweighting","CL100","Closed loop",2037,4757028339.86234,"Primary material production"
"Wrought Aluminum","No Lightweighting","CL100","Closed loop",2037,349459693.156931,"Primary material production"
"Cast Aluminum","No Lightweighting","CL100","Closed loop",2037,80109193.3362264,"Primary material production"
"HSS/AHSS","Steel Intensive","BAU","Business-as-usual",2038,9319817323.45759,"Primary material production"
"Other steels","Steel Intensive","BAU","Business-as-usual",2038,6365572576.09082,"Primary material production"
"Wrought Aluminum","Steel Intensive","BAU","Business-as-usual",2038,748171502.116058,"Primary material production"
"Cast Aluminum","Steel Intensive","BAU","Business-as-usual",2038,0,"Primary material production"
"HSS/AHSS","Aluminum Maximum","BAU","Business-as-usual",2038,1845612294.40942,"Primary material production"
"Other steels","Aluminum Maximum","BAU","Business-as-usual",2038,4693830592.40926,"Primary material production"
"Wrought Aluminum","Aluminum Maximum","BAU","Business-as-usual",2038,5909554939.98147,"Primary material production"
"Cast Aluminum","Aluminum Maximum","BAU","Business-as-usual",2038,0,"Primary material production"
"HSS/AHSS","No Lightweighting","BAU","Business-as-usual",2038,5713562400.81168,"Primary material production"
"Other steels","No Lightweighting","BAU","Business-as-usual",2038,11377637326.4189,"Primary material production"
"Wrought Aluminum","No Lightweighting","BAU","Business-as-usual",2038,793739865.167906,"Primary material production"
"Cast Aluminum","No Lightweighting","BAU","Business-as-usual",2038,0,"Primary material production"
"HSS/AHSS","Steel Intensive","CL100","Closed loop",2038,5076161533.51927,"Primary material production"
"Other steels","Steel Intensive","CL100","Closed loop",2038,957647013.56897,"Primary material production"
"Wrought Aluminum","Steel Intensive","CL100","Closed loop",2038,303226944.804175,"Primary material production"
"Cast Aluminum","Steel Intensive","CL100","Closed loop",2038,65365099.0768735,"Primary material production"
"HSS/AHSS","Aluminum Maximum","CL100","Closed loop",2038,0,"Primary material production"
"Other steels","Aluminum Maximum","CL100","Closed loop",2038,0,"Primary material production"
"Wrought Aluminum","Aluminum Maximum","CL100","Closed loop",2038,3962546038.4966,"Primary material production"
"Cast Aluminum","Aluminum Maximum","CL100","Closed loop",2038,44245913.6914318,"Primary material production"
"HSS/AHSS","No Lightweighting","CL100","Closed loop",2038,2498937164.9271,"Primary material production"
"Other steels","No Lightweighting","CL100","Closed loop",2038,4540142971.0658,"Primary material production"
"Wrought Aluminum","No Lightweighting","CL100","Closed loop",2038,335625056.093492,"Primary material production"
"Cast Aluminum","No Lightweighting","CL100","Closed loop",2038,90719838.565763,"Primary material production"
"HSS/AHSS","Steel Intensive","BAU","Business-as-usual",2039,9414101926.44088,"Primary material production"
"Other steels","Steel Intensive","BAU","Business-as-usual",2039,6428058146.07515,"Primary material production"
"Wrought Aluminum","Steel Intensive","BAU","Business-as-usual",2039,756533460.24009,"Primary material production"
"Cast Aluminum","Steel Intensive","BAU","Business-as-usual",2039,0,"Primary material production"
"HSS/AHSS","Aluminum Maximum","BAU","Business-as-usual",2039,1865404337.51185,"Primary material production"
"Other steels","Aluminum Maximum","BAU","Business-as-usual",2039,4740820508.80908,"Primary material production"
"Wrought Aluminum","Aluminum Maximum","BAU","Business-as-usual",2039,5970775774.65699,"Primary material production"
"Cast Aluminum","Aluminum Maximum","BAU","Business-as-usual",2039,0,"Primary material production"
"HSS/AHSS","No Lightweighting","BAU","Business-as-usual",2039,5771208600.97474,"Primary material production"
"Other steels","No Lightweighting","BAU","Business-as-usual",2039,11489650864.6823,"Primary material production"
"Wrought Aluminum","No Lightweighting","BAU","Business-as-usual",2039,802460763.069892,"Primary material production"
"Cast Aluminum","No Lightweighting","BAU","Business-as-usual",2039,0,"Primary material production"
"HSS/AHSS","Steel Intensive","CL100","Closed loop",2039,4803920846.79871,"Primary material production"
"Other steels","Steel Intensive","CL100","Closed loop",2039,983749825.12741,"Primary material production"
"Wrought Aluminum","Steel Intensive","CL100","Closed loop",2039,290171463.076734,"Primary material production"
"Cast Aluminum","Steel Intensive","CL100","Closed loop",2039,74850154.1817628,"Primary material production"
"HSS/AHSS","Aluminum Maximum","CL100","Closed loop",2039,0,"Primary material production"
"Other steels","Aluminum Maximum","CL100","Closed loop",2039,0,"Primary material production"
"Wrought Aluminum","Aluminum Maximum","CL100","Closed loop",2039,3746434675.13641,"Primary material production"
"Cast Aluminum","Aluminum Maximum","CL100","Closed loop",2039,17091382.3098099,"Primary material production"
"HSS/AHSS","No Lightweighting","CL100","Closed loop",2039,2368179089.56741,"Primary material production"
"Other steels","No Lightweighting","CL100","Closed loop",2039,4368082621.73965,"Primary material production"
"Wrought Aluminum","No Lightweighting","CL100","Closed loop",2039,320641696.841018,"Primary material production"
"Cast Aluminum","No Lightweighting","CL100","Closed loop",2039,97920988.0289511,"Primary material production"
"HSS/AHSS","Steel Intensive","BAU","Business-as-usual",2040,9482329155.12748,"Primary material production"
"Other steels","Steel Intensive","BAU","Business-as-usual",2040,6472851104.34938,"Primary material production"
"Wrought Aluminum","Steel Intensive","BAU","Business-as-usual",2040,762781775.319343,"Primary material production"
"Cast Aluminum","Steel Intensive","BAU","Business-as-usual",2040,0,"Primary material production"
"HSS/AHSS","Aluminum Maximum","BAU","Business-as-usual",2040,1880033151.9403,"Primary material production"
"Other steels","Aluminum Maximum","BAU","Business-as-usual",2040,4774774291.57346,"Primary material production"
"Wrought Aluminum","Aluminum Maximum","BAU","Business-as-usual",2040,6015475695.36587,"Primary material production"
"Cast Aluminum","Aluminum Maximum","BAU","Business-as-usual",2040,0,"Primary material production"
"HSS/AHSS","No Lightweighting","BAU","Business-as-usual",2040,5812878384.28086,"Primary material production"
"Other steels","No Lightweighting","BAU","Business-as-usual",2040,11569977631.3868,"Primary material production"
"Wrought Aluminum","No Lightweighting","BAU","Business-as-usual",2040,808936534.199836,"Primary material production"
"Cast Aluminum","No Lightweighting","BAU","Business-as-usual",2040,0,"Primary material production"
"HSS/AHSS","Steel Intensive","CL100","Closed loop",2040,4505402380.32891,"Primary material production"
"Other steels","Steel Intensive","CL100","Closed loop",2040,1008333489.19669,"Primary material production"
"Wrought Aluminum","Steel Intensive","CL100","Closed loop",2040,274020492.147171,"Primary material production"
"Cast Aluminum","Steel Intensive","CL100","Closed loop",2040,80322146.7886826,"Primary material production"
"HSS/AHSS","Aluminum Maximum","CL100","Closed loop",2040,0,"Primary material production"
"Other steels","Aluminum Maximum","CL100","Closed loop",2040,0,"Primary material production"
"Wrought Aluminum","Aluminum Maximum","CL100","Closed loop",2040,3510657267.13647,"Primary material production"
"Cast Aluminum","Aluminum Maximum","CL100","Closed loop",2040,0,"Primary material production"
"HSS/AHSS","No Lightweighting","CL100","Closed loop",2040,2223215448.15949,"Primary material production"
"Other steels","No Lightweighting","CL100","Closed loop",2040,4177736539.46066,"Primary material production"
"Wrought Aluminum","No Lightweighting","CL100","Closed loop",2040,302410992.083995,"Primary material production"
"Cast Aluminum","No Lightweighting","CL100","Closed loop",2040,101224737.91789,"Primary material production"
"HSS/AHSS","Steel Intensive","BAU","Business-as-usual",2041,9568106007.46245,"Primary material production"
"Other steels","Steel Intensive","BAU","Business-as-usual",2041,6530140653.1601,"Primary material production"
"Wrought Aluminum","Steel Intensive","BAU","Business-as-usual",2041,770599982.351757,"Primary material production"
"Cast Aluminum","Steel Intensive","BAU","Business-as-usual",2041,0,"Primary material production"
"HSS/AHSS","Aluminum Maximum","BAU","Business-as-usual",2041,1898286778.43782,"Primary material production"
"Other steels","Aluminum Maximum","BAU","Business-as-usual",2041,4818316363.94962,"Primary material production"
"Wrought Aluminum","Aluminum Maximum","BAU","Business-as-usual",2041,6071383969.46698,"Primary material production"
"Cast Aluminum","Aluminum Maximum","BAU","Business-as-usual",2041,0,"Primary material production"
"HSS/AHSS","No Lightweighting","BAU","Business-as-usual",2041,5865314449.56758,"Primary material production"
"Other steels","No Lightweighting","BAU","Business-as-usual",2041,11672043982.5949,"Primary material production"
"Wrought Aluminum","No Lightweighting","BAU","Business-as-usual",2041,817067267.663254,"Primary material production"
"Cast Aluminum","No Lightweighting","BAU","Business-as-usual",2041,0,"Primary material production"
"HSS/AHSS","Steel Intensive","CL100","Closed loop",2041,4274797077.03499,"Primary material production"
"Other steels","Steel Intensive","CL100","Closed loop",2041,949636165.73403,"Primary material production"
"Wrought Aluminum","Steel Intensive","CL100","Closed loop",2041,260516975.676109,"Primary material production"
"Cast Aluminum","Steel Intensive","CL100","Closed loop",2041,92314503.4950432,"Primary material production"
"HSS/AHSS","Aluminum Maximum","CL100","Closed loop",2041,0,"Primary material production"
"Other steels","Aluminum Maximum","CL100","Closed loop",2041,0,"Primary material production"
"Wrought Aluminum","Aluminum Maximum","CL100","Closed loop",2041,3332260893.64748,"Primary material production"
"Cast Aluminum","Aluminum Maximum","CL100","Closed loop",2041,8746501.41090012,"Primary material production"
"HSS/AHSS","No Lightweighting","CL100","Closed loop",2041,2108489866.00517,"Primary material production"
"Other steels","No Lightweighting","CL100","Closed loop",2041,3956173901.55703,"Primary material production"
"Wrought Aluminum","No Lightweighting","CL100","Closed loop",2041,287321518.9982,"Primary material production"
"Cast Aluminum","No Lightweighting","CL100","Closed loop",2041,111986397.100367,"Primary material production"
"HSS/AHSS","Steel Intensive","BAU","Business-as-usual",2042,9633000251.29143,"Primary material production"
"Other steels","Steel Intensive","BAU","Business-as-usual",2042,6572966154.34131,"Primary material production"
"Wrought Aluminum","Steel Intensive","BAU","Business-as-usual",2042,776756669.687962,"Primary material production"
"Cast Aluminum","Steel Intensive","BAU","Business-as-usual",2042,0,"Primary material production"
"HSS/AHSS","Aluminum Maximum","BAU","Business-as-usual",2042,1912417873.91387,"Primary material production"
"Other steels","Aluminum Maximum","BAU","Business-as-usual",2042,4851163231.85621,"Primary material production"
"Wrought Aluminum","Aluminum Maximum","BAU","Business-as-usual",2042,6114061426.71629,"Primary material production"
"Cast Aluminum","Aluminum Maximum","BAU","Business-as-usual",2042,0,"Primary material production"
"HSS/AHSS","No Lightweighting","BAU","Business-as-usual",2042,5904949129.69577,"Primary material production"
"Other steels","No Lightweighting","BAU","Business-as-usual",2042,11748404961.4199,"Primary material production"
"Wrought Aluminum","No Lightweighting","BAU","Business-as-usual",2042,823434981.992297,"Primary material production"
"Cast Aluminum","No Lightweighting","BAU","Business-as-usual",2042,0,"Primary material production"
"HSS/AHSS","Steel Intensive","CL100","Closed loop",2042,4014827753.23493,"Primary material production"
"Other steels","Steel Intensive","CL100","Closed loop",2042,905618036.155824,"Primary material production"
"Wrought Aluminum","Steel Intensive","CL100","Closed loop",2042,245282369.546363,"Primary material production"
"Cast Aluminum","Steel Intensive","CL100","Closed loop",2042,102208488.792375,"Primary material production"
"HSS/AHSS","Aluminum Maximum","CL100","Closed loop",2042,0,"Primary material production"
"Other steels","Aluminum Maximum","CL100","Closed loop",2042,0,"Primary material production"
"Wrought Aluminum","Aluminum Maximum","CL100","Closed loop",2042,3141490593.06118,"Primary material production"
"Cast Aluminum","Aluminum Maximum","CL100","Closed loop",2042,25789021.7926205,"Primary material production"
"HSS/AHSS","No Lightweighting","CL100","Closed loop",2042,1972144574.23934,"Primary material production"
"Other steels","No Lightweighting","CL100","Closed loop",2042,3738497421.36981,"Primary material production"
"Wrought Aluminum","No Lightweighting","CL100","Closed loop",2042,270408185.975703,"Primary material production"
"Cast Aluminum","No Lightweighting","CL100","Closed loop",2042,120715903.597296,"Primary material production"
"HSS/AHSS","Steel Intensive","BAU","Business-as-usual",2043,9733580235.90582,"Primary material production"
"Other steels","Steel Intensive","BAU","Business-as-usual",2043,6640000287.06824,"Primary material production"
"Wrought Aluminum","Steel Intensive","BAU","Business-as-usual",2043,785816580.564211,"Primary material production"
"Cast Aluminum","Steel Intensive","BAU","Business-as-usual",2043,0,"Primary material production"
"HSS/AHSS","Aluminum Maximum","BAU","Business-as-usual",2043,1933674392.73027,"Primary material production"
"Other steels","Aluminum Maximum","BAU","Business-as-usual",2043,4901910552.55196,"Primary material production"
"Wrought Aluminum","Aluminum Maximum","BAU","Business-as-usual",2043,6179399228.5559,"Primary material production"
"Cast Aluminum","Aluminum Maximum","BAU","Business-as-usual",2043,0,"Primary material production"
"HSS/AHSS","No Lightweighting","BAU","Business-as-usual",2043,5966459472.45595,"Primary material production"
"Other steels","No Lightweighting","BAU","Business-as-usual",2043,11868097645.1808,"Primary material production"
"Wrought Aluminum","No Lightweighting","BAU","Business-as-usual",2043,832879468.131932,"Primary material production"
"Cast Aluminum","No Lightweighting","BAU","Business-as-usual",2043,0,"Primary material production"
"HSS/AHSS","Steel Intensive","CL100","Closed loop",2043,3800798192.86967,"Primary material production"
"Other steels","Steel Intensive","CL100","Closed loop",2043,886417795.174303,"Primary material production"
"Wrought Aluminum","Steel Intensive","CL100","Closed loop",2043,231684391.564211,"Primary material production"
"Cast Aluminum","Steel Intensive","CL100","Closed loop",2043,114552235.149551,"Primary material production"
"HSS/AHSS","Aluminum Maximum","CL100","Closed loop",2043,0,"Primary material production"
"Other steels","Aluminum Maximum","CL100","Closed loop",2043,16416261.5200253,"Primary material production"
"Wrought Aluminum","Aluminum Maximum","CL100","Closed loop",2043,2973279028.87384,"Primary material production"
"Cast Aluminum","Aluminum Maximum","CL100","Closed loop",2043,54589360.7599822,"Primary material production"
"HSS/AHSS","No Lightweighting","CL100","Closed loop",2043,1867376348.53656,"Primary material production"
"Other steels","No Lightweighting","CL100","Closed loop",2043,3565562170.84704,"Primary material production"
"Wrought Aluminum","No Lightweighting","CL100","Closed loop",2043,255315739.459201,"Primary material production"
"Cast Aluminum","No Lightweighting","CL100","Closed loop",2043,132245581.305132,"Primary material production"
"HSS/AHSS","Steel Intensive","BAU","Business-as-usual",2044,9854232108.41349,"Primary material production"
"Other steels","Steel Intensive","BAU","Business-as-usual",2044,6720656165.50908,"Primary material production"
"Wrought Aluminum","Steel Intensive","BAU","Business-as-usual",2044,796495727.319293,"Primary material production"
"Cast Aluminum","Steel Intensive","BAU","Business-as-usual",2044,0,"Primary material production"
"HSS/AHSS","Aluminum Maximum","BAU","Business-as-usual",2044,1958938331.79797,"Primary material production"
"Other steels","Aluminum Maximum","BAU","Business-as-usual",2044,4962719919.59135,"Primary material production"
"Wrought Aluminum","Aluminum Maximum","BAU","Business-as-usual",2044,6257490777.99494,"Primary material production"
"Cast Aluminum","Aluminum Maximum","BAU","Business-as-usual",2044,0,"Primary material production"
"HSS/AHSS","No Lightweighting","BAU","Business-as-usual",2044,6040271783.01042,"Primary material production"
"Other steels","No Lightweighting","BAU","Business-as-usual",2044,12012180257.6879,"Primary material production"
"Wrought Aluminum","No Lightweighting","BAU","Business-as-usual",2044,844037888.026863,"Primary material production"
"Cast Aluminum","No Lightweighting","BAU","Business-as-usual",2044,0,"Primary material production"
"HSS/AHSS","Steel Intensive","CL100","Closed loop",2044,3586570337.79085,"Primary material production"
"Other steels","Steel Intensive","CL100","Closed loop",2044,853026231.178219,"Primary material production"
"Wrought Aluminum","Steel Intensive","CL100","Closed loop",2044,220113591.612414,"Primary material production"
"Cast Aluminum","Steel Intensive","CL100","Closed loop",2044,130313452.795287,"Primary material production"
"HSS/AHSS","Aluminum Maximum","CL100","Closed loop",2044,0,"Primary material production"
"Other steels","Aluminum Maximum","CL100","Closed loop",2044,34072481.0439215,"Primary material production"
"Wrought Aluminum","Aluminum Maximum","CL100","Closed loop",2044,2809243181.72932,"Primary material production"
"Cast Aluminum","Aluminum Maximum","CL100","Closed loop",2044,91898169.8717692,"Primary material production"
"HSS/AHSS","No Lightweighting","CL100","Closed loop",2044,1761078681.88619,"Primary material production"
"Other steels","No Lightweighting","CL100","Closed loop",2044,3380306851.91934,"Primary material production"
"Wrought Aluminum","No Lightweighting","CL100","Closed loop",2044,242270272.618509,"Primary material production"
"Cast Aluminum","No Lightweighting","CL100","Closed loop",2044,147328183.094147,"Primary material production"
"HSS/AHSS","Steel Intensive","BAU","Business-as-usual",2045,9970190208.64174,"Primary material production"
"Other steels","Steel Intensive","BAU","Business-as-usual",2045,6798073133.73048,"Primary material production"
"Wrought Aluminum","Steel Intensive","BAU","Business-as-usual",2045,806824134.023038,"Primary material production"
"Cast Aluminum","Steel Intensive","BAU","Business-as-usual",2045,0,"Primary material production"
"HSS/AHSS","Aluminum Maximum","BAU","Business-as-usual",2045,1983305860.63358,"Primary material production"
"Other steels","Aluminum Maximum","BAU","Business-as-usual",2045,5021183200.7835,"Primary material production"
"Wrought Aluminum","Aluminum Maximum","BAU","Business-as-usual",2045,6332633781.11928,"Primary material production"
"Cast Aluminum","Aluminum Maximum","BAU","Business-as-usual",2045,0,"Primary material production"
"HSS/AHSS","No Lightweighting","BAU","Business-as-usual",2045,6111204766.92978,"Primary material production"
"Other steels","No Lightweighting","BAU","Business-as-usual",2045,12150462975.5413,"Primary material production"
"Wrought Aluminum","No Lightweighting","BAU","Business-as-usual",2045,854820804.774358,"Primary material production"
"Cast Aluminum","No Lightweighting","BAU","Business-as-usual",2045,0,"Primary material production"
"HSS/AHSS","Steel Intensive","CL100","Closed loop",2045,3372903282.19173,"Primary material production"
"Other steels","Steel Intensive","CL100","Closed loop",2045,814532482.153719,"Primary material production"
"Wrought Aluminum","Steel Intensive","CL100","Closed loop",2045,206898380.489741,"Primary material production"
