"Year","Technology","Size","Adj_stock","Survival_rate_mdl","AEO","Rel_value","Value"
2015,"FCV","Light truck","y",1,"REF",0.000676111102720306,1612
2015,"FCV","Car","y",1,"REF",0.000676530526481299,1613
2016,"FCV","Light truck","y",1,"REF",0.00124819938564763,2986
2016,"FCV","Car","y",1,"REF",0.00129752541629278,3104
2017,"FCV","Light truck","y",1,"REF",0.00195077803655024,4707
2017,"FCV","Car","y",1,"REF",0.00200092550679085,4828
2015,"BEV","Light truck","y",1,"REF",0.0020291721556829,4838
2018,"FCV","Light truck","y",1,"REF",0.00320305078457578,7790
2018,"FCV","Car","y",1,"REF",0.00325814819216668,7924
2015,"PHEV","Light truck","y",1,"REF",0.00363892055037306,8676
2016,"BEV","Light truck","y",1,"REF",0.00407692183798438,9753
2015,"PHEV","Light truck","y",1,"REF",0.00457968804627979,10919
2015,"BEV","Light truck","y",1,"REF",0.00467909147763507,11156
2016,"BEV","Light truck","y",1,"REF",0.00518048726936742,12393
2019,"FCV","Light truck","y",1,"REF",0.00550857477796778,13494
2019,"FCV","Car","y",1,"REF",0.00558123865157666,13672
2016,"PHEV","Light truck","y",1,"REF",0.00574104834644494,13734
2017,"BEV","Light truck","y",1,"REF",0.00613332571975928,14799
2017,"BEV","Light truck","y",1,"REF",0.00717689043104747,17317
2017,"PHEV","Light truck","y",1,"REF",0.00871364100668552,21025
2018,"BEV","Light truck","y",1,"REF",0.00884560096644142,21513
2018,"BEV","Light truck","y",1,"REF",0.00893400352339698,21728
2020,"FCV","Light truck","y",1,"REF",0.00980991322387251,24192
2020,"FCV","Car","y",1,"REF",0.00991696584833937,24456
2016,"PHEV","Light truck","y",1,"REF",0.0111263640481524,26617
2019,"BEV","Light truck","y",1,"REF",0.0126251439275389,30927
2019,"BEV","Light truck","y",1,"REF",0.013861654450917,33956
2018,"PHEV","Light truck","y",1,"REF",0.0145946453913373,35495
2021,"FCV","Light truck","y",1,"REF",0.0159453776563241,39520
2021,"FCV","Car","y",1,"REF",0.0160982951191719,39899
2017,"PHEV","Light truck","y",1,"REF",0.0163248665518831,39390
2020,"BEV","Light truck","y",1,"REF",0.0203639232882628,50219
2019,"PHEV","Light truck","y",1,"REF",0.0210668082104495,51606
2022,"FCV","Light truck","y",1,"REF",0.023238855907076,57839
2020,"BEV","Light truck","y",1,"REF",0.023284351323908,57421
2022,"FCV","Car","y",1,"REF",0.0234630520653109,58397
2018,"PHEV","Light truck","y",1,"REF",0.0262633717347873,63874
2015,"BEV","Car","y",1,"REF",0.0280258957095353,66820
2020,"PHEV","Light truck","y",1,"REF",0.0302861606673524,74688
2023,"FCV","Light truck","y",1,"REF",0.031370925066464,78422
2023,"FCV","Car","y",1,"REF",0.031718948641581,79292
2021,"BEV","Light truck","y",1,"REF",0.0317346100405582,78653
2016,"BEV","Car","y",1,"REF",0.0326555043559253,78120
2021,"BEV","Light truck","y",1,"REF",0.0367631333637051,91116
2019,"PHEV","Light truck","y",1,"REF",0.0371540999586453,91014
2024,"FCV","Light truck","y",1,"REF",0.04090332172696,102704
2020,"CNG","Car","y",1,"REF",0.041051842966484,101237
2021,"CNG","Car","y",1,"REF",0.0412582612095833,102257
2024,"FCV","Car","y",1,"REF",0.0414473505620495,104070
2021,"PHEV","Light truck","y",1,"REF",0.0414785591903615,102803
2022,"CNG","Car","y",1,"REF",0.0419335208649822,104368
2017,"BEV","Car","y",1,"REF",0.0427637733000637,103184
2023,"CNG","Car","y",1,"REF",0.0430933191414386,107726
2015,"PHEV","Car","y",1,"REF",0.0439535130332348,104795
2019,"CNG","Car","y",1,"REF",0.0441335058411794,108111
2022,"BEV","Light truck","y",1,"REF",0.0441955717088218,109998
2024,"CNG","Car","y",1,"REF",0.0444195959473149,111533
2016,"CNG","Car","y",1,"REF",0.0447642088448922,107087
2025,"CNG","Car","y",1,"REF",0.0456072437519259,115038
2026,"CNG","Car","y",1,"REF",0.046718834611862,118432
2018,"CNG","Car","y",1,"REF",0.0473307289940054,115111
2017,"CNG","Car","y",1,"REF",0.0477080652006467,115114
2027,"CNG","Car","y",1,"REF",0.0478379076960565,121890
2028,"CNG","Car","y",1,"REF",0.0489696818442663,125453
2029,"CNG","Car","y",1,"REF",0.050030053752751,128855
2015,"CNG","Car","y",1,"REF",0.050763696640474,121032
2030,"CNG","Car","y",1,"REF",0.0510199254442396,132116
2025,"FCV","Light truck","y",1,"REF",0.0517411758033333,130510
2015,"PHEV","Car","y",1,"REF",0.0517497619025679,123383
2031,"CNG","Car","y",1,"REF",0.0519257363782162,135172
2022,"PHEV","Light truck","y",1,"REF",0.0519552498521742,129311
2025,"FCV","Car","y",1,"REF",0.0525626279239716,132582
2020,"PHEV","Light truck","y",1,"REF",0.0525689211487107,129639
2032,"CNG","Car","y",1,"REF",0.0527084946213128,137852
2022,"BEV","Light truck","y",1,"REF",0.0528142666735115,131449
2033,"CNG","Car","y",1,"REF",0.0533409798639743,140060
2016,"PHEV","Car","y",1,"REF",0.0533519543836547,127631
2034,"CNG","Car","y",1,"REF",0.0539024099110984,142062
2035,"CNG","Car","y",1,"REF",0.0544599887125937,144039
2036,"CNG","Car","y",1,"REF",0.0550137012010378,146003
2037,"CNG","Car","y",1,"REF",0.0555496877836014,147910
2023,"BEV","Light truck","y",1,"REF",0.0556425692276395,139097
2038,"CNG","Car","y",1,"REF",0.0561036774253098,149915
2039,"CNG","Car","y",1,"REF",0.0566825375162105,152045
2040,"CNG","Car","y",1,"REF",0.0572458756681992,154169
2041,"CNG","Car","y",1,"REF",0.0577868556073163,156289
2042,"CNG","Car","y",1,"REF",0.058272629456601,158298
2043,"CNG","Car","y",1,"REF",0.058751889790844,160363
2044,"CNG","Car","y",1,"REF",0.0592312515452766,162519
2045,"CNG","Car","y",1,"REF",0.0597312625935097,164814
2046,"CNG","Car","y",1,"REF",0.0601897707502264,167062
2047,"CNG","Car","y",1,"REF",0.060594194329007,169202
2048,"CNG","Car","y",1,"REF",0.0608944943984259,171000
2049,"CNG","Car","y",1,"REF",0.0612003330492713,172874
2050,"CNG","Car","y",1,"REF",0.0615173589869307,174829
2016,"PHEV","Car","y",1,"REF",0.0617670588151592,147762
2026,"FCV","Light truck","y",1,"REF",0.062098748181229,157420
2026,"FCV","Car","y",1,"REF",0.0632640365952002,160374
2023,"PHEV","Light truck","y",1,"REF",0.0641219436204609,160294
2024,"BEV","Light truck","y",1,"REF",0.0672242014357646,168793
2017,"PHEV","Car","y",1,"REF",0.0691753268826584,166912
2018,"BEV","Car","y",1,"REF",0.06962503150883,169332
2023,"BEV","Light truck","y",1,"REF",0.0707227907618462,176795
2021,"PHEV","Light truck","y",1,"REF",0.071259941163251,176615
2017,"PHEV","Car","y",1,"REF",0.07160478531696,172774
2027,"FCV","Light truck","y",1,"REF",0.0716689487430026,182611
2027,"FCV","Car","y",1,"REF",0.0732309708336606,186591
2025,"CNG","Light truck","y",1,"REF",0.0733360102681832,184980
2024,"CNG","Light truck","y",1,"REF",0.0733479110758345,184169
2023,"CNG","Light truck","y",1,"REF",0.0735393815577067,183836
2026,"CNG","Light truck","y",1,"REF",0.0737110010729253,186857
2035,"CNG","Light truck","y",1,"REF",0.0740689723531441,195902
2036,"CNG","Light truck","y",1,"REF",0.0741256711764427,196725
