"Scenario","Size","Technology","Subcomponent","feature_wgt","Case","Year","value"
"BAU","Car","PHEV20","Body","n","Low",2016,-0.699888536836909
"BAU","Light truck","PHEV20","Body","n","Low",2016,-1.03724458751913
"BAU","Car","PHEV40","Body","n","Low",2016,-1.50185493243401
"BAU","Light truck","PHEV40","Body","n","Low",2016,-3.12022076468941
"BAU","Car","BEV100","Chassis","n","Low",2016,-2.86025965686264
"BAU","Light truck","BEV100","Chassis","n","Low",2016,-5.90392322135199
"BAU","Car","BEV300","Chassis","n","Low",2016,-13.546934396988
"BAU","Light truck","BEV300","Chassis","n","Low",2016,-21.5546656130696
"BAU","Car","PHEV20","Chassis","n","Low",2016,-0.897129851763509
"BAU","Light truck","PHEV20","Chassis","n","Low",2016,-1.32955897127459
"BAU","Car","PHEV40","Chassis","n","Low",2016,-1.92510495884721
"BAU","Light truck","PHEV40","Chassis","n","Low",2016,-3.99955570746556
"BAU","Car","BEV100","Electronic Controller","n","Low",2016,-0.807479462166327
"BAU","Light truck","BEV100","Electronic Controller","n","Low",2016,-1.65762844648103
"BAU","Car","BEV300","Electronic Controller","n","Low",2016,-3.18325775952832
"BAU","Light truck","BEV300","Electronic Controller","n","Low",2016,-4.9455586132169
"BAU","Car","PHEV20","Electronic Controller","n","Low",2016,-0.0650204971528225
"BAU","Light truck","PHEV20","Electronic Controller","n","Low",2016,-0.104436711105862
"BAU","Car","PHEV40","Electronic Controller","n","Low",2016,-0.139801024232
"BAU","Light truck","PHEV40","Electronic Controller","n","Low",2016,-0.308448204205241
"BAU","Car","PHEV20","Engine","n","Low",2016,-0.49455819658678
"BAU","Light truck","PHEV20","Engine","n","Low",2016,-0.693213063646937
"BAU","Car","PHEV40","Engine","n","Low",2016,-1.08700795169563
"BAU","Light truck","PHEV40","Engine","n","Low",2016,-2.11001465764073
"BAU","Car","BEV100","EV Battery","n","Low",2016,-10.7413000941035
"BAU","Light truck","BEV100","EV Battery","n","Low",2016,-22.1399630384829
"BAU","Car","BEV300","EV Battery","n","Low",2016,-50.5300963002695
"BAU","Light truck","BEV300","EV Battery","n","Low",2016,-80.2678963607641
"BAU","Car","PHEV20","EV Battery","n","Low",2016,-3.16367097311787
"BAU","Light truck","PHEV20","EV Battery","n","Low",2016,-4.69097446596935
"BAU","Car","PHEV40","EV Battery","n","Low",2016,-6.52541451555474
"BAU","Light truck","PHEV40","EV Battery","n","Low",2016,-13.5404096511728
"BAU","Car","BEV100","Exterior","n","Low",2016,-0.162284235850358
