"LWscen","i_year","Size","Technology","LCIA","vh_lca_yrs","Case","value","value_svg","value_rel_svg","value_svg_vkt"
"Steel Intensive","2016","Light truck","ICEV-D","GWP100","2016","Curent Lightweighting",78455.4253476584,-4600.30865687528,-0.0553882126503652,-0.0155892939129426
"Aluminum Intensive","2016","Car","ICEV-G","GWP100","2016","Curent Lightweighting",66936.4906822598,-5317.05139857673,-0.0735887991847939,-0.0190808187001582
"Aluminum Maximum","2016","Car","ICEV-G","GWP100","2016","Curent Lightweighting",64836.8154932903,-7416.72658754615,-0.102648622807286,-0.0266157320584661
"Steel Intensive","2016","Car","ICEV-G","GWP100","2016","Curent Lightweighting",69162.7175969531,-3090.82448388335,-0.0427774804510673,-0.0110917606752447
"Aluminum Intensive","2016","Light truck","ICEV-G","GWP100","2016","Curent Lightweighting",93763.5559456366,-8043.45006428853,-0.0790068422550838,-0.0272572378244381
"Aluminum Maximum","2016","Light truck","ICEV-G","GWP100","2016","Curent Lightweighting",90462.4881026617,-11344.5179072634,-0.111431603303975,-0.0384437300076939
"Steel Intensive","2016","Light truck","ICEV-G","GWP100","2016","Curent Lightweighting",97211.1772665851,-4595.82874334005,-0.0451425586849299,-0.0155741126079446
"Aluminum Intensive","2016","Car","PHEV20","GWP100","2016","Curent Lightweighting",47682.3703436781,-3302.79834283556,-0.064779590377411,-0.0118524519811295
"Aluminum Maximum","2016","Car","PHEV20","GWP100","2016","Curent Lightweighting",46972.8164909029,-4012.35219561078,-0.078696458185341,-0.0143987633495746
"Steel Intensive","2016","Car","PHEV20","GWP100","2016","Curent Lightweighting",48772.4039624222,-2212.7647240915,-0.0434001648145337,-0.00794074748605914
"Aluminum Intensive","2016","Light truck","PHEV20","GWP100","2016","Curent Lightweighting",55789.7847397516,-4124.28049881105,-0.068836599259109,-0.0139761537042288
"Aluminum Maximum","2016","Light truck","PHEV20","GWP100","2016","Curent Lightweighting",54831.3556910114,-5082.70954755123,-0.084833327989232,-0.0172240297164573
"Steel Intensive","2016","Light truck","PHEV20","GWP100","2016","Curent Lightweighting",57193.2909584925,-2720.77428007013,-0.0454112781237043,-0.00922002263030718
"Aluminum Intensive","2016","Car","PHEV40","GWP100","2016","Curent Lightweighting",44802.3049409252,-3176.08070206644,-0.0661981569304922,-0.0113977119102935
"Aluminum Maximum","2016","Car","PHEV40","GWP100","2016","Curent Lightweighting",44136.4618511223,-3841.92379186941,-0.0800761372101442,-0.0137871624397137
"Steel Intensive","2016","Car","PHEV40","GWP100","2016","Curent Lightweighting",45816.4674592524,-2161.91818373925,-0.0450602527526902,-0.007758279131841
"Aluminum Intensive","2016","Light truck","PHEV40","GWP100","2016","Curent Lightweighting",57416.9281488328,-4148.30010901175,-0.0673805689737401,-0.0140575501476029
"Aluminum Maximum","2016","Light truck","PHEV40","GWP100","2016","Curent Lightweighting",56398.4537515526,-5166.7745062919,-0.0839235823938256,-0.0175089048079643
"Steel Intensive","2016","Light truck","PHEV40","GWP100","2016","Curent Lightweighting",58819.9188928469,-2745.30936499765,-0.044591881532541,-0.00930316588843237
