"Year","Value","Data_type","Region","Source","Unit","Aeo_year","Aeo_case"
2040,17.109158,"Electricity Generation","Midwest Reliability Council / East","Coal","billion kilowatthours",2018,"LOP"
2041,17.106163,"Electricity Generation","Midwest Reliability Council / East","Coal","billion kilowatthours",2018,"LOP"
2042,17.102707,"Electricity Generation","Midwest Reliability Council / East","Coal","billion kilowatthours",2018,"LOP"
2043,17.09886,"Electricity Generation","Midwest Reliability Council / East","Coal","billion kilowatthours",2018,"LOP"
2044,17.094669,"Electricity Generation","Midwest Reliability Council / East","Coal","billion kilowatthours",2018,"LOP"
2045,17.090631,"Electricity Generation","Midwest Reliability Council / East","Coal","billion kilowatthours",2018,"LOP"
2046,17.087326,"Electricity Generation","Midwest Reliability Council / East","Coal","billion kilowatthours",2018,"LOP"
2047,17.08296,"Electricity Generation","Midwest Reliability Council / East","Coal","billion kilowatthours",2018,"LOP"
2048,17.079113,"Electricity Generation","Midwest Reliability Council / East","Coal","billion kilowatthours",2018,"LOP"
2049,17.073597,"Electricity Generation","Midwest Reliability Council / East","Coal","billion kilowatthours",2018,"LOP"
2050,17.06711,"Electricity Generation","Midwest Reliability Council / East","Coal","billion kilowatthours",2018,"LOP"
2016,99.513,"Electricity Generation","Midwest Reliability Council / West","Coal","billion kilowatthours",2018,"LOP"
2017,103.265442,"Electricity Generation","Midwest Reliability Council / West","Coal","billion kilowatthours",2018,"LOP"
2018,102.449203,"Electricity Generation","Midwest Reliability Council / West","Coal","billion kilowatthours",2018,"LOP"
2019,101.494202,"Electricity Generation","Midwest Reliability Council / West","Coal","billion kilowatthours",2018,"LOP"
2020,94.649216,"Electricity Generation","Midwest Reliability Council / West","Coal","billion kilowatthours",2018,"LOP"
2021,90.631897,"Electricity Generation","Midwest Reliability Council / West","Coal","billion kilowatthours",2018,"LOP"
2022,90.134354,"Electricity Generation","Midwest Reliability Council / West","Coal","billion kilowatthours",2018,"LOP"
2023,94.557167,"Electricity Generation","Midwest Reliability Council / West","Coal","billion kilowatthours",2018,"LOP"
