Data,Reference,Technology,Size,Fuel type,Unit,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Unadjusted Fuel Economy,VISION,Diesel HEV,Light truck,Diesel,MPGe,,,,,,,,,,,,,,,,,,,,,,,,,,34.63,34.63,34.63,34.63,34.63,34.63,34.95,41.71,48.56,46.69,44.99,45.46,45.67,45.77,43.96,44.59
Unadjusted Fuel Economy,VISION,SI PHEV 10,Light truck,Gasoline,MPGe,,,,,,,,,,,,,,,,,,,,,,,,,,30.3,30.3,30.3,30.3,30.3,30.3,30.58,36.5,42.49,40.854488,38.18740814,38.58772326,38.76092161,38.84787047,37.30834176,44.47661208
Unadjusted Fuel Economy,VISION,SI PHEV 10,Light truck,Electricity,MPGe,,,,,,,,,,,,,,,,,,,,,,,,,,64.3875,64.3875,64.3875,64.3875,64.3875,64.3875,64.9825,77.5625,90,86.815787,83.65798175,84.53496075,84.91439013,85.10487088,81.732192,82.9059655
Unadjusted Fuel Economy,VISION,SI PHEV 40,Light truck,Gasoline,MPGe,,,,,,,,,,,,,,,,,,,,,,,,,,29.86,29.86,29.86,29.86,29.86,29.86,30.58,36.5,42.49,40.854488,34.05371963,34.41070167,34.56515175,34.64268862,33.26980992,33.74760478
Unadjusted Fuel Economy,VISION,SI PHEV 40,Light truck,Electricity,MPGe,,,,,,,,,,,,,,,,,,,,,,,,,,63.4525,63.4525,63.4525,63.4525,63.4525,63.4525,64.9825,77.5625,90,86.815787,76.57165859,77.37435231,133.7348129,135.6665802,145.2357486,86.60335525
Unadjusted Fuel Economy,VISION,Diesel PHEV,Light truck,Diesel,MPGe,,,,,,,,,,,,,,,,,,,,,,,,,,34.63,34.63,34.63,34.63,34.63,34.63,34.95,41.71,48.56,46.69,44.99,45.46,45.67,45.77,43.96,44.59
Unadjusted Fuel Economy,VISION,Diesel PHEV,Light truck,Electricity,MPGe,,,,,,,,,,,,,,,,,,,,,,,,,,69.26,69.26,69.26,69.26,69.26,69.26,69.9,83.42,97.12,93.38,89.98,90.92,91.34,91.54,87.92,89.18
Unadjusted Fuel Economy,VISION,FCV,Light truck,Hydrogen,MPGe,,,,,,,,,,,,,,,,,,,,,,,,,,40.74,40.74,40.74,40.74,40.74,40.74,40.01,40.49,40.07,40.1,40.25,40.82,40.37,40.31,39.71315,25.788652
VMT on electricity,VISION,SI PHEV 10,Car,Electricity,%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.227505254,0.227505254,0.227505254,0.227505254,0.227505254,0.227505254
VMT on electricity,VISION,SI PHEV 40,Car,Electricity,%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.617177678,0.617177678,0.617177678,0.617177678,0.617177678,0.617177678
VMT on electricity,VISION,Diesel PHEV,Car,Electricity,%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.144539256,0.166215809,0.187256451,0.207680121,0.227505254
VMT on electricity,VISION,SI PHEV 10,Light truck,Electricity,%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.227505254,0.227505254,0.227505254,0.227505254,0.227505254
VMT on electricity,VISION,SI PHEV 40,Light truck,Electricity,%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.617177678,0.617177678,0.617177678,0.617177678,0.617177678
VMT on electricity,VISION,Diesel PHEV,Light truck,Electricity,%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.144539256,0.166215809,0.187256451,0.207680121,0.227505254
