Unit,Size,2012,2017,2018,2019,2020,2021,2022,2023,2024,2025
mpg,Car,33.6,39.6,41.1,42.5,44.2,46.1,48.2,50.5,52.9,55.3
mpg,Light truck,25,29.1,29.6,30,30.6,32.6,34.2,35.8,37.5,39.3
mpg,LDV,29.8,35.1,36.1,37.1,38.3,40.3,42.3,44.3,46.5,48.7
