"Size","Technology","Material","Source","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014"
"LDV","Glo","HSS/AHSS","TEDB&DUCK",0.0899339175532705,0.089803221880687,0.0896992158666525,0.0896564468960149,0.0895588528499565,0.0894675780988416,0.0892885609307573,0.0891257537362583,0.0890648665802872,0.0890125608102837,0.0889704748353209,0.0887082424048452,0.0886047494981579,0.0883790952740733,0.0882632194968094,0.0880473834820774,0.089636608,0.092094756,0.098207327,0.101483216,0.104561763,0.108301405,0.112608033,0.116015132,0.11850569,0.12223052,0.12363996,0.127085378,0.128501229,0.133844189,0.138366337,0.149312377,0.154591837,0.162738215,0.162493741
"LDV","Glo","Cast Iron","TEDB&DUCK",0.129349399102252,0.129161423228701,0.129011834332939,0.128950320937295,0.128809954192945,0.128678676311017,0.128421201003028,0.128187040039613,0.12809946777264,0.128024237869355,0.127963706806991,0.12758654535078,0.12743769444274,0.127113142381801,0.126946481542739,0.126636050733432,0.119515478,0.11658238,0.113795791,0.113453031,0.110712455,0.098084291,0.090238943,0.084741488,0.081890153,0.081652975,0.081849654,0.078999019,0.073955774,0.052618135,0.058663366,0.067534381,0.071428571,0.070962889,0.067851778
"LDV","Glo","Mild steel and other steels","TEDB&DUCK",0.479369984679618,0.478673344476806,0.478118966743569,0.477890997570679,0.47737079720983,0.476884280251224,0.475930074547117,0.475062272004362,0.474737728430378,0.474458925762293,0.474234597124977,0.472836833526998,0.472285190782605,0.47108239805562,0.4704647515538,0.469314292306719,0.466487214,0.464732499,0.459340089,0.455893832,0.446694004,0.445210728,0.443060498,0.43959647,0.433943592,0.433159074,0.427794263,0.430078509,0.427027026,0.408939974,0.407920792,0.383840864,0.368367347,0.36785356,0.371557336
"LDV","Glo","Wrought Aluminum","TEDB&DUCK",0.0106695559576359,0.0110972123658304,0.0114375360928015,0.0115774827643594,0.0118968255426892,0.0121954906128406,0.0127812624107491,0.0133139926737437,0.0135132248435094,0.0136843773942051,0.0138220891985227,0.0146801541758286,0.0150187989363829,0.0157571743780358,0.0161363378019034,0.0168425865475177,0.017304979839,0.017340697276,0.018268381439,0.019193078219,0.019711942649,0.020452873616,0.021083629875,0.021642622932,0.022082384996,0.022577047577,0.022923095818,0.022039008964,0.022212530599,0.023751724227,0.024437623805,0.025020874389,0.026650000041,0.027275075135,0.028599399038
"LDV","Glo","Cast Aluminum","TEDB&DUCK",0.0265065972048585,0.027569032811279,0.0284145060423954,0.0287621784354991,0.0295555282645904,0.030297508038172,0.0317527529577147,0.0330762257016699,0.0335711822767323,0.0339963800768928,0.0343385003433682,0.0364702088061525,0.0373115109464843,0.0391458722353294,0.0400878357238923,0.0418423840013246,0.042991117161,0.043079850724,0.045384515561,0.047681758781,0.048970784351,0.050811494384,0.052378495125,0.053767213068,0.054859723004,0.056088623423,0.056948318182,0.054751963036,0.055183046401,0.059006896773,0.060710891195,0.062159872611,0.066207142959,0.067760029865,0.071050074962
"LDV","Glo","Other","TEDB&DUCK",0.264170545502365,0.263695765236697,0.263317940921643,0.263162573396152,0.262808041939989,0.262476466687905,0.261826148150634,0.261234715844354,0.261013530096453,0.260823518086971,0.26067063169082,0.259718015735396,0.25934205539363,0.258522317675141,0.258101373880856,0.25731730292893,0.264064602,0.266169816,0.265003895,0.262295081,0.269349053,0.277139208,0.280630401,0.284237073,0.288718456,0.284291761,0.286844708,0.287046123,0.293120393,0.321839081,0.309900991,0.31213163,0.312755102,0.303410231,0.298447671
