"Year","Value","Data_type","Region","Source","Unit","Aeo_year","Aeo_case"
2033,16.999212,"Electricity Generation","Midwest Reliability Council / East","Coal","billion kilowatthours",2018,"REF"
2034,16.997442,"Electricity Generation","Midwest Reliability Council / East","Coal","billion kilowatthours",2018,"REF"
2035,16.996172,"Electricity Generation","Midwest Reliability Council / East","Coal","billion kilowatthours",2018,"REF"
2036,17.097803,"Electricity Generation","Midwest Reliability Council / East","Coal","billion kilowatthours",2018,"REF"
2037,17.09668,"Electricity Generation","Midwest Reliability Council / East","Coal","billion kilowatthours",2018,"REF"
2038,17.095753,"Electricity Generation","Midwest Reliability Council / East","Coal","billion kilowatthours",2018,"REF"
2039,17.093874,"Electricity Generation","Midwest Reliability Council / East","Coal","billion kilowatthours",2018,"REF"
2040,17.090696,"Electricity Generation","Midwest Reliability Council / East","Coal","billion kilowatthours",2018,"REF"
2041,17.088402,"Electricity Generation","Midwest Reliability Council / East","Coal","billion kilowatthours",2018,"REF"
2042,17.084846,"Electricity Generation","Midwest Reliability Council / East","Coal","billion kilowatthours",2018,"REF"
2043,17.080826,"Electricity Generation","Midwest Reliability Council / East","Coal","billion kilowatthours",2018,"REF"
2044,17.115465,"Electricity Generation","Midwest Reliability Council / East","Coal","billion kilowatthours",2018,"REF"
2045,17.11046,"Electricity Generation","Midwest Reliability Council / East","Coal","billion kilowatthours",2018,"REF"
2046,17.106058,"Electricity Generation","Midwest Reliability Council / East","Coal","billion kilowatthours",2018,"REF"
2047,17.100704,"Electricity Generation","Midwest Reliability Council / East","Coal","billion kilowatthours",2018,"REF"
2048,17.094978,"Electricity Generation","Midwest Reliability Council / East","Coal","billion kilowatthours",2018,"REF"
2049,17.089079,"Electricity Generation","Midwest Reliability Council / East","Coal","billion kilowatthours",2018,"REF"
2050,17.082197,"Electricity Generation","Midwest Reliability Council / East","Coal","billion kilowatthours",2018,"REF"
2016,99.513,"Electricity Generation","Midwest Reliability Council / West","Coal","billion kilowatthours",2018,"REF"
2017,103.339569,"Electricity Generation","Midwest Reliability Council / West","Coal","billion kilowatthours",2018,"REF"
2018,103.412514,"Electricity Generation","Midwest Reliability Council / West","Coal","billion kilowatthours",2018,"REF"
