barrels08,barrelsA08,charge120,charge240,city08,city08U,cityA08,cityA08U,cityCD,cityE,cityUF,co2,co2A,co2TailpipeAGpm,co2TailpipeGpm,comb08,comb08U,combA08,combA08U,combE,combinedCD,combinedUF,cylinders,displ,drive,engId,eng_dscr,feScore,fuelCost08,fuelCostA08,fuelType,fuelType1,ghgScore,ghgScoreA,highway08,highway08U,highwayA08,highwayA08U,highwayCD,highwayE,highwayUF,hlv,hpv,id,lv2,lv4,mpgData,phevBlended,pv2,pv4,range,rangeCity,rangeCityA,rangeHwy,rangeHwyA,trany,UCity,UCityA,UHighway,UHighwayA,make,model,VClass,year,Sales,youSaveSpend,tCharger,sCharger,atvType,fuelType2,rangeA,evMotor,mfrCode,c240Dscr,charge240b,c240bDscr,startStop,phevCity,phevHwy,phevComb
0.546,0,0,0,35,0,0,0,0,96,0,0,-1,0,0,37,0,0,0,91,0,0,,,,0,NiMH,-1,1750,0,Electricity,Electricity,-1,-1,39,0,0,0,0,85,0,0,0,30969,0,0,N,FALSE,0,0,105,0,0,0,0,Automatic (A1),46.8056,0,56.1667,0,GMC,EV1,Two Seaters,1999,,-2000,,,EV,,,102kW AC Induction,,,0,,N,0,0,0
0.426,0,0,0,49,0,0,0,0,69,0,0,-1,0,0,48,0,0,0,71,0,0,,,,0,,-1,1400,0,Electricity,Electricity,-1,-1,46,0,0,0,0,73,0,0,0,30970,0,0,N,FALSE,0,0,81,0,0,0,0,Automatic (A1),68.7755,0,66.0784,0,Honda,EV Plus,Compact Cars,1999,,-250,,,EV,,,49kW DC Brushless,,,0,,N,0,0,0
0.348,0,0,0,62,0,0,0,0,54,0,0,-1,0,0,58,0,0,0,58,0,0,,,2-Wheel Drive,0,Lead Acid,-1,1150,0,Electricity,Electricity,-1,-1,54,0,0,0,0,63,0,0,0,30971,0,0,N,FALSE,0,0,50,0,0,0,0,Automatic (A1),88.6842,0,76.5909,0,Ford,Ranger Pickup 2WD,Standard Pickup Trucks 2WD,1999,,1000,,,EV,,,67 KW AC  Induction,,,0,,N,0,0,0
0.432,0,0,0,50,0,0,0,0,67,0,0,-1,0,0,47,0,0,0,72,0,0,,,2-Wheel Drive,0,NiMH,-1,1400,0,Electricity,Electricity,-1,-1,44,0,0,0,0,77,0,0,0,30972,0,0,N,FALSE,0,0,55,0,0,0,0,Automatic (A1),71.7021,0,62.4074,0,Ford,Ranger Pickup 2WD,Standard Pickup Trucks 2WD,1999,,-250,,,EV,,,67 KW AC,,,0,,N,0,0,0
0.576,0,0,0,37,0,0,0,0,90,0,0,-1,0,0,35,0,0,0,96,0,0,,,2-Wheel Drive,0,,-1,1850,0,Electricity,Electricity,-1,-1,33,0,0,0,0,103,0,0,0,30973,0,0,N,FALSE,0,0,70,0,0,0,0,Automatic (A1),50.2985,0,46.1644,0,Dodge,Caravan/Grand Caravan 2WD,Minivan - 2WD,1999,,-2500,,,EV,,,56kW AC Induction,,,0,,N,0,0,0
0.576,0,0,0,37,0,0,0,0,90,0,0,-1,0,0,35,0,0,0,96,0,0,,,Front-Wheel Drive,0,,-1,1850,0,Electricity,Electricity,-1,-1,33,0,0,0,0,103,0,0,0,30974,0,0,N,FALSE,0,0,70,0,0,0,0,Automatic (A1),50.2985,0,46.1644,0,Plymouth,Voyager/Grand Voyager 2WD,Minivan - 2WD,1999,,-2500,,,EV,,,56kW AC Induction,,,0,,N,0,0,0
0.426,0,0,0,49,0,0,0,0,69,0,0,-1,0,0,48,0,0,0,71,0,0,,,,0,,-1,1400,0,Electricity,Electricity,-1,-1,46,0,0,0,0,73,0,0,0,30975,0,0,N,FALSE,0,0,81,0,0,0,0,Automatic (A1),68.7755,0,66.0784,0,Honda,EV Plus,Compact Cars,1998,,-250,,,EV,,,49 kW DC Brushless,,,0,,N,0,0,0
0.372,0,0,0,52,0,0,0,0,64,0,0,-1,0,0,55,0,0,0,62,0,0,,,2-Wheel Drive,0,Lead Acid,-1,1200,0,Electricity,Electricity,-1,-1,58,0,0,0,0,59,0,0,0,30976,0,0,N,FALSE,0,0,33,0,0,0,0,Automatic (A1),74.8889,0,82.1951,0,Chevrolet,S10 Electric,Small Pickup Trucks 2WD,1998,,750,,,EV,,,85 kW AC Induction,,,0,,N,0,0,0
0.726,0,0,0,28,0,0,0,0,122,0,0,-1,0,0,28,0,0,0,121,0,0,,,2-Wheel Drive,0,NiMH,-1,2350,0,Electricity,Electricity,-1,-1,28,0,0,0,0,120,0,0,0,30977,0,0,N,FALSE,0,0,72,0,0,0,0,Automatic (A1),35.8511,0,39.186,0,Chevrolet,S10 Electric,Small Pickup Trucks 2WD,1998,,-5000,,,EV,,,85 kW AC Induction,,,0,,N,0,0,0
0.204,0,0,0,102,0,0,0,0,33,0,0,-1,0,0,98,0,0,0,34,0,0,,,,0,,-1,650,0,Electricity,Electricity,-1,-1,94,0,0,0,0,36,0,0,0,30978,0,0,N,FALSE,0,0,100,0,0,0,0,Automatic (A1),146.8499,0,133.6898,0,MINI,MiniE,Minicompact Cars,2008,,3500,,,EV,,,150 kW,,,0,,N,0,0,0
