"LWscen","lw_first_yr","y_start","y_end"
"Aluminum Intensive","2016",-0.00802812927002494,-0.00581278469614499
"Aluminum Maximum","2016",-0.0100229138834992,-0.00651607448372959
"Steel Intensive","2016",-0.00493995973075684,-0.00388745759218662
"Aluminum Intensive","2023",-0.00808820943961247,-0.00436403838582269
"Aluminum Maximum","2023",-0.0102150947824874,-0.00430923573695621
"Steel Intensive","2023",-0.00485857227249153,-0.00307361890887137
"Aluminum Intensive","2030",-0.00827520594682035,-0.00364502382451334
"Aluminum Maximum","2030",-0.0105638319143648,-0.00327467997227623
"Steel Intensive","2030",-0.00487162027748994,-0.00263245567169215
